Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Michał Marcjanik,pl POL,DF,30.0,32.7,4,0,0,35,8,4,9,32,10,,,0,Matches
Sebastian Kerk,de GER,"MF,FW",31.0,28.5,3,0,0,21,19,10,176,9,8,,,0,Matches
Kamil Jakubczyk,pl POL,MF,20.0,28.0,9,0,0,54,81,1,2,30,27,,,0,Matches
Damian Węglarz,pl POL,GK,29.0,27.0,0,0,0,0,5,0,0,0,0,,,0,Matches
Dawid Kocyła,pl POL,"MF,FW",23.0,21.7,2,0,0,28,60,3,29,20,31,,,0,Matches
Marc Navarro,es ESP,"MF,DF",30.0,22.0,4,0,0,33,16,3,145,16,27,,,0,Matches
Aurélien Nguiamba,fr FRA,MF,26.0,18.4,6,1,0,28,12,0,1,31,16,,,0,Matches
Kike Hermoso,es ESP,DF,25.0,19.0,4,0,0,29,6,4,3,22,16,,,0,Matches
Dawid Gojny,pl POL,DF,30.0,18.6,5,0,0,15,28,1,38,17,21,,,0,Matches
Eduardo Espiau,es ESP,FW,30.0,17.7,3,0,0,18,27,8,1,1,8,,,0,Matches
Dominick Zator,ca CAN,"DF,MF",30.0,14.1,2,1,0,8,11,0,22,13,15,,,0,Matches
Nazariy Rusyn,ua UKR,"FW,MF",26.0,13.1,4,0,0,34,27,1,23,6,13,,,0,Matches
Alassane Sidibe,ci CIV,MF,23.0,12.0,4,0,0,24,28,1,2,12,10,,,0,Matches
Vladislavs Gutkovskis,lv LVA,FW,30.0,11.4,2,0,0,20,25,6,1,0,3,,,0,Matches
Oskar Kubiak,pl POL,MF,18.0,10.5,1,0,0,13,12,5,31,10,7,,,0,Matches
Dawid Abramowicz,pl POL,"DF,MF",34.0,10.0,2,0,0,11,14,2,22,4,3,,,0,Matches
Serafin Szota,pl POL,DF,26.0,9.6,1,0,0,6,3,1,5,8,4,,,0,Matches
Patryk Szysz,pl POL,"MF,FW",27.0,9.6,0,0,0,15,14,2,9,5,2,,,0,Matches
Julien Celestine,fr FRA,DF,28.0,7.5,5,0,0,12,2,0,2,4,2,,,0,Matches
Tornike Gaprindashvili,ge GEO,"MF,FW",28.0,8.6,4,0,0,11,12,3,30,12,9,,,0,Matches
Jędrzej Grobelny,pl POL,GK,24.0,7.0,1,0,0,0,3,0,0,1,0,,,0,Matches
João Oliveira,ch SUI,"FW,MF",29.0,5.3,0,0,0,6,12,2,13,5,2,,,0,Matches
Luis Perea,es ESP,MF,27.0,5.6,3,0,0,14,10,1,0,8,6,,,0,Matches
Michał Rzuchowski,pl POL,MF,31.0,4.2,1,0,0,6,8,0,0,8,4,,,0,Matches
Percan,es ESP,FW,23.0,3.1,2,0,0,5,6,0,0,1,1,,,0,Matches
Hide Vitalucci,jp JPN,"MF,FW",23.0,2.7,0,0,0,5,1,0,3,2,0,,,0,Matches
Marcel Predenkiewicz,pl POL,FW,21.0,3.4,0,0,0,4,4,2,4,2,2,,,0,Matches
Szymon Sobczak,pl POL,FW,32.0,1.7,0,0,0,6,3,0,0,1,0,,,0,Matches
Nikodem Gozdecki,pl POL,MF,18.0,0.3,0,0,0,0,0,0,1,1,0,,,0,Matches
Olaf Gohlike,pl POL,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Wojciech Zacharewicz,pl POL,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,27.7,34.0,72,2,0,461,457,60,572,281,247,,,0,
Opponent Total,,,26.9,34.0,74,2,2,470,441,45,661,201,273,,,0,
