Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Michał Marcjanik,pl POL,DF,30.0,33,2943.0,89.0,96.2,32.7,33,89.0,32,0,,0,1.06,32.0,58.0,-26.0,-0.8,-0.03,Matches
Sebastian Kerk,de GER,"MF,FW",31.0,33,2568.0,78.0,83.9,28.5,31,81.0,9,2,34.0,0,1.09,30.0,47.0,-17.0,-0.6,1.23,Matches
Kamil Jakubczyk,pl POL,MF,20.0,31,2516.0,81.0,82.2,28.0,28,84.0,14,3,51.0,0,0.97,30.0,50.0,-20.0,-0.72,0.44,Matches
Damian Węglarz,pl POL,GK,29.0,27,2430.0,90.0,79.4,27.0,27,90.0,27,0,,3,1.22,28.0,45.0,-17.0,-0.63,0.8,Matches
Dawid Kocyła,pl POL,"MF,FW",23.0,31,1956.0,63.0,63.9,21.7,24,73.0,5,7,31.0,1,1.06,22.0,39.0,-17.0,-0.78,0.03,Matches
Marc Navarro,es ESP,"MF,DF",30.0,28,1978.0,71.0,64.6,22.0,22,84.0,16,6,23.0,5,0.96,21.0,43.0,-22.0,-1.0,-0.59,Matches
Aurélien Nguiamba,fr FRA,MF,26.0,28,1659.0,59.0,54.2,18.4,19,78.0,9,9,20.0,1,1.0,19.0,33.0,-14.0,-0.76,0.08,Matches
Kike Hermoso,es ESP,DF,25.0,21,1713.0,82.0,56.0,19.0,18,90.0,18,3,31.0,12,1.24,21.0,30.0,-9.0,-0.47,0.73,Matches
Dawid Gojny,pl POL,DF,30.0,22,1672.0,76.0,54.6,18.6,18,89.0,16,4,17.0,1,1.05,22.0,34.0,-12.0,-0.65,0.33,Matches
Eduardo Espiau,es ESP,FW,30.0,29,1593.0,55.0,52.1,17.7,17,79.0,5,12,21.0,0,1.07,18.0,33.0,-15.0,-0.85,-0.11,Matches
Dominick Zator,ca CAN,"DF,MF",30.0,19,1268.0,67.0,41.4,14.1,14,80.0,8,5,29.0,12,0.89,11.0,29.0,-18.0,-1.28,-0.83,Matches
Nazariy Rusyn,ua UKR,"FW,MF",26.0,23,1181.0,51.0,38.6,13.1,13,70.0,1,10,27.0,0,1.04,14.0,24.0,-10.0,-0.76,0.05,Matches
Alassane Sidibe,ci CIV,MF,23.0,21,1080.0,51.0,35.3,12.0,13,73.0,5,8,17.0,7,1.19,7.0,21.0,-14.0,-1.17,-0.58,Matches
Vladislavs Gutkovskis,lv LVA,FW,30.0,16,1022.0,64.0,33.4,11.4,13,74.0,3,3,22.0,0,0.94,14.0,24.0,-10.0,-0.88,-0.13,Matches
Oskar Kubiak,pl POL,MF,18.0,14,949.0,68.0,31.0,10.5,12,75.0,6,2,24.0,1,1.0,16.0,19.0,-3.0,-0.28,0.74,Matches
Dawid Abramowicz,pl POL,"DF,MF",34.0,14,896.0,64.0,29.3,10.0,11,80.0,8,3,7.0,15,0.57,7.0,19.0,-12.0,-1.21,-0.58,Matches
Serafin Szota,pl POL,DF,26.0,10,864.0,86.0,28.2,9.6,10,86.0,8,0,,6,0.9,11.0,19.0,-8.0,-0.83,-0.05,Matches
Patryk Szysz,pl POL,"MF,FW",27.0,23,862.0,37.0,28.2,9.6,8,73.0,3,15,19.0,2,1.09,11.0,16.0,-5.0,-0.52,0.38,Matches
Julien Celestine,fr FRA,DF,28.0,8,675.0,84.0,22.1,7.5,8,84.0,7,0,,5,1.0,5.0,13.0,-8.0,-1.07,-0.35,Matches
Tornike Gaprindashvili,ge GEO,"MF,FW",28.0,17,770.0,45.0,25.2,8.6,7,73.0,3,10,26.0,11,1.06,6.0,12.0,-6.0,-0.7,0.12,Matches
Jędrzej Grobelny,pl POL,GK,24.0,7,630.0,90.0,20.6,7.0,7,90.0,7,0,,27,0.43,6.0,16.0,-10.0,-1.43,-0.8,Matches
João Oliveira,ch SUI,"FW,MF",29.0,14,476.0,34.0,15.6,5.3,6,61.0,0,8,14.0,7,1.36,3.0,5.0,-2.0,-0.38,0.49,Matches
Luis Perea,es ESP,MF,27.0,19,500.0,26.0,16.3,5.6,5,59.0,1,14,15.0,7,1.11,7.0,14.0,-7.0,-1.26,-0.56,Matches
Michał Rzuchowski,pl POL,MF,31.0,9,378.0,42.0,12.4,4.2,3,83.0,1,6,22.0,4,1.33,5.0,6.0,-1.0,-0.24,0.63,Matches
