Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Michał Marcjanik,pl POL,DF,30.0,32.7,2,15,4,26.7,0.46,0.12,0.13,0.5,0,0,Matches
Sebastian Kerk,de GER,"MF,FW",31.0,28.5,4,40,18,45.0,1.4,0.63,0.1,0.22,0,0,Matches
Kamil Jakubczyk,pl POL,MF,20.0,28.0,2,26,4,15.4,0.93,0.14,0.08,0.5,0,0,Matches
Damian Węglarz,pl POL,GK,29.0,27.0,0,0,0,,0.0,0.0,,,0,0,Matches
Dawid Kocyła,pl POL,"MF,FW",23.0,21.7,3,36,9,25.0,1.66,0.41,0.08,0.33,0,0,Matches
Marc Navarro,es ESP,"MF,DF",30.0,22.0,2,28,6,21.4,1.27,0.27,0.07,0.33,0,0,Matches
Aurélien Nguiamba,fr FRA,MF,26.0,18.4,0,5,0,0.0,0.27,0.0,0.0,,0,0,Matches
Kike Hermoso,es ESP,DF,25.0,19.0,1,16,2,12.5,0.84,0.11,0.06,0.5,0,0,Matches
Dawid Gojny,pl POL,DF,30.0,18.6,1,7,2,28.6,0.38,0.11,0.14,0.5,0,0,Matches
Eduardo Espiau,es ESP,FW,30.0,17.7,6,30,14,46.7,1.69,0.79,0.2,0.43,0,0,Matches
Dominick Zator,ca CAN,"DF,MF",30.0,14.1,0,5,2,40.0,0.35,0.14,0.0,0.0,0,0,Matches
Nazariy Rusyn,ua UKR,"FW,MF",26.0,13.1,4,27,11,40.7,2.06,0.84,0.15,0.36,0,0,Matches
Alassane Sidibe,ci CIV,MF,23.0,12.0,0,7,0,0.0,0.58,0.0,0.0,,0,0,Matches
Vladislavs Gutkovskis,lv LVA,FW,30.0,11.4,4,30,15,50.0,2.64,1.32,0.13,0.27,0,0,Matches
Oskar Kubiak,pl POL,MF,18.0,10.5,3,15,7,46.7,1.42,0.66,0.2,0.43,0,0,Matches
Dawid Abramowicz,pl POL,"DF,MF",34.0,10.0,1,9,3,33.3,0.9,0.3,0.11,0.33,0,0,Matches
Serafin Szota,pl POL,DF,26.0,9.6,0,4,3,75.0,0.42,0.31,0.0,0.0,0,0,Matches
Patryk Szysz,pl POL,"MF,FW",27.0,9.6,0,11,4,36.4,1.15,0.42,0.0,0.0,0,0,Matches
Julien Celestine,fr FRA,DF,28.0,7.5,0,4,0,0.0,0.53,0.0,0.0,,0,0,Matches
Tornike Gaprindashvili,ge GEO,"MF,FW",28.0,8.6,0,12,1,8.3,1.4,0.12,0.0,0.0,0,0,Matches
Jędrzej Grobelny,pl POL,GK,24.0,7.0,0,0,0,,0.0,0.0,,,0,0,Matches
João Oliveira,ch SUI,"FW,MF",29.0,5.3,0,8,3,37.5,1.51,0.57,0.0,0.0,0,0,Matches
Luis Perea,es ESP,MF,27.0,5.6,1,1,1,100.0,0.18,0.18,1.0,1.0,0,0,Matches
Michał Rzuchowski,pl POL,MF,31.0,4.2,0,5,0,0.0,1.19,0.0,0.0,,0,0,Matches
Percan,es ESP,FW,23.0,3.1,0,2,1,50.0,0.64,0.32,0.0,0.0,0,0,Matches
Hide Vitalucci,jp JPN,"MF,FW",23.0,2.7,0,5,1,20.0,1.88,0.38,0.0,0.0,0,0,Matches
Marcel Predenkiewicz,pl POL,FW,21.0,3.4,0,3,2,66.7,0.89,0.59,0.0,0.0,0,0,Matches
Szymon Sobczak,pl POL,FW,32.0,1.7,0,3,0,0.0,1.81,0.0,0.0,,0,0,Matches
Nikodem Gozdecki,pl POL,MF,18.0,0.3,0,1,0,0.0,3.33,0.0,0.0,,0,0,Matches
Olaf Gohlike,pl POL,DF,19.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Wojciech Zacharewicz,pl POL,DF,19.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,27.7,34.0,34,355,113,31.8,10.44,3.32,0.1,0.3,0,0,
Opponent Total,,,26.9,34.0,61,522,164,31.4,15.35,4.82,0.11,0.36,2,5,
