Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Michał Marcjanik,pl POL,DF,30.0,33,33,2943.0,32.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Sebastian Kerk,de GER,"MF,FW",31.0,33,31,2568.0,28.5,4.0,7.0,11.0,4.0,0.0,0.0,3.0,0.0,0.14,0.25,0.39,0.14,0.39,Matches
Kamil Jakubczyk,pl POL,MF,20.0,31,28,2516.0,28.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches
Damian Węglarz,pl POL,GK,29.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dawid Kocyła,pl POL,"MF,FW",23.0,31,24,1956.0,21.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Marc Navarro,es ESP,"MF,DF",30.0,28,22,1978.0,22.0,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.09,0.18,0.27,0.09,0.27,Matches
Aurélien Nguiamba,fr FRA,MF,26.0,28,19,1659.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Kike Hermoso,es ESP,DF,25.0,21,18,1713.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.11,0.16,0.05,0.16,Matches
Dawid Gojny,pl POL,DF,30.0,22,18,1672.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.11,0.05,0.11,Matches
Eduardo Espiau,es ESP,FW,30.0,29,17,1593.0,17.7,6.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Dominick Zator,ca CAN,"DF,MF",30.0,19,14,1268.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Nazariy Rusyn,ua UKR,"FW,MF",26.0,23,13,1181.0,13.1,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Alassane Sidibe,ci CIV,MF,23.0,21,13,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vladislavs Gutkovskis,lv LVA,FW,30.0,16,13,1022.0,11.4,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.35,0.09,0.44,0.35,0.44,Matches
Oskar Kubiak,pl POL,MF,18.0,14,12,949.0,10.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.28,0.09,0.38,0.28,0.38,Matches
Dawid Abramowicz,pl POL,"DF,MF",34.0,14,11,896.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches
Serafin Szota,pl POL,DF,26.0,10,10,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patryk Szysz,pl POL,"MF,FW",27.0,23,8,862.0,9.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Julien Celestine,fr FRA,DF,28.0,8,8,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tornike Gaprindashvili,ge GEO,"MF,FW",28.0,17,7,770.0,8.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches
Jędrzej Grobelny,pl POL,GK,24.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Oliveira,ch SUI,"FW,MF",29.0,14,6,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Perea,es ESP,MF,27.0,19,5,500.0,5.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.18,0.18,0.36,0.18,0.36,Matches
Michał Rzuchowski,pl POL,MF,31.0,9,3,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Percan,es ESP,FW,23.0,9,3,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.32,0.32,0.0,0.32,Matches
Hide Vitalucci,jp JPN,"MF,FW",23.0,6,2,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcel Predenkiewicz,pl POL,FW,21.0,12,1,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Szymon Sobczak,pl POL,FW,32.0,8,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nikodem Gozdecki,pl POL,MF,18.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Olaf Gohlike,pl POL,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wojciech Zacharewicz,pl POL,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kacper Krzepisz,pl POL,GK,25.0,0,0,,,,,,,,,,,,,,,,Matches
Zvonimir Petrović,ba BIH,MF,24.0,0,0,,,,,,,,,,,,,,,,Matches
Adam Ratajczyk,pl POL,MF,23.0,0,0,,,,,,,,,,,,,,,,Matches
Przemysław Stolc,pl POL,DF,31.0,0,0,,,,,,,,,,,,,,,,Matches
Andrei Vlad,ro ROU,GK,26.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,34,374,3060.0,34.0,34.0,22.0,56.0,34.0,0.0,0.0,72.0,2.0,1.0,0.65,1.65,1.0,1.65,
Opponent Total,,,26.9,34,374,3060.0,34.0,61.0,48.0,109.0,59.0,2.0,5.0,74.0,2.0,1.79,1.41,3.21,1.74,3.15,
