Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Oskar Wójcik,pl POL,DF,22.0,30.5,10,1,1,46,27,0,10,62,29,,,0,Matches
Sebastian Madejski,pl POL,GK,28.0,30.0,2,0,0,0,14,0,0,0,2,,,0,Matches
Gustav Henriksson,se SWE,DF,27.0,28.2,8,0,0,33,6,1,1,29,16,,,0,Matches
Amir Al Ammari,iq IRQ,MF,28.0,27.8,3,1,0,41,39,0,63,30,25,,,0,Matches
Mauro Perkovic,hr CRO,"MF,DF",22.0,24.3,2,1,0,29,27,0,61,37,27,,,0,Matches
Bosko Sutalo,hr CRO,DF,25.0,24.4,5,0,0,28,19,1,34,34,19,,,1,Matches
Ajdin Hasić,ba BIH,"MF,FW",23.0,22.6,3,0,0,31,37,1,85,16,18,,,0,Matches
Mateusz Klich,pl POL,MF,35.0,22.7,7,0,0,45,27,0,117,13,19,,,0,Matches
Dominik Piła,pl POL,"MF,DF",24.0,21.7,6,0,0,35,26,1,44,29,42,,,0,Matches
Martin Minchev,bg BUL,"FW,MF",24.0,18.0,4,0,0,27,23,8,48,5,29,,,0,Matches
Filip Stojilković,ch SUI,FW,25.0,16.8,3,0,0,13,5,16,9,3,2,,,0,Matches
Mikkel Maigaard,dk DEN,"MF,FW",29.0,16.6,3,0,0,16,22,0,67,13,12,,,0,Matches
Otar Kakabadze,ge GEO,"MF,FW",30.0,11.8,4,0,0,22,25,0,34,16,12,,,0,Matches
Mateusz Praszelik,pl POL,"MF,FW",24.0,11.1,4,0,0,18,12,1,17,4,9,,,0,Matches
Pau Sans,es ESP,MF,20.0,9.5,3,0,0,12,26,2,19,4,4,,,0,Matches
Brahim Traoré,fr FRA,DF,21.0,10.1,4,0,0,6,14,0,1,6,3,,,0,Matches
Kahveh Zahiroleslam,us USA,FW,23.0,6.9,1,0,0,6,10,5,1,0,2,,,0,Matches
Davíð Ólafsson,is ISL,"MF,DF",30.0,5.6,3,0,0,6,9,0,19,6,4,,,0,Matches
Karol Knap,pl POL,"MF,DF",23.0,6.1,3,1,1,13,16,1,19,7,7,,,0,Matches
Maxime Dominguez,ch SUI,MF,29.0,5.2,0,0,0,9,12,0,3,11,6,,,0,Matches
Dijon Kameri,at AUT,"MF,FW",21.0,7.2,1,0,0,13,22,3,9,3,4,,,0,Matches
Henrich Ravas,sk SVK,GK,27.0,4.0,0,0,0,0,2,0,0,0,0,,,0,Matches
Florent Batoum,cm CMR,FW,23.0,2.1,0,0,0,4,0,2,0,1,0,,,0,Matches
Mateusz Tabisz,pl POL,MF,17.0,2.1,0,0,0,1,2,0,1,0,1,,,0,Matches
Milan Aleksić,rs SRB,FW,19.0,2.0,0,0,0,4,1,0,5,2,2,,,0,Matches
Gabriel Charpentier,cg CGO,FW,26.0,1.7,0,0,0,3,2,1,1,0,1,,,0,Matches
Beno Selan,si SVN,MF,20.0,1.4,0,0,0,3,3,0,1,0,4,,,0,Matches
Michał Rakoczy,pl POL,"FW,MF",23.0,0.7,0,0,0,4,1,0,2,0,3,,,0,Matches
Bartosz Biedrzycki,pl POL,MF,22.0,0.6,0,0,0,0,1,0,2,0,2,,,0,Matches
Fabian Bzdyl,pl POL,DF,17.0,0.5,0,0,0,0,2,0,2,0,1,,,0,Matches
Jani Atanasov,mk MKD,MF,25.0,0.3,1,0,0,4,0,1,0,0,0,,,0,Matches
Wiktor Bogacz,pl POL,FW,21.0,0.2,0,0,0,0,1,0,0,0,1,,,0,Matches
Kamil Glik,pl POL,"DF,MF",37.0,0.1,1,0,0,1,0,0,0,0,0,,,0,Matches
Squad Total,,,25.9,34.0,81,4,2,473,433,44,675,331,306,,,1,
Opponent Total,,,26.7,34.0,62,3,1,446,455,29,622,234,295,,,1,
