Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Oskar Wójcik,pl POL,DF,22.0,31,2749.0,89.0,89.8,30.5,31,89.0,28,0,,0,1.29,37.0,38.0,-1.0,-0.03,0.55,Matches
Sebastian Madejski,pl POL,GK,28.0,30,2700.0,90.0,88.2,30.0,30,90.0,30,0,,4,1.17,29.0,34.0,-5.0,-0.17,-0.67,Matches
Gustav Henriksson,se SWE,DF,27.0,29,2534.0,87.0,82.8,28.2,29,87.0,24,0,,1,1.24,31.0,36.0,-5.0,-0.18,-0.52,Matches
Amir Al Ammari,iq IRQ,MF,28.0,33,2501.0,76.0,81.7,27.8,29,83.0,21,4,22.0,0,1.24,31.0,31.0,0.0,0.0,0.48,Matches
Mauro Perkovic,hr CRO,"MF,DF",22.0,27,2188.0,81.0,71.5,24.3,25,86.0,20,2,15.0,1,1.07,29.0,35.0,-6.0,-0.25,-0.56,Matches
Bosko Sutalo,hr CRO,DF,25.0,27,2193.0,81.0,71.7,24.4,24,88.0,19,3,29.0,1,1.11,25.0,28.0,-3.0,-0.12,-0.12,Matches
Ajdin Hasić,ba BIH,"MF,FW",23.0,27,2034.0,75.0,66.5,22.6,24,83.0,11,3,12.0,0,1.15,25.0,26.0,-1.0,-0.04,0.13,Matches
Mateusz Klich,pl POL,MF,35.0,27,2041.0,76.0,66.7,22.7,23,85.0,10,4,24.0,0,1.15,26.0,26.0,0.0,0.0,0.26,Matches
Dominik Piła,pl POL,"MF,DF",24.0,27,1950.0,72.0,63.7,21.7,22,85.0,17,5,16.0,5,1.19,24.0,26.0,-2.0,-0.09,-0.01,Matches
Martin Minchev,bg BUL,"FW,MF",24.0,29,1622.0,56.0,53.0,18.0,20,68.0,1,9,30.0,1,1.34,23.0,20.0,3.0,0.17,0.54,Matches
Filip Stojilković,ch SUI,FW,25.0,18,1516.0,84.0,49.5,16.8,18,84.0,8,0,,0,1.5,24.0,18.0,6.0,0.36,0.88,Matches
Mikkel Maigaard,dk DEN,"MF,FW",29.0,18,1494.0,83.0,48.8,16.6,18,83.0,8,0,,0,1.5,23.0,17.0,6.0,0.36,0.88,Matches
Otar Kakabadze,ge GEO,"MF,FW",30.0,13,1065.0,82.0,34.8,11.8,13,82.0,10,0,,1,1.62,21.0,12.0,9.0,0.76,1.3,Matches
Mateusz Praszelik,pl POL,"MF,FW",24.0,24,1000.0,42.0,32.7,11.1,11,67.0,1,13,20.0,7,1.21,9.0,11.0,-2.0,-0.18,-0.14,Matches
Pau Sans,es ESP,MF,20.0,14,852.0,61.0,27.8,9.5,11,71.0,0,3,25.0,2,0.93,10.0,11.0,-1.0,-0.11,-0.02,Matches
Brahim Traoré,fr FRA,DF,21.0,14,907.0,65.0,29.6,10.1,10,84.0,7,4,18.0,12,0.71,5.0,14.0,-9.0,-0.89,-1.14,Matches
Kahveh Zahiroleslam,us USA,FW,23.0,23,622.0,27.0,20.3,6.9,6,71.0,0,17,12.0,6,1.0,5.0,10.0,-5.0,-0.72,-0.8,Matches
Davíð Ólafsson,is ISL,"MF,DF",30.0,7,506.0,72.0,16.5,5.6,6,83.0,4,1,6.0,10,2.0,10.0,6.0,4.0,0.71,0.96,Matches
Karol Knap,pl POL,"MF,DF",23.0,16,548.0,34.0,17.9,6.1,5,66.0,1,11,20.0,17,1.81,5.0,7.0,-2.0,-0.33,-0.29,Matches
Maxime Dominguez,ch SUI,MF,29.0,13,469.0,36.0,15.3,5.2,5,63.0,0,8,20.0,3,1.08,2.0,5.0,-3.0,-0.58,-0.58,Matches
Dijon Kameri,at AUT,"MF,FW",21.0,22,647.0,29.0,21.1,7.2,4,64.0,0,18,22.0,4,1.18,12.0,12.0,0.0,0.0,0.11,Matches
Henrich Ravas,sk SVK,GK,27.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,,30,1.75,10.0,8.0,2.0,0.5,0.67,Matches
Florent Batoum,cm CMR,FW,23.0,6,188.0,31.0,6.1,2.1,2,66.0,0,4,14.0,6,0.83,2.0,5.0,-3.0,-1.44,-1.44,Matches
Mateusz Tabisz,pl POL,MF,17.0,8,185.0,23.0,6.0,2.1,1,60.0,0,7,18.0,8,0.75,2.0,6.0,-4.0,-1.95,-1.98,Matches
Milan Aleksić,rs SRB,FW,19.0,6,184.0,31.0,6.0,2.0,1,45.0,0,5,28.0,5,1.0,1.0,4.0,-3.0,-1.47,-1.47,Matches
Gabriel Charpentier,cg CGO,FW,26.0,7,156.0,22.0,5.1,1.7,1,45.0,0,6,19.0,1,0.86,3.0,5.0,-2.0,-1.15,-1.12,Matches
Beno Selan,si SVN,MF,20.0,6,127.0,21.0,4.2,1.4,1,61.0,0,5,13.0,4,1.0,0.0,1.0,-1.0,-0.71,-0.65,Matches
Michał Rakoczy,pl POL,"FW,MF",23.0,3,61.0,20.0,2.0,0.7,0,,0,3,20.0,9,1.33,0.0,2.0,-2.0,-2.95,-2.92,Matches
Bartosz Biedrzycki,pl POL,MF,22.0,4,51.0,13.0,1.7,0.6,0,,0,4,13.0,11,1.0,1.0,1.0,0.0,0.0,0.09,Matches
Fabian Bzdyl,pl POL,DF,17.0,2,46.0,23.0,1.5,0.5,0,,0,2,23.0,3,1.0,1.0,0.0,1.0,1.96,2.08,Matches
Jani Atanasov,mk MKD,MF,25.0,2,26.0,13.0,0.8,0.3,0,,0,2,13.0,0,3.0,0.0,0.0,0.0,0.0,0.09,Matches
Wiktor Bogacz,pl POL,FW,21.0,1,17.0,17.0,0.6,0.2,0,,0,1,17.0,4,1.0,0.0,0.0,0.0,0.0,0.09,Matches
Kamil Glik,pl POL,"DF,MF",37.0,2,6.0,3.0,0.2,0.1,0,,0,2,3.0,17,2.0,0.0,0.0,0.0,0.0,0.09,Matches
Konrad Cymerys,pl POL,GK,16.0,0,,,,,0,,0,0,,4,,,,,,,Matches
Konrad Golonka,pl POL,GK,18.0,0,,,,,0,,0,0,,13,,,,,,,Matches
Patryk Janasik,pl POL,"DF,MF",27.0,0,,,,,0,,0,0,,6,,,,,,,Matches
Jakub Jugas,cz CZE,DF,33.0,0,,,,,0,,0,0,,14,,,,,,,Matches
Andreas Skovgaard,dk DEN,DF,28.0,0,,,,,0,,0,0,,6,,,,,,,Matches
Squad Total,,,25.9,34,3060.0,90.0,100.0,34.0,374,82.0,224,146,19.0,216,1.24,39.0,42.0,-3.0,-0.09,,
Opponent Total,,,26.7,34,3060.0,90.0,100.0,34.0,374,82.0,223,149,21.0,200,1.32,42.0,39.0,3.0,0.09,,
