Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Oskar Wójcik,pl POL,DF,22.0,30.5,0,19,4,21.1,0.62,0.13,0.0,0.0,0,0,Matches
Sebastian Madejski,pl POL,GK,28.0,30.0,0,0,0,,0.0,0.0,,,0,0,Matches
Gustav Henriksson,se SWE,DF,27.0,28.2,1,10,4,40.0,0.36,0.14,0.1,0.25,0,0,Matches
Amir Al Ammari,iq IRQ,MF,28.0,27.8,1,22,2,9.1,0.79,0.07,0.05,0.5,0,0,Matches
Mauro Perkovic,hr CRO,"MF,DF",22.0,24.3,4,34,16,47.1,1.4,0.66,0.12,0.25,0,0,Matches
Bosko Sutalo,hr CRO,DF,25.0,24.4,0,11,1,9.1,0.45,0.04,0.0,0.0,0,0,Matches
Ajdin Hasić,ba BIH,"MF,FW",23.0,22.6,7,53,18,34.0,2.35,0.8,0.08,0.22,3,3,Matches
Mateusz Klich,pl POL,MF,35.0,22.7,1,24,4,16.7,1.06,0.18,0.04,0.25,0,0,Matches
Dominik Piła,pl POL,"MF,DF",24.0,21.7,0,9,3,33.3,0.42,0.14,0.0,0.0,0,0,Matches
Martin Minchev,bg BUL,"FW,MF",24.0,18.0,4,34,14,41.2,1.89,0.78,0.12,0.29,0,0,Matches
Filip Stojilković,ch SUI,FW,25.0,16.8,7,46,16,34.8,2.73,0.95,0.15,0.44,0,0,Matches
Mikkel Maigaard,dk DEN,"MF,FW",29.0,16.6,1,25,4,16.0,1.51,0.24,0.04,0.25,0,1,Matches
Otar Kakabadze,ge GEO,"MF,FW",30.0,11.8,2,13,3,23.1,1.1,0.25,0.15,0.67,0,0,Matches
Mateusz Praszelik,pl POL,"MF,FW",24.0,11.1,2,21,6,28.6,1.89,0.54,0.1,0.33,0,0,Matches
Pau Sans,es ESP,MF,20.0,9.5,1,29,7,24.1,3.06,0.74,0.03,0.14,0,0,Matches
Brahim Traoré,fr FRA,DF,21.0,10.1,0,3,0,0.0,0.3,0.0,0.0,,0,0,Matches
Kahveh Zahiroleslam,us USA,FW,23.0,6.9,3,17,7,41.2,2.46,1.01,0.18,0.43,0,0,Matches
Davíð Ólafsson,is ISL,"MF,DF",30.0,5.6,0,5,1,20.0,0.89,0.18,0.0,0.0,0,0,Matches
Karol Knap,pl POL,"MF,DF",23.0,6.1,0,11,4,36.4,1.81,0.66,0.0,0.0,0,0,Matches
Maxime Dominguez,ch SUI,MF,29.0,5.2,0,4,1,25.0,0.77,0.19,0.0,0.0,0,0,Matches
Dijon Kameri,at AUT,"MF,FW",21.0,7.2,2,19,7,36.8,2.64,0.97,0.11,0.29,0,0,Matches
Henrich Ravas,sk SVK,GK,27.0,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
Florent Batoum,cm CMR,FW,23.0,2.1,0,2,0,0.0,0.96,0.0,0.0,,0,0,Matches
Mateusz Tabisz,pl POL,MF,17.0,2.1,0,5,1,20.0,2.43,0.49,0.0,0.0,0,0,Matches
Milan Aleksić,rs SRB,FW,19.0,2.0,0,4,0,0.0,1.96,0.0,0.0,,0,0,Matches
Gabriel Charpentier,cg CGO,FW,26.0,1.7,2,5,4,80.0,2.88,2.31,0.4,0.5,0,0,Matches
Beno Selan,si SVN,MF,20.0,1.4,0,0,0,,0.0,0.0,,,0,0,Matches
Michał Rakoczy,pl POL,"FW,MF",23.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Bartosz Biedrzycki,pl POL,MF,22.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
Fabian Bzdyl,pl POL,DF,17.0,0.5,0,1,0,0.0,1.96,0.0,0.0,,0,0,Matches
Jani Atanasov,mk MKD,MF,25.0,0.3,0,2,0,0.0,6.92,0.0,0.0,,0,0,Matches
Wiktor Bogacz,pl POL,FW,21.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Kamil Glik,pl POL,"DF,MF",37.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,25.9,34.0,38,428,127,29.7,12.59,3.74,0.08,0.28,3,4,
Opponent Total,,,26.7,34.0,41,380,130,34.2,11.18,3.82,0.09,0.27,6,7,
