Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Oskar Wójcik,pl POL,DF,22.0,31,31,2749.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastian Madejski,pl POL,GK,28.0,30,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustav Henriksson,se SWE,DF,27.0,29,29,2534.0,28.2,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
Amir Al Ammari,iq IRQ,MF,28.0,33,29,2501.0,27.8,1.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.04,0.14,0.18,0.04,0.18,Matches
Mauro Perkovic,hr CRO,"MF,DF",22.0,27,25,2188.0,24.3,4.0,1.0,5.0,4.0,0.0,0.0,2.0,1.0,0.16,0.04,0.21,0.16,0.21,Matches
Bosko Sutalo,hr CRO,DF,25.0,27,24,2193.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ajdin Hasić,ba BIH,"MF,FW",23.0,27,24,2034.0,22.6,7.0,5.0,12.0,4.0,3.0,3.0,3.0,0.0,0.31,0.22,0.53,0.18,0.4,Matches
Mateusz Klich,pl POL,MF,35.0,27,23,2041.0,22.7,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Dominik Piła,pl POL,"MF,DF",24.0,27,22,1950.0,21.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Martin Minchev,bg BUL,"FW,MF",24.0,29,20,1622.0,18.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.22,0.06,0.28,0.22,0.28,Matches
Filip Stojilković,ch SUI,FW,25.0,18,18,1516.0,16.8,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,0.42,0.12,0.53,0.42,0.53,Matches
Mikkel Maigaard,dk DEN,"MF,FW",29.0,18,18,1494.0,16.6,1.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches
Otar Kakabadze,ge GEO,"MF,FW",30.0,13,13,1065.0,11.8,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.17,0.17,0.34,0.17,0.34,Matches
Mateusz Praszelik,pl POL,"MF,FW",24.0,24,11,1000.0,11.1,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Pau Sans,es ESP,MF,20.0,14,11,852.0,9.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Brahim Traoré,fr FRA,DF,21.0,14,10,907.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kahveh Zahiroleslam,us USA,FW,23.0,23,6,622.0,6.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches
Davíð Ólafsson,is ISL,"MF,DF",30.0,7,6,506.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Karol Knap,pl POL,"MF,DF",23.0,16,5,548.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.16,0.16,0.0,0.16,Matches
Maxime Dominguez,ch SUI,MF,29.0,13,5,469.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dijon Kameri,at AUT,"MF,FW",21.0,22,4,647.0,7.2,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.28,0.14,0.42,0.28,0.42,Matches
Henrich Ravas,sk SVK,GK,27.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Florent Batoum,cm CMR,FW,23.0,6,2,188.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateusz Tabisz,pl POL,MF,17.0,8,1,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Milan Aleksić,rs SRB,FW,19.0,6,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Charpentier,cg CGO,FW,26.0,7,1,156.0,1.7,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.15,0.58,1.73,1.15,1.73,Matches
Beno Selan,si SVN,MF,20.0,6,1,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michał Rakoczy,pl POL,"FW,MF",23.0,3,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bartosz Biedrzycki,pl POL,MF,22.0,4,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabian Bzdyl,pl POL,DF,17.0,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jani Atanasov,mk MKD,MF,25.0,2,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wiktor Bogacz,pl POL,FW,21.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kamil Glik,pl POL,"DF,MF",37.0,2,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Konrad Cymerys,pl POL,GK,16.0,0,0,,,,,,,,,,,,,,,,Matches
Konrad Golonka,pl POL,GK,18.0,0,0,,,,,,,,,,,,,,,,Matches
Patryk Janasik,pl POL,"DF,MF",27.0,0,0,,,,,,,,,,,,,,,,Matches
Jakub Jugas,cz CZE,DF,33.0,0,0,,,,,,,,,,,,,,,,Matches
Andreas Skovgaard,dk DEN,DF,28.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.9,34,374,3060.0,34.0,38.0,24.0,62.0,35.0,3.0,4.0,81.0,4.0,1.12,0.71,1.82,1.03,1.74,
Opponent Total,,,26.7,34,374,3060.0,34.0,41.0,22.0,63.0,35.0,6.0,7.0,62.0,3.0,1.21,0.65,1.85,1.03,1.68,
