Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Bartosz Nowak,pl POL,"FW,MF",31.0,33.3,1,0,0,11,22,5,235,20,16,,,0,Matches
Arkadiusz Jędrych,pl POL,DF,33.0,33.0,5,0,0,18,15,4,3,21,18,,,1,Matches
Marcin Wasielewski,pl POL,MF,30.0,32.6,7,0,0,48,49,5,99,23,42,,,0,Matches
Alan Czerwiński,pl POL,DF,32.0,25.5,6,0,0,32,11,3,46,18,13,,,1,Matches
Mateusz Kowalczyk,pl POL,MF,21.0,24.3,2,0,0,40,44,1,16,29,38,,,1,Matches
Borja Galán,es ESP,MF,32.0,25.2,5,0,0,29,45,2,65,17,17,,,0,Matches
Lukas Klemenz,pl POL,DF,29.0,24.9,4,0,0,33,12,3,4,28,22,,,1,Matches
Rafał Strączek,pl POL,GK,26.0,22.0,2,0,0,0,9,0,0,0,0,,,0,Matches
Sebastian Milewski,pl POL,MF,27.0,19.8,4,0,0,48,35,0,6,19,26,,,0,Matches
Adam Zreľák,sk SVK,FW,31.0,14.3,3,0,0,39,15,11,3,7,14,,,0,Matches
Ilya Shkurin,by BLR,FW,25.0,14.0,2,0,0,17,16,9,1,1,4,,,0,Matches
Eman Marković,no NOR,"FW,MF",25.0,12.5,2,0,0,10,8,1,32,5,9,,,0,Matches
Dawid Kudła,pl POL,GK,33.0,12.0,2,0,0,0,2,0,0,0,0,,,0,Matches
Erik Jirka,sk SVK,MF,27.0,9.3,1,0,0,8,5,1,27,10,10,,,0,Matches
Mateusz Wdowiak,pl POL,"FW,MF",28.0,8.9,1,0,0,11,15,1,18,6,7,,,0,Matches
Märten Kuusk,ee EST,DF,29.0,9.5,2,0,0,9,3,0,3,6,15,,,1,Matches
Jesse Bosch,nl NED,MF,25.0,7.2,3,0,0,13,5,0,3,10,8,,,0,Matches
Kacper Lukasiak,pl POL,MF,21.0,7.3,0,0,0,11,18,0,0,4,6,,,0,Matches
Adrian Błąd,pl POL,FW,34.0,6.7,2,0,0,10,5,1,18,1,9,,,0,Matches
Marcel Wędrychowski,pl POL,FW,23.0,8.4,1,0,0,12,23,3,19,2,11,,,0,Matches
Damian Rasak,pl POL,MF,29.0,7.2,2,0,0,11,9,0,2,11,3,,,0,Matches
Marius Olsen,no NOR,DF,24.0,3.8,1,0,0,4,4,0,0,5,5,,,0,Matches
Maciej Rosołek,pl POL,FW,23.0,3.7,1,0,0,4,2,2,4,2,5,,,0,Matches
Grzegorz Rogala,pl POL,DF,29.0,3.2,0,0,0,2,0,0,5,1,0,,,0,Matches
Konrad Gruszkowski,pl POL,MF,24.0,1.7,1,0,0,2,1,1,8,1,4,,,0,Matches
Aleksander Paluszek,pl POL,DF,24.0,1.0,0,0,0,2,3,0,0,0,0,,,0,Matches
Aleksander Buksa,pl POL,FW,22.0,1.3,0,0,0,2,0,0,0,0,2,,,0,Matches
Jakub Kokosiński,pl POL,FW,18.0,0.7,0,0,0,1,0,0,0,0,0,,,0,Matches
Jakub Łukowski,pl POL,MF,29.0,0.5,0,0,0,3,0,0,5,0,0,,,0,Matches
Filip Rejczyk,pl POL,MF,19.0,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Alan Brod,pl POL,MF,20.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.2,34.0,60,0,0,430,376,53,622,247,304,,,5,
Opponent Total,,,26.6,34.0,72,3,2,394,409,30,710,278,267,,,2,
