Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bartosz Nowak,pl POL,"FW,MF",31.0,34,3001.0,88.0,98.1,33.3,34,88.0,25,0,,0,1.47,50.0,45.0,5.0,0.15,-1.38,Matches
Arkadiusz Jędrych,pl POL,DF,33.0,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,0,1.42,49.0,45.0,4.0,0.12,-1.88,Matches
Marcin Wasielewski,pl POL,MF,30.0,33,2933.0,89.0,95.8,32.6,33,89.0,29,0,,0,1.42,49.0,45.0,4.0,0.12,-1.29,Matches
Alan Czerwiński,pl POL,DF,32.0,29,2298.0,79.0,75.1,25.5,28,81.0,14,1,33.0,2,1.38,37.0,38.0,-1.0,-0.04,-0.87,Matches
Mateusz Kowalczyk,pl POL,MF,21.0,28,2188.0,78.0,71.5,24.3,27,80.0,16,1,33.0,0,1.39,36.0,34.0,2.0,0.08,-0.33,Matches
Borja Galán,es ESP,MF,32.0,30,2269.0,76.0,74.2,25.2,25,86.0,18,5,25.0,0,1.4,37.0,37.0,0.0,0.0,-0.68,Matches
Lukas Klemenz,pl POL,DF,29.0,28,2240.0,80.0,73.2,24.9,25,88.0,24,3,16.0,3,1.57,38.0,29.0,9.0,0.36,0.69,Matches
Rafał Strączek,pl POL,GK,26.0,22,1980.0,90.0,64.7,22.0,22,90.0,22,0,,10,1.64,32.0,21.0,11.0,0.5,0.92,Matches
Sebastian Milewski,pl POL,MF,27.0,24,1778.0,74.0,58.1,19.8,20,80.0,9,4,46.0,3,1.63,30.0,24.0,6.0,0.3,0.3,Matches
Adam Zreľák,sk SVK,FW,31.0,22,1290.0,59.0,42.2,14.3,17,67.0,0,5,29.0,0,1.73,22.0,21.0,1.0,0.07,-0.18,Matches
Ilya Shkurin,by BLR,FW,25.0,27,1264.0,47.0,41.3,14.0,13,72.0,1,14,23.0,0,1.59,26.0,16.0,10.0,0.71,0.91,Matches
Eman Marković,no NOR,"FW,MF",25.0,25,1124.0,45.0,36.7,12.5,13,68.0,0,12,20.0,2,1.48,25.0,19.0,6.0,0.48,0.48,Matches
Dawid Kudła,pl POL,GK,33.0,12,1080.0,90.0,35.3,12.0,12,90.0,12,0,,17,1.17,19.0,24.0,-5.0,-0.42,-0.92,Matches
