Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bartosz Nowak,pl POL,"FW,MF",31.0,34,34,3001.0,33.3,9.0,12.0,21.0,9.0,0.0,0.0,1.0,0.0,0.27,0.36,0.63,0.27,0.63,Matches
Arkadiusz Jędrych,pl POL,DF,33.0,33,33,2970.0,33.0,6.0,0.0,6.0,5.0,1.0,1.0,5.0,0.0,0.18,0.0,0.18,0.15,0.15,Matches
Marcin Wasielewski,pl POL,MF,30.0,33,33,2933.0,32.6,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches
Alan Czerwiński,pl POL,DF,32.0,29,28,2298.0,25.5,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Mateusz Kowalczyk,pl POL,MF,21.0,28,27,2188.0,24.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Borja Galán,es ESP,MF,32.0,30,25,2269.0,25.2,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches
Lukas Klemenz,pl POL,DF,29.0,28,25,2240.0,24.9,6.0,0.0,6.0,6.0,0.0,0.0,4.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches
Rafał Strączek,pl POL,GK,26.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sebastian Milewski,pl POL,MF,27.0,24,20,1778.0,19.8,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.05,0.1,0.15,0.05,0.15,Matches
Adam Zreľák,sk SVK,FW,31.0,22,17,1290.0,14.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches
Ilya Shkurin,by BLR,FW,25.0,27,13,1264.0,14.0,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,0.36,0.14,0.5,0.36,0.5,Matches
Eman Marković,no NOR,"FW,MF",25.0,25,13,1124.0,12.5,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,0.64,0.08,0.72,0.64,0.72,Matches
Dawid Kudła,pl POL,GK,33.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erik Jirka,sk SVK,MF,27.0,14,10,835.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches
Mateusz Wdowiak,pl POL,"FW,MF",28.0,16,10,802.0,8.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
Märten Kuusk,ee EST,DF,29.0,15,9,853.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesse Bosch,nl NED,MF,25.0,11,8,651.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kacper Lukasiak,pl POL,MF,21.0,12,7,658.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrian Błąd,pl POL,FW,34.0,21,6,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcel Wędrychowski,pl POL,FW,23.0,28,5,754.0,8.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.24,0.12,0.36,0.24,0.36,Matches
Damian Rasak,pl POL,MF,29.0,14,5,647.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marius Olsen,no NOR,DF,24.0,4,4,345.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maciej Rosołek,pl POL,FW,23.0,8,4,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Grzegorz Rogala,pl POL,DF,29.0,6,2,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Konrad Gruszkowski,pl POL,MF,24.0,8,1,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksander Paluszek,pl POL,DF,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksander Buksa,pl POL,FW,22.0,4,0,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
