Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Marcel Łubik,pl POL,GK,21,32.6,0,0,0,0,6,0,0,0,0,,,0,Matches
Patrik Hellebrand,cz CZE,MF,26,31.8,7,0,0,26,48,0,9,44,65,,,0,Matches
Rafał Janicki,pl POL,DF,33,30.9,5,0,0,26,12,3,5,21,23,,,0,Matches
Erik Janža,si SVN,DF,32,30.0,3,0,0,18,37,2,222,25,25,,,0,Matches
Josema,es ESP,DF,29,29.5,3,0,0,25,19,0,13,41,31,,,0,Matches
Sondre Liseth,no NOR,FW,27,26.0,2,0,0,24,54,13,5,3,5,,,0,Matches
Jarosław Kubicki,pl POL,MF,29,24.4,1,0,0,18,13,1,46,23,11,,,0,Matches
Lukáš Ambros,cz CZE,MF,21,20.7,5,0,0,34,18,1,12,14,24,,,0,Matches
Maksym Khlan,ua UKR,"MF,FW",22,21.4,2,0,0,28,36,2,35,7,19,,,0,Matches
Paweł Olkowski,pl POL,DF,35,16.6,0,0,0,12,14,0,75,21,14,,,0,Matches
Ousmane Sow,sn SEN,"MF,FW",25,12.7,2,0,0,20,15,3,38,6,6,,,0,Matches
Lukáš Sadílek,cz CZE,MF,29,12.0,3,0,0,13,10,3,38,17,14,,,0,Matches
Kryspin Szczesniak,pl POL,DF,24,9.8,2,0,0,12,7,0,9,9,8,,,0,Matches
Yvan Ikia Dimi,fr FRA,"FW,MF",20,7.8,2,0,0,12,12,2,14,2,8,,,0,Matches
Michal Sáček,cz CZE,DF,28,8.2,1,0,0,9,17,0,17,14,10,,,0,Matches
Matúš Kmeť,sk SVK,"DF,MF",25,7.0,0,0,0,5,3,0,44,6,15,,,0,Matches
Taofeek Ismaheel,ng NGA,MF,25,6.2,1,0,0,3,12,1,13,6,2,,,0,Matches
Ondřej Zmrzlý,cz CZE,"FW,DF",26,6.2,0,0,0,8,4,3,33,4,7,,,0,Matches
Roberto Massimo,de GER,"MF,FW",24,5.2,0,0,0,7,7,1,2,3,8,,,0,Matches
Kamil Lukoszek,pl POL,"MF,FW",23,6.1,0,0,0,5,9,1,24,5,3,,,0,Matches
Brandon Domingues,fr FRA,"MF,FW",25,3.1,0,0,0,4,6,1,9,4,2,,,0,Matches
Paweł Bochniewicz,pl POL,DF,29,3.6,0,0,0,3,3,0,0,4,5,,,0,Matches
Goh Youngjun,kr KOR,MF,24,3.5,0,0,0,3,7,0,2,1,1,,,0,Matches
Theodoros Tsirigotis,gr GRE,FW,25,3.0,0,0,0,4,3,2,1,1,0,,,0,Matches
Bastien Donio,fr FRA,MF,19,2.2,1,0,0,4,3,0,1,4,6,,,0,Matches
Lukas Podolski,de GER,MF,40,3.1,3,1,0,6,5,1,6,0,3,,,0,Matches
Luka Zahović,si SVN,MF,29,2.3,0,0,0,5,0,0,1,1,0,,,0,Matches
Borislav Rupanov,bg BUL,FW,20,1.9,0,0,0,4,8,1,1,0,1,,,0,Matches
Maksymilian Pingot,pl POL,DF,22,1.7,1,0,0,4,2,0,0,2,2,,,0,Matches
Tomasz Loska,pl POL,GK,29,1.4,0,0,0,0,0,0,0,0,0,,,0,Matches
,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Michał Rakoczy,pl POL,MF,23,1.3,0,0,0,3,0,1,7,0,1,,,0,Matches
Natan Dziegielewski,pl POL,MF,20,1.1,1,0,0,2,3,0,4,0,3,,,0,Matches
Abbati Abdullahi,ng NGA,MF,19,0.3,0,0,0,3,0,0,1,0,0,,,0,Matches
Gabriel Barbosa,br BRA,FW,26,0.3,1,0,0,2,0,0,0,0,0,,,0,Matches
Mathias Dahl Sauer,dk DEN,MF,21,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Dominik Szala,pl POL,DF,19,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,27.2,34.0,46,1,0,352,393,42,688,288,322,,,0,
Opponent Total,,,27.0,34.0,74,0,0,409,340,26,538,298,337,,,4,
