Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Marcel Łubik,pl POL,GK,21,33,2936,89,95.9,32.6,33,89,32,0,,1,1.70,48,31,+17,+0.52,+4.15,Matches
Patrik Hellebrand,cz CZE,MF,26,33,2859,87,93.4,31.8,33,87,22,0,,0,1.70,47,32,+15,+0.47,+1.82,Matches
Rafał Janicki,pl POL,DF,33,31,2783,90,90.9,30.9,31,90,29,0,,0,1.65,43,35,+8,+0.26,-1.04,Matches
Erik Janža,si SVN,DF,32,32,2702,84,88.3,30.0,31,86,25,1,21,0,1.66,43,34,+9,+0.30,-0.45,Matches
Josema,es ESP,DF,29,31,2653,86,86.7,29.5,31,86,25,0,,3,1.77,45,27,+18,+0.61,+1.94,Matches
Sondre Liseth,no NOR,FW,27,30,2341,78,76.5,26.0,28,82,11,2,25,2,1.67,39,30,+9,+0.35,-0.03,Matches
Jarosław Kubicki,pl POL,MF,29,29,2192,76,71.6,24.4,24,87,19,5,22,1,1.79,36,21,+15,+0.62,+0.93,Matches
Lukáš Ambros,cz CZE,MF,21,26,1860,72,60.8,20.7,23,77,9,3,32,4,1.70,35,20,+15,+0.73,+0.95,Matches
Maksym Khlan,ua UKR,"MF,FW",22,26,1929,74,63.0,21.4,21,83,7,5,37,2,1.54,33,24,+9,+0.42,+0.18,Matches
Paweł Olkowski,pl POL,DF,35,25,1491,60,48.7,16.6,16,82,10,9,20,9,1.92,26,14,+12,+0.72,+0.72,Matches
Ousmane Sow,sn SEN,"MF,FW",25,16,1143,71,37.4,12.7,13,81,4,3,32,0,1.50,26,20,+6,+0.47,+0.19,Matches
Lukáš Sadílek,cz CZE,MF,29,15,1077,72,35.2,12.0,13,79,4,2,25,1,1.73,16,7,+9,+0.75,+0.62,Matches
Kryspin Szczesniak,pl POL,DF,24,16,882,55,28.8,9.8,11,76,5,5,8,17,2.06,20,14,+6,+0.61,+0.36,Matches
Yvan Ikia Dimi,fr FRA,"FW,MF",20,13,702,54,22.9,7.8,9,66,2,4,28,1,1.69,14,5,+9,+1.15,+1.04,Matches
Michal Sáček,cz CZE,DF,28,12,739,62,24.2,8.2,8,81,5,4,23,0,1.50,10,10,0,0.00,-0.47,Matches
Matúš Kmeť,sk SVK,"DF,MF",25,13,632,49,20.7,7.0,7,72,1,6,22,3,1.38,8,10,-2,-0.28,-0.80,Matches
Taofeek Ismaheel,ng NGA,MF,25,7,559,80,18.3,6.2,7,80,2,0,,0,1.71,9,4,+5,+0.81,+0.55,Matches
Ondřej Zmrzlý,cz CZE,"FW,DF",26,10,559,56,18.3,6.2,5,74,2,5,38,2,1.80,6,7,-1,-0.16,-0.63,Matches
Roberto Massimo,de GER,"MF,FW",24,12,470,39,15.4,5.2,5,65,0,7,20,8,1.50,3,6,-3,-0.57,-1.10,Matches
Kamil Lukoszek,pl POL,"MF,FW",23,18,548,30,17.9,6.1,4,73,1,14,18,12,1.50,7,8,-1,-0.16,-0.63,Matches
Brandon Domingues,fr FRA,"MF,FW",25,5,282,56,9.2,3.1,4,68,1,1,10,2,1.00,3,3,0,0.00,-0.39,Matches
Paweł Bochniewicz,pl POL,DF,29,8,320,40,10.5,3.6,3,90,3,5,10,7,1.13,4,8,-4,-1.13,-1.65,Matches
Goh Youngjun,kr KOR,MF,24,9,311,35,10.2,3.5,3,60,0,6,22,9,1.56,6,11,-5,-1.45,-2.00,Matches
Theodoros Tsirigotis,gr GRE,FW,25,6,271,45,8.9,3.0,3,72,0,3,18,1,1.50,3,2,+1,+0.33,-0.02,Matches
Bastien Donio,fr FRA,MF,19,9,197,22,6.4,2.2,2,50,0,7,14,25,1.78,3,7,-4,-1.83,-2.33,Matches
Lukas Podolski,de GER,MF,40,16,281,18,9.2,3.1,1,55,0,15,15,8,1.75,3,6,-3,-0.96,-1.45,Matches
Luka Zahović,si SVN,MF,29,6,205,34,6.7,2.3,1,83,0,5,24,4,1.83,4,1,+3,+1.32,+1.03,Matches
Borislav Rupanov,bg BUL,FW,20,6,174,29,5.7,1.9,1,90,1,5,17,10,0.83,2,3,-1,-0.52,-0.92,Matches
Maksymilian Pingot,pl POL,DF,22,8,154,19,5.0,1.7,1,90,1,7,9,9,1.75,3,5,-2,-1.17,-1.60,Matches
Tomasz Loska,pl POL,GK,29,2,124,62,4.1,1.4,1,90,1,1,34,32,1.50,2,7,-5,-3.63,-4.15,Matches
,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Michał Rakoczy,pl POL,MF,23,5,113,23,3.7,1.3,1,45,0,4,17,9,0.80,2,5,-3,-2.39,-2.85,Matches
Natan Dziegielewski,pl POL,MF,20,8,95,12,3.1,1.1,0,,0,8,12,8,1.25,2,2,0,0.00,-0.36,Matches
Abbati Abdullahi,ng NGA,MF,19,4,31,8,1.0,0.3,0,,0,4,8,7,0.75,0,0,0,0.00,-0.36,Matches
Gabriel Barbosa,br BRA,FW,26,3,26,9,0.8,0.3,0,,0,3,9,8,1.33,1,0,+1,+3.46,+3.14,Matches
Mathias Dahl Sauer,dk DEN,MF,21,3,17,6,0.6,0.2,0,,0,3,6,8,2.00,0,0,0,0.00,-0.35,Matches
Dominik Szala,pl POL,DF,19,1,1,1,0.0,0.0,0,,0,1,1,9,3.00,0,0,0,0.00,-0.35,Matches
Antoni Balabuch,pl POL,GK,18,0,,,,,0,,0,0,,3,,,,,,,Matches
Piotr Pietryga,pl POL,GK,22,0,,,,,0,,0,0,,13,,,,,,,Matches
Squad Total,,,27.2,34,3060,90,100,34.0,374,82,222,153,19,238,1.65,50,38,+12,+0.35,,
Opponent Total,,,27.0,34,3060,90,100,34.0,374,82,219,155,22,198,1.12,38,50,-12,-0.35,,
