Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Marcel Łubik,pl POL,GK,21,32.6,0,0,0,,0.00,0.00,,,0,0,Matches
Patrik Hellebrand,cz CZE,MF,26,31.8,4,64,14,21.9,2.01,0.44,0.06,0.29,0,0,Matches
Rafał Janicki,pl POL,DF,33,30.9,4,18,6,33.3,0.58,0.19,0.11,0.33,2,2,Matches
Erik Janža,si SVN,DF,32,30.0,4,32,10,31.3,1.07,0.33,0.13,0.40,0,0,Matches
Josema,es ESP,DF,29,29.5,0,17,3,17.6,0.58,0.10,0.00,0.00,0,0,Matches
Sondre Liseth,no NOR,FW,27,26.0,8,53,20,37.7,2.04,0.77,0.15,0.40,0,0,Matches
Jarosław Kubicki,pl POL,MF,29,24.4,3,30,12,40.0,1.23,0.49,0.10,0.25,0,0,Matches
Lukáš Ambros,cz CZE,MF,21,20.7,1,46,8,17.4,2.23,0.39,0.02,0.13,0,0,Matches
Maksym Khlan,ua UKR,"MF,FW",22,21.4,6,66,21,31.8,3.08,0.98,0.09,0.29,0,0,Matches
Paweł Olkowski,pl POL,DF,35,16.6,0,17,2,11.8,1.03,0.12,0.00,0.00,0,0,Matches
Ousmane Sow,sn SEN,"MF,FW",25,12.7,7,41,17,41.5,3.23,1.34,0.17,0.41,0,1,Matches
Lukáš Sadílek,cz CZE,MF,29,12.0,4,13,6,46.2,1.09,0.50,0.31,0.67,0,0,Matches
Kryspin Szczesniak,pl POL,DF,24,9.8,0,4,0,0.0,0.41,0.00,0.00,,0,0,Matches
Yvan Ikia Dimi,fr FRA,"FW,MF",20,7.8,1,16,2,12.5,2.05,0.26,0.06,0.50,0,0,Matches
Michal Sáček,cz CZE,DF,28,8.2,0,3,1,33.3,0.37,0.12,0.00,0.00,0,0,Matches
Matúš Kmeť,sk SVK,"DF,MF",25,7.0,0,8,4,50.0,1.14,0.57,0.00,0.00,0,0,Matches
Taofeek Ismaheel,ng NGA,MF,25,6.2,0,22,7,31.8,3.54,1.13,0.00,0.00,0,0,Matches
Ondřej Zmrzlý,cz CZE,"FW,DF",26,6.2,0,9,1,11.1,1.45,0.16,0.00,0.00,0,0,Matches
Roberto Massimo,de GER,"MF,FW",24,5.2,0,13,4,30.8,2.49,0.77,0.00,0.00,0,0,Matches
Kamil Lukoszek,pl POL,"MF,FW",23,6.1,1,14,3,21.4,2.30,0.49,0.07,0.33,0,0,Matches
Brandon Domingues,fr FRA,"MF,FW",25,3.1,0,8,4,50.0,2.55,1.28,0.00,0.00,0,0,Matches
Paweł Bochniewicz,pl POL,DF,29,3.6,1,4,2,50.0,1.13,0.56,0.25,0.50,0,0,Matches
Goh Youngjun,kr KOR,MF,24,3.5,0,1,0,0.0,0.29,0.00,0.00,,0,0,Matches
Theodoros Tsirigotis,gr GRE,FW,25,3.0,0,12,4,33.3,3.99,1.33,0.00,0.00,0,0,Matches
Bastien Donio,fr FRA,MF,19,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches
Lukas Podolski,de GER,MF,40,3.1,0,11,1,9.1,3.52,0.32,0.00,0.00,0,0,Matches
Luka Zahović,si SVN,MF,29,2.3,1,3,1,33.3,1.32,0.44,0.33,1.00,0,0,Matches
Borislav Rupanov,bg BUL,FW,20,1.9,0,4,0,0.0,2.07,0.00,0.00,,0,0,Matches
Maksymilian Pingot,pl POL,DF,22,1.7,0,0,0,,0.00,0.00,,,0,0,Matches
Tomasz Loska,pl POL,GK,29,1.4,0,0,0,,0.00,0.00,,,0,0,Matches
,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Michał Rakoczy,pl POL,MF,23,1.3,1,6,2,33.3,4.78,1.59,0.17,0.50,0,0,Matches
Natan Dziegielewski,pl POL,MF,20,1.1,0,4,0,0.0,3.79,0.00,0.00,,0,0,Matches
Abbati Abdullahi,ng NGA,MF,19,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
Gabriel Barbosa,br BRA,FW,26,0.3,0,2,0,0.0,6.92,0.00,0.00,,0,0,Matches
Mathias Dahl Sauer,dk DEN,MF,21,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
Dominik Szala,pl POL,DF,19,0.0,0,0,0,,0.00,0.00,,,0,0,Matches
Squad Total,,,27.2,34.0,46,542,155,28.6,15.94,4.56,0.08,0.28,2,3,
Opponent Total,,,27.0,34.0,38,393,103,26.2,11.56,3.03,0.08,0.32,5,6,
