Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marcel Łubik,pl POL,GK,21,33,33,2936,32.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Patrik Hellebrand,cz CZE,MF,26,33,33,2859,31.8,4,1,5,4,0,0,7,0,0.13,0.03,0.16,0.13,0.16,Matches
Rafał Janicki,pl POL,DF,33,31,31,2783,30.9,4,0,4,2,2,2,5,0,0.13,0.00,0.13,0.06,0.06,Matches
Erik Janža,si SVN,DF,32,32,31,2702,30.0,4,2,6,4,0,0,3,0,0.13,0.07,0.20,0.13,0.20,Matches
Josema,es ESP,DF,29,31,31,2653,29.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Sondre Liseth,no NOR,FW,27,30,28,2341,26.0,8,1,9,8,0,0,2,0,0.31,0.04,0.35,0.31,0.35,Matches
Jarosław Kubicki,pl POL,MF,29,29,24,2192,24.4,3,4,7,3,0,0,1,0,0.12,0.16,0.29,0.12,0.29,Matches
Lukáš Ambros,cz CZE,MF,21,26,23,1860,20.7,1,5,6,1,0,0,5,0,0.05,0.24,0.29,0.05,0.29,Matches
Maksym Khlan,ua UKR,"MF,FW",22,26,21,1929,21.4,6,4,10,6,0,0,2,0,0.28,0.19,0.47,0.28,0.47,Matches
Paweł Olkowski,pl POL,DF,35,25,16,1491,16.6,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches
Ousmane Sow,sn SEN,"MF,FW",25,16,13,1143,12.7,7,2,9,7,0,1,2,0,0.55,0.16,0.71,0.55,0.71,Matches
Lukáš Sadílek,cz CZE,MF,29,15,13,1077,12.0,4,2,6,4,0,0,3,0,0.33,0.17,0.50,0.33,0.50,Matches
Kryspin Szczesniak,pl POL,DF,24,16,11,882,9.8,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
Yvan Ikia Dimi,fr FRA,"FW,MF",20,13,9,702,7.8,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
Michal Sáček,cz CZE,DF,28,12,8,739,8.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Matúš Kmeť,sk SVK,"DF,MF",25,13,7,632,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
