Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Jesús Imaz,es ESP,"MF,FW",34.0,30.9,5,0,0,22,22,14,18,8,19,,,0,Matches
Sławomir Abramowicz,pl POL,GK,21.0,30.0,1,0,0,0,14,0,0,0,0,,,0,Matches
Alejandro Pozo Pozo,es ESP,"MF,DF",26.0,26.8,4,0,0,22,32,2,98,27,25,,,1,Matches
Norbert Wojtuszek,pl POL,DF,23.0,26.8,3,0,0,31,17,2,50,36,57,,,0,Matches
Taras Romanchuk,pl POL,MF,33.0,27.5,8,0,0,28,15,0,5,34,18,,,0,Matches
Afimico Pululu,cd COD,FW,26.0,26.1,7,0,0,61,106,21,9,3,11,,,0,Matches
Bartłomiej Wdowik,pl POL,DF,24.0,25.4,3,0,0,22,13,1,186,27,19,,,0,Matches
Bernardo Vital,pt POR,DF,24.0,24.6,7,0,0,32,41,1,14,20,17,,,1,Matches
Andy Pelmard,mg MAD,DF,25.0,15.4,4,0,0,8,7,1,2,11,12,,,0,Matches
Bartosz Mazurek,pl POL,MF,18.0,15.9,4,0,0,36,34,0,17,10,18,,,1,Matches
Yuki Kobayashi,jp JPN,DF,25.0,11.6,5,0,0,8,6,0,1,7,4,,,0,Matches
Oskar Pietuszewski,pl POL,"MF,FW",17.0,11.9,2,0,0,22,30,9,19,7,8,,,0,Matches
Dušan Stojinovič,si SVN,DF,24.0,11.4,3,0,0,11,7,1,7,6,10,,,0,Matches
Kajetan Szmyt,pl POL,MF,23.0,11.2,1,0,0,7,5,3,32,5,5,,,0,Matches
Guilherme Serrão,pt POR,DF,21.0,10.1,1,0,0,14,3,0,76,9,13,,,0,Matches
Leon Flach,us USA,MF,24.0,9.2,3,0,0,9,12,2,4,9,17,,,1,Matches
Dawid Drachal,pl POL,MF,20.0,9.1,3,0,0,19,26,3,5,8,14,,,1,Matches
Kamil Jóźwiak,pl POL,MF,27.0,7.5,4,0,0,17,13,3,14,1,13,,,0,Matches
Sergio Lozano,es ESP,MF,26.0,6.7,0,0,0,14,8,1,20,2,10,,,0,Matches
Matías Nahuel,es ESP,"MF,FW",28.0,7.2,1,0,0,5,16,1,30,4,8,,,0,Matches
Louka Prip,dk DEN,"MF,FW",28.0,4.7,0,0,0,1,3,0,41,1,3,,,0,Matches
Dimitris Rallis,gr GRE,FW,20.0,4.6,0,0,0,4,1,2,0,2,1,,,0,Matches
Miłosz Piekutowski,pl POL,GK,19.0,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Samed Baždar,ba BIH,"FW,MF",21.0,4.5,0,0,0,7,6,2,6,0,4,,,0,Matches
Tolis Konstantopoulos,gr GRE,DF,22.0,3.7,3,0,0,3,3,1,2,1,1,,,0,Matches
Eryk Kozlowski,pl POL,MF,18.0,2.0,1,0,0,4,2,0,0,4,2,,,0,Matches
Aziel Jackson,us USA,MF,23.0,1.5,0,0,0,1,4,0,4,0,1,,,0,Matches
Youssuf Sylla,be BEL,FW,22.0,1.2,1,0,0,2,2,0,0,0,1,,,0,Matches
Álex Cantero,es ESP,"FW,MF",25.0,1.0,1,0,0,1,5,0,3,1,2,,,0,Matches
Zachary Zalewski,pl POL,MF,16.0,0.7,1,0,0,2,1,0,3,0,2,,,0,Matches
Cezary Polak,pl POL,MF,22.0,0.5,0,0,0,0,0,0,2,0,1,,,0,Matches
Miki,es ESP,MF,28.0,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,25.4,34.0,76,0,0,413,454,70,668,243,316,,,5,
Opponent Total,,,26.8,34.0,70,3,2,470,394,34,606,328,293,,,0,
