Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Jesús Imaz,es ESP,"MF,FW",34,33,2784,84,91.0,30.9,32,86,20,1,45,0,1.67,51,37,+14,+0.45,+0.13,Matches
Sławomir Abramowicz,pl POL,GK,21,30,2700,90,88.2,30.0,30,90,30,0,,1,1.67,48,36,+12,+0.40,-0.35,Matches
Alejandro Pozo Pozo,es ESP,"MF,DF",26,33,2414,73,78.9,26.8,28,80,8,5,34,0,1.70,47,28,+19,+0.71,+1.27,Matches
Norbert Wojtuszek,pl POL,DF,23,33,2411,73,78.8,26.8,28,83,19,5,17,1,1.61,44,28,+16,+0.60,+0.74,Matches
Taras Romanchuk,pl POL,MF,33,32,2474,77,80.8,27.5,26,89,24,6,29,0,1.69,47,33,+14,+0.51,+0.36,Matches
Afimico Pululu,cd COD,FW,26,33,2352,71,76.9,26.1,26,82,10,7,31,0,1.61,43,28,+15,+0.57,+0.57,Matches
Bartłomiej Wdowik,pl POL,DF,24,30,2287,76,74.7,25.4,26,85,21,4,19,4,1.60,40,29,+11,+0.43,-0.03,Matches
Bernardo Vital,pt POR,DF,24,27,2210,82,72.2,24.6,25,86,22,2,28,4,1.85,46,26,+20,+0.81,+1.34,Matches
Andy Pelmard,mg MAD,DF,25,18,1390,77,45.4,15.4,16,83,12,2,30,5,1.44,22,17,+5,+0.32,-0.22,Matches
Bartosz Mazurek,pl POL,MF,18,23,1429,62,46.7,15.9,15,82,7,8,25,9,1.52,23,17,+6,+0.38,-0.12,Matches
Yuki Kobayashi,jp JPN,DF,25,15,1041,69,34.0,11.6,12,82,9,3,21,18,1.87,18,17,+1,+0.09,-0.54,Matches
Oskar Pietuszewski,pl POL,"MF,FW",17,17,1073,63,35.1,11.9,11,80,4,6,32,0,1.71,20,15,+5,+0.42,-0.03,Matches
Dušan Stojinovič,si SVN,DF,24,13,1029,79,33.6,11.4,11,88,9,2,32,5,1.46,20,15,+5,+0.44,-0.01,Matches
Kajetan Szmyt,pl POL,MF,23,14,1008,72,32.9,11.2,11,84,5,3,29,1,1.43,15,14,+1,+0.09,-0.52,Matches
Guilherme Serrão,pt POR,DF,21,14,911,65,29.8,10.1,10,83,7,4,21,3,1.57,17,13,+4,+0.40,-0.07,Matches
Leon Flach,us USA,MF,24,20,827,41,27.0,9.2,10,68,1,10,15,6,1.90,18,16,+2,+0.22,-0.31,Matches
Dawid Drachal,pl POL,MF,20,21,821,39,26.8,9.1,8,67,1,13,22,12,1.52,14,9,+5,+0.55,+0.15,Matches
Kamil Jóźwiak,pl POL,MF,27,13,673,52,22.0,7.5,8,71,0,5,21,4,1.46,10,10,0,0.00,-0.57,Matches
Sergio Lozano,es ESP,MF,26,14,607,43,19.8,6.7,8,61,0,6,20,9,1.64,12,8,+4,+0.59,+0.19,Matches
Matías Nahuel,es ESP,"MF,FW",28,16,644,40,21.0,7.2,7,67,1,9,20,0,1.63,10,10,0,0.00,-0.56,Matches
Louka Prip,dk DEN,"MF,FW",28,8,425,53,13.9,4.7,7,61,0,1,1,8,2.25,8,8,0,0.00,-0.51,Matches
Dimitris Rallis,gr GRE,FW,20,15,410,27,13.4,4.6,5,62,0,10,10,15,1.80,7,5,+2,+0.44,0.00,Matches
