Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Jesús Imaz,es ESP,"MF,FW",34.0,30.9,13,105,51,48.6,3.39,1.65,0.12,0.25,0,0,Matches
Sławomir Abramowicz,pl POL,GK,21.0,30.0,0,0,0,,0.0,0.0,,,0,0,Matches
Alejandro Pozo Pozo,es ESP,"MF,DF",26.0,26.8,2,26,5,19.2,0.97,0.19,0.08,0.4,0,0,Matches
Norbert Wojtuszek,pl POL,DF,23.0,26.8,1,13,2,15.4,0.49,0.07,0.08,0.5,0,0,Matches
Taras Romanchuk,pl POL,MF,33.0,27.5,3,42,14,33.3,1.53,0.51,0.07,0.21,0,0,Matches
Afimico Pululu,cd COD,FW,26.0,26.1,15,73,32,43.8,2.79,1.22,0.12,0.28,6,6,Matches
Bartłomiej Wdowik,pl POL,DF,24.0,25.4,0,26,7,26.9,1.02,0.28,0.0,0.0,0,0,Matches
Bernardo Vital,pt POR,DF,24.0,24.6,3,16,9,56.3,0.65,0.37,0.19,0.33,0,0,Matches
Andy Pelmard,mg MAD,DF,25.0,15.4,0,5,0,0.0,0.32,0.0,0.0,,0,0,Matches
Bartosz Mazurek,pl POL,MF,18.0,15.9,1,22,6,27.3,1.39,0.38,0.05,0.17,0,0,Matches
Yuki Kobayashi,jp JPN,DF,25.0,11.6,1,5,2,40.0,0.43,0.17,0.2,0.5,0,0,Matches
Oskar Pietuszewski,pl POL,"MF,FW",17.0,11.9,3,41,11,26.8,3.44,0.92,0.07,0.27,0,0,Matches
Dušan Stojinovič,si SVN,DF,24.0,11.4,0,7,1,14.3,0.61,0.09,0.0,0.0,0,0,Matches
Kajetan Szmyt,pl POL,MF,23.0,11.2,2,22,8,36.4,1.96,0.71,0.09,0.25,0,0,Matches
Guilherme Serrão,pt POR,DF,21.0,10.1,0,3,2,66.7,0.3,0.2,0.0,0.0,0,0,Matches
Leon Flach,us USA,MF,24.0,9.2,1,4,2,50.0,0.44,0.22,0.25,0.5,0,0,Matches
Dawid Drachal,pl POL,MF,20.0,9.1,1,8,4,50.0,0.88,0.44,0.13,0.25,0,0,Matches
Kamil Jóźwiak,pl POL,MF,27.0,7.5,0,9,3,33.3,1.2,0.4,0.0,0.0,0,0,Matches
Sergio Lozano,es ESP,MF,26.0,6.7,3,30,11,36.7,4.45,1.63,0.1,0.27,0,0,Matches
Matías Nahuel,es ESP,"MF,FW",28.0,7.2,0,10,1,10.0,1.4,0.14,0.0,0.0,0,0,Matches
Louka Prip,dk DEN,"MF,FW",28.0,4.7,0,9,0,0.0,1.91,0.0,0.0,,0,0,Matches
Dimitris Rallis,gr GRE,FW,20.0,4.6,3,12,3,25.0,2.63,0.66,0.25,1.0,0,0,Matches
Miłosz Piekutowski,pl POL,GK,19.0,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
Samed Baždar,ba BIH,"FW,MF",21.0,4.5,3,14,9,64.3,3.1,2.0,0.21,0.33,0,0,Matches
Tolis Konstantopoulos,gr GRE,DF,22.0,3.7,0,3,0,0.0,0.82,0.0,0.0,,0,0,Matches
Eryk Kozlowski,pl POL,MF,18.0,2.0,0,1,1,100.0,0.49,0.49,0.0,0.0,0,0,Matches
Aziel Jackson,us USA,MF,23.0,1.5,0,1,0,0.0,0.68,0.0,0.0,,0,0,Matches
Youssuf Sylla,be BEL,FW,22.0,1.2,1,3,2,66.7,2.52,1.68,0.33,0.5,0,0,Matches
Álex Cantero,es ESP,"FW,MF",25.0,1.0,0,2,1,50.0,1.96,0.98,0.0,0.0,0,0,Matches
Zachary Zalewski,pl POL,MF,16.0,0.7,0,2,1,50.0,3.0,1.5,0.0,0.0,0,0,Matches
Cezary Polak,pl POL,MF,22.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
Miki,es ESP,MF,28.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,25.4,34.0,56,514,188,36.6,15.12,5.53,0.1,0.27,6,6,
Opponent Total,,,26.8,34.0,36,498,148,29.7,14.65,4.35,0.06,0.21,5,7,
