Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jesús Imaz,es ESP,"MF,FW",34,33,32,2784,30.9,13,6,19,13,0,0,5,0,0.42,0.19,0.61,0.42,0.61,Matches
Sławomir Abramowicz,pl POL,GK,21,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Alejandro Pozo Pozo,es ESP,"MF,DF",26,33,28,2414,26.8,2,4,6,2,0,0,4,0,0.07,0.15,0.22,0.07,0.22,Matches
Norbert Wojtuszek,pl POL,DF,23,33,28,2411,26.8,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches
Taras Romanchuk,pl POL,MF,33,32,26,2474,27.5,3,0,3,3,0,0,8,0,0.11,0.00,0.11,0.11,0.11,Matches
Afimico Pululu,cd COD,FW,26,33,26,2352,26.1,15,5,20,9,6,6,7,0,0.57,0.19,0.77,0.34,0.54,Matches
Bartłomiej Wdowik,pl POL,DF,24,30,26,2287,25.4,0,4,4,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matches
Bernardo Vital,pt POR,DF,24,27,25,2210,24.6,3,1,4,3,0,0,7,0,0.12,0.04,0.16,0.12,0.16,Matches
Andy Pelmard,mg MAD,DF,25,18,16,1390,15.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartosz Mazurek,pl POL,MF,18,23,15,1429,15.9,1,3,4,1,0,0,4,0,0.06,0.19,0.25,0.06,0.25,Matches
Yuki Kobayashi,jp JPN,DF,25,15,12,1041,11.6,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches
Oskar Pietuszewski,pl POL,"MF,FW",17,17,11,1073,11.9,3,1,4,3,0,0,2,0,0.25,0.08,0.34,0.25,0.34,Matches
Dušan Stojinovič,si SVN,DF,24,13,11,1029,11.4,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
Kajetan Szmyt,pl POL,MF,23,14,11,1008,11.2,2,0,2,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
Guilherme Serrão,pt POR,DF,21,14,10,911,10.1,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Leon Flach,us USA,MF,24,20,10,827,9.2,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
Dawid Drachal,pl POL,MF,20,21,8,821,9.1,1,2,3,1,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches
Kamil Jóźwiak,pl POL,MF,27,13,8,673,7.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergio Lozano,es ESP,MF,26,14,8,607,6.7,3,2,5,3,0,0,0,0,0.44,0.30,0.74,0.44,0.74,Matches
Matías Nahuel,es ESP,"MF,FW",28,16,7,644,7.2,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Louka Prip,dk DEN,"MF,FW",28,8,7,425,4.7,0,1,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches
Dimitris Rallis,gr GRE,FW,20,15,5,410,4.6,3,0,3,3,0,0,0,0,0.66,0.00,0.66,0.66,0.66,Matches
Miłosz Piekutowski,pl POL,GK,19,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Samed Baždar,ba BIH,"FW,MF",21,15,3,406,4.5,3,0,3,3,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches
Tolis Konstantopoulos,gr GRE,DF,22,7,3,330,3.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Eryk Kozlowski,pl POL,MF,18,5,2,182,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aziel Jackson,us USA,MF,23,6,1,133,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Youssuf Sylla,be BEL,FW,22,6,1,107,1.2,1,0,1,1,0,0,1,0,0.84,0.00,0.84,0.84,0.84,Matches
Álex Cantero,es ESP,"FW,MF",25,7,0,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
