Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Xavier Dziekonski,pl POL,GK,21.0,34.0,0,0,0,1,15,0,0,0,0,,,0,Matches
Tamar Svetlin,si SVN,MF,24.0,32.0,5,0,0,27,65,0,33,38,23,,,0,Matches
Martin Remacle,be BEL,MF,28.0,26.9,5,0,0,41,56,1,42,32,28,,,0,Matches
Costas Soteriou,cy CYP,DF,29.0,27.4,2,1,0,45,13,1,7,32,29,,,0,Matches
Marcel Pięczek,pl POL,"DF,MF",24.0,26.5,0,0,0,21,12,3,60,11,18,,,1,Matches
Wiktor Długosz,pl POL,"MF,FW",25.0,22.9,5,0,0,54,29,4,90,20,12,,,0,Matches
Dawid Błanik,pl POL,"FW,MF",28.0,20.9,3,0,0,20,46,9,149,10,14,,,0,Matches
Pau Resta,es ESP,DF,24.0,22.9,3,0,0,19,5,3,4,24,15,,,0,Matches
Konrad Matuszewski,pl POL,MF,23.0,21.8,2,0,0,15,23,5,94,23,15,,,0,Matches
Antonio Cortés,es ESP,"FW,MF",25.0,18.3,1,0,0,22,18,8,38,4,10,,,0,Matches
Bartlomiej Smolarczyk,pl POL,DF,22.0,17.5,8,0,0,15,8,0,8,16,21,,,0,Matches
Mariusz Stępiński,pl POL,FW,30.0,13.6,2,0,0,13,15,10,6,0,9,,,0,Matches
Stjepan Davidović,hr CRO,"FW,MF",20.0,14.4,1,0,0,14,12,3,15,8,9,,,0,Matches
Nono,es ESP,"FW,MF",34.0,11.2,2,1,0,21,30,2,43,9,15,,,0,Matches
Slobodan Rubežić,me MNE,DF,25.0,11.5,2,0,0,23,4,3,9,18,11,,,0,Matches
Hubert Zwozny,pl POL,MF,21.0,10.7,2,0,0,19,16,0,23,7,18,,,0,Matches
Simon Gustafson,se SWE,MF,30.0,7.1,1,0,0,11,5,0,2,4,9,,,0,Matches
Viktor Popov,bg BUL,"MF,DF",25.0,5.4,0,0,0,3,6,0,3,4,6,,,0,Matches
Jakub Budnicki,pl POL,DF,24.0,4.2,4,1,1,5,4,0,1,2,2,,,0,Matches
Vladimir Nikolov,bg BUL,FW,24.0,7.4,6,0,0,22,9,6,1,4,2,,,0,Matches
Wojciech Kamiński,pl POL,"MF,DF",24.0,4.7,0,0,0,1,0,0,0,3,6,,,0,Matches
Nikodem Niski,pl POL,FW,23.0,4.5,2,0,0,4,3,1,46,5,5,,,0,Matches
Konrad Ciszek,pl POL,"MF,DF",17.0,2.8,1,0,0,2,3,0,11,3,4,,,0,Matches
Marcin Cebula,pl POL,MF,29.0,2.1,1,0,0,4,0,0,6,0,1,,,0,Matches
Milosz Strzebonski,pl POL,MF,21.0,0.9,1,0,0,2,1,0,3,0,2,,,0,Matches
Mateusz Glowinski,pl POL,FW,19.0,0.2,0,0,0,2,1,0,0,0,0,,,0,Matches
Kacper Minuczyc,pl POL,MF,17.0,0.1,0,0,0,1,2,0,0,0,2,,,0,Matches
Adam Hańćko,pl POL,MF,16.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,25.3,34.0,59,3,1,427,401,59,694,277,286,,,1,
Opponent Total,,,26.9,34.0,54,3,1,422,413,40,656,256,327,,,1,
