Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Xavier Dziekonski,pl POL,GK,21.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.26,40.0,40.0,0.0,0.0,,Matches
Tamar Svetlin,si SVN,MF,24.0,33,2882.0,87.0,94.2,32.0,33,87.0,25,0,,0,1.27,39.0,37.0,2.0,0.06,1.07,Matches
Martin Remacle,be BEL,MF,28.0,33,2421.0,73.0,79.1,26.9,31,76.0,9,2,38.0,0,1.21,32.0,25.0,7.0,0.26,1.25,Matches
Costas Soteriou,cy CYP,DF,29.0,29,2463.0,85.0,80.5,27.4,28,88.0,27,1,7.0,3,1.28,34.0,33.0,1.0,0.04,0.19,Matches
Marcel Pięczek,pl POL,"DF,MF",24.0,32,2387.0,75.0,78.0,26.5,26,86.0,21,6,26.0,1,1.22,33.0,33.0,0.0,0.0,0.0,Matches
Wiktor Długosz,pl POL,"MF,FW",25.0,26,2060.0,79.0,67.3,22.9,24,84.0,14,2,24.0,1,1.42,31.0,23.0,8.0,0.35,1.07,Matches
Dawid Błanik,pl POL,"FW,MF",28.0,27,1878.0,70.0,61.4,20.9,24,74.0,4,3,33.0,3,1.3,27.0,24.0,3.0,0.14,0.37,Matches
Pau Resta,es ESP,DF,24.0,24,2058.0,86.0,67.3,22.9,23,89.0,22,1,21.0,6,1.29,26.0,26.0,0.0,0.0,0.0,Matches
Konrad Matuszewski,pl POL,MF,23.0,27,1964.0,73.0,64.2,21.8,23,81.0,14,4,26.0,3,1.26,25.0,22.0,3.0,0.14,0.38,Matches
Antonio Cortés,es ESP,"FW,MF",25.0,29,1647.0,57.0,53.8,18.3,20,74.0,4,9,19.0,0,1.41,24.0,16.0,8.0,0.44,0.95,Matches
Bartlomiej Smolarczyk,pl POL,DF,22.0,19,1574.0,83.0,51.4,17.5,17,86.0,15,2,52.0,13,1.42,22.0,19.0,3.0,0.17,0.35,Matches
Mariusz Stępiński,pl POL,FW,30.0,15,1223.0,82.0,40.0,13.6,15,82.0,5,0,,0,1.27,17.0,18.0,-1.0,-0.07,-0.12,Matches
Stjepan Davidović,hr CRO,"FW,MF",20.0,29,1294.0,45.0,42.3,14.4,12,75.0,2,17,23.0,3,1.14,11.0,17.0,-6.0,-0.42,-0.72,Matches
Nono,es ESP,"FW,MF",34.0,26,1006.0,39.0,32.9,11.2,12,66.0,0,14,15.0,6,1.46,17.0,9.0,8.0,0.72,1.07,Matches
Slobodan Rubežić,me MNE,DF,25.0,12,1035.0,86.0,33.8,11.5,11,90.0,11,1,45.0,16,1.0,12.0,15.0,-3.0,-0.26,-0.39,Matches
Hubert Zwozny,pl POL,MF,21.0,19,967.0,51.0,31.6,10.7,11,71.0,5,8,23.0,13,1.21,12.0,16.0,-4.0,-0.37,-0.54,Matches
Simon Gustafson,se SWE,MF,30.0,14,641.0,46.0,20.9,7.1,6,75.0,1,8,24.0,2,0.93,8.0,13.0,-5.0,-0.7,-0.89,Matches
Viktor Popov,bg BUL,"MF,DF",25.0,8,485.0,61.0,15.8,5.4,6,74.0,2,2,21.0,17,1.38,5.0,7.0,-2.0,-0.37,-0.44,Matches
Jakub Budnicki,pl POL,DF,24.0,6,380.0,63.0,12.4,4.2,5,73.0,3,1,15.0,8,1.5,6.0,3.0,3.0,0.71,0.81,Matches
Vladimir Nikolov,bg BUL,FW,24.0,25,667.0,27.0,21.8,7.4,4,76.0,2,21,17.0,7,1.32,5.0,12.0,-7.0,-0.94,-1.21,Matches
Wojciech Kamiński,pl POL,"MF,DF",24.0,10,419.0,42.0,13.7,4.7,4,79.0,2,6,18.0,11,1.2,3.0,9.0,-6.0,-1.29,-1.49,Matches
Nikodem Niski,pl POL,FW,23.0,19,408.0,21.0,13.3,4.5,2,69.0,0,17,16.0,7,1.26,2.0,8.0,-6.0,-1.32,-1.53,Matches
Konrad Ciszek,pl POL,"MF,DF",17.0,5,250.0,50.0,8.2,2.8,2,90.0,2,3,23.0,17,0.8,2.0,4.0,-2.0,-0.72,-0.78,Matches
Marcin Cebula,pl POL,MF,29.0,8,190.0,24.0,6.2,2.1,1,69.0,0,7,17.0,6,0.75,4.0,3.0,1.0,0.47,0.51,Matches
Milosz Strzebonski,pl POL,MF,21.0,7,81.0,12.0,2.6,0.9,0,,0,7,12.0,11,1.29,1.0,1.0,0.0,0.0,0.0,Matches
Mateusz Glowinski,pl POL,FW,19.0,2,18.0,9.0,0.6,0.2,0,,0,2,9.0,2,0.5,0.0,0.0,0.0,0.0,0.0,Matches
Kacper Minuczyc,pl POL,MF,17.0,2,11.0,6.0,0.4,0.1,0,,0,2,6.0,9,1.5,0.0,0.0,0.0,0.0,0.0,Matches
Adam Hańćko,pl POL,MF,16.0,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,2,0.0,0.0,1.0,-1.0,-30.0,-30.03,Matches
Daniel Bak,pl POL,FW,19.0,0,,,,,0,,0,0,,1,,,,,,,Matches
Rafal Mamla,pl POL,GK,21.0,0,,,,,0,,0,0,,33,,,,,,,Matches
Michał Mikielewicz,pl POL,GK,16.0,0,,,,,0,,0,0,,1,,,,,,,Matches
Michał Niedbała,pl POL,GK,19.0,0,,,,,0,,0,0,,2,,,,,,,Matches
Squad Total,,,25.3,34,3060.0,90.0,100.0,34.0,374,82.0,224,147,20.0,204,1.26,40.0,40.0,0.0,0.0,,
Opponent Total,,,26.9,34,3060.0,90.0,100.0,34.0,374,82.0,212,162,21.0,199,1.44,40.0,40.0,0.0,0.0,,
