Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Xavier Dziekonski,pl POL,GK,21.0,34.0,0,0,0,,0.0,0.0,,,0,0,Matches
Tamar Svetlin,si SVN,MF,24.0,32.0,1,30,4,13.3,0.94,0.12,0.03,0.25,0,0,Matches
Martin Remacle,be BEL,MF,28.0,26.9,3,66,13,19.7,2.45,0.48,0.03,0.15,1,1,Matches
Costas Soteriou,cy CYP,DF,29.0,27.4,5,27,9,33.3,0.99,0.33,0.19,0.56,0,0,Matches
Marcel Pięczek,pl POL,"DF,MF",24.0,26.5,4,15,8,53.3,0.57,0.3,0.27,0.5,0,0,Matches
Wiktor Długosz,pl POL,"MF,FW",25.0,22.9,3,44,8,18.2,1.92,0.35,0.07,0.38,0,0,Matches
Dawid Błanik,pl POL,"FW,MF",28.0,20.9,9,48,17,35.4,2.3,0.81,0.15,0.41,2,3,Matches
Pau Resta,es ESP,DF,24.0,22.9,2,28,8,28.6,1.22,0.35,0.07,0.25,0,0,Matches
Konrad Matuszewski,pl POL,MF,23.0,21.8,2,23,6,26.1,1.05,0.27,0.09,0.33,0,0,Matches
Antonio Cortés,es ESP,"FW,MF",25.0,18.3,3,47,16,34.0,2.57,0.87,0.06,0.19,0,1,Matches
Bartlomiej Smolarczyk,pl POL,DF,22.0,17.5,1,8,2,25.0,0.46,0.11,0.13,0.5,0,0,Matches
Mariusz Stępiński,pl POL,FW,30.0,13.6,4,43,11,25.6,3.16,0.81,0.07,0.27,1,1,Matches
Stjepan Davidović,hr CRO,"FW,MF",20.0,14.4,2,41,10,24.4,2.85,0.7,0.05,0.2,0,0,Matches
Nono,es ESP,"FW,MF",34.0,11.2,0,14,2,14.3,1.25,0.18,0.0,0.0,0,0,Matches
Slobodan Rubežić,me MNE,DF,25.0,11.5,0,11,4,36.4,0.96,0.35,0.0,0.0,0,0,Matches
Hubert Zwozny,pl POL,MF,21.0,10.7,0,6,1,16.7,0.56,0.09,0.0,0.0,0,0,Matches
Simon Gustafson,se SWE,MF,30.0,7.1,0,5,2,40.0,0.7,0.28,0.0,0.0,0,0,Matches
Viktor Popov,bg BUL,"MF,DF",25.0,5.4,0,6,0,0.0,1.11,0.0,0.0,,0,0,Matches
Jakub Budnicki,pl POL,DF,24.0,4.2,0,2,1,50.0,0.47,0.24,0.0,0.0,0,0,Matches
Vladimir Nikolov,bg BUL,FW,24.0,7.4,0,9,2,22.2,1.21,0.27,0.0,0.0,0,0,Matches
Wojciech Kamiński,pl POL,"MF,DF",24.0,4.7,0,3,0,0.0,0.64,0.0,0.0,,0,0,Matches
Nikodem Niski,pl POL,FW,23.0,4.5,0,8,2,25.0,1.76,0.44,0.0,0.0,0,0,Matches
Konrad Ciszek,pl POL,"MF,DF",17.0,2.8,0,3,0,0.0,1.08,0.0,0.0,,0,0,Matches
Marcin Cebula,pl POL,MF,29.0,2.1,0,6,2,33.3,2.84,0.95,0.0,0.0,0,0,Matches
Milosz Strzebonski,pl POL,MF,21.0,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Mateusz Glowinski,pl POL,FW,19.0,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,0,0,Matches
Kacper Minuczyc,pl POL,MF,17.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Adam Hańćko,pl POL,MF,16.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,25.3,34.0,39,494,129,26.1,14.53,3.79,0.07,0.27,4,6,
Opponent Total,,,26.9,34.0,39,473,157,33.2,13.91,4.62,0.07,0.22,5,6,
