Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arka Gdynia,2,34,34,3060,34.0,61,1.79,149,92,60.4,9,9,16,7,20.6,5,2,2,1,50.0
Cracovia,2,34,34,3060,34.0,42,1.24,122,86,70.5,9,15,10,14,41.2,7,6,1,0,14.3
Górnik Zabrze,2,34,34,3060,34.0,38,1.12,94,62,64.9,16,8,10,10,29.4,6,5,1,0,16.7
Jagiellonia,2,34,34,3060,34.0,41,1.21,145,110,75.2,15,11,8,10,29.4,7,5,1,1,16.7
Katowice,2,34,34,3060,34.0,45,1.32,135,93,68.9,14,8,12,9,26.5,3,3,0,0,0.0
Korona Kielce,1,34,34,3060,34.0,40,1.18,148,114,76.4,11,10,13,9,26.5,6,5,1,0,16.7
Lech Poznań,2,34,34,3060,34.0,45,1.32,127,87,66.9,16,12,6,10,29.4,5,3,2,0,40.0
Lechia Gdańsk,3,34,34,3060,34.0,65,1.91,148,90,60.1,12,7,15,3,8.8,7,6,1,0,14.3
Legia Warsaw,2,34,34,3060,34.0,37,1.09,106,73,69.8,12,13,9,11,32.4,5,5,0,0,0.0
Motor Lublin,2,34,34,3060,34.0,54,1.59,161,113,69.6,10,13,11,8,23.5,6,5,1,0,16.7
Nieciecza,2,34,34,3060,34.0,65,1.91,183,121,66.1,9,7,18,3,8.8,4,3,0,1,0.0
Piast Gliwice,3,34,34,3060,34.0,46,1.35,145,104,71.7,11,8,15,8,23.5,5,5,0,0,0.0
Pogoń Szczecin,2,34,34,3059,34.0,49,1.44,188,140,74.5,13,6,15,7,20.6,2,1,1,0,50.0
Radomiak Radom,1,34,34,3060,34.0,53,1.56,142,95,66.2,11,11,12,6,17.6,6,5,1,0,16.7
Raków,2,34,34,3060,34.0,40,1.18,126,92,72.2,16,7,11,10,29.4,6,5,1,0,16.7
Widzew Łódź,4,34,34,3060,34.0,41,1.21,114,74,64.9,12,6,16,10,29.4,1,1,0,0,0.0
Wisła Płock,2,34,34,3060,34.0,38,1.12,149,114,75.8,12,10,12,7,20.6,3,2,1,0,33.3
Zagłębie Lubin,2,34,34,3060,34.0,38,1.12,143,108,75.5,13,9,12,11,32.4,4,3,0,1,0.0
