Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Arka Gdynia,31,34.0,72,2,0,461,457,60,572,281,247,,,0
Cracovia,33,34.0,81,4,2,473,433,44,675,331,306,,,1
Górnik Zabrze,36,34.0,46,1,0,352,393,42,688,288,322,,,0
Jagiellonia,32,34.0,76,0,0,413,454,70,668,243,316,,,5
Katowice,31,34.0,60,0,0,430,376,53,622,247,304,,,5
Korona Kielce,28,34.0,59,3,1,427,401,59,694,277,286,,,1
Lech Poznań,30,34.0,60,3,2,396,401,45,686,193,263,,,2
Lechia Gdańsk,26,34.0,74,2,1,402,328,46,723,273,346,,,1
Legia Warsaw,35,34.0,67,2,0,501,399,33,786,330,317,,,1
Motor Lublin,27,34.0,76,3,2,459,413,66,678,245,344,,,1
Nieciecza,25,34.0,73,3,3,452,398,40,626,280,302,,,2
Piast Gliwice,28,34.0,72,5,2,407,387,51,750,257,236,,,1
Pogoń Szczecin,33,34.0,75,3,1,415,359,61,645,279,265,,,3
Radomiak Radom,28,34.0,85,3,1,470,475,45,607,253,280,,,1
Raków,32,34.0,60,4,2,379,496,46,650,246,273,,,0
Widzew Łódź,33,34.0,87,3,2,443,461,44,583,286,334,,,0
Wisła Płock,32,34.0,63,0,0,358,344,45,643,237,292,,,1
Zagłębie Lubin,33,34.0,68,4,3,451,412,49,541,307,284,,,2
