Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Arka Gdynia,31,34.0,34,355,113,31.8,10.44,3.32,0.1,0.3,0,0
Cracovia,33,34.0,38,428,127,29.7,12.59,3.74,0.08,0.28,3,4
Górnik Zabrze,36,34.0,46,542,155,28.6,15.94,4.56,0.08,0.28,2,3
Jagiellonia,32,34.0,56,514,188,36.6,15.12,5.53,0.1,0.27,6,6
Katowice,31,34.0,49,437,164,37.5,12.85,4.82,0.11,0.29,1,1
Korona Kielce,28,34.0,39,494,129,26.1,14.53,3.79,0.07,0.27,4,6
Lech Poznań,30,34.0,61,592,201,34.0,17.41,5.91,0.09,0.28,5,6
Lechia Gdańsk,26,34.0,60,487,182,37.4,14.32,5.35,0.11,0.3,6,8
Legia Warsaw,35,34.0,39,488,144,29.5,14.35,4.24,0.07,0.24,5,6
Motor Lublin,27,34.0,44,397,131,33.0,11.68,3.85,0.1,0.31,3,4
Nieciecza,25,34.0,41,427,144,33.7,12.56,4.24,0.09,0.26,4,4
Piast Gliwice,28,34.0,41,512,143,27.9,15.06,4.21,0.07,0.25,5,8
Pogoń Szczecin,33,34.0,47,496,153,30.8,14.59,4.5,0.09,0.28,4,7
Radomiak Radom,28,34.0,51,462,138,29.9,13.59,4.06,0.11,0.36,2,2
Raków,32,34.0,51,472,165,35.0,13.88,4.85,0.09,0.27,7,7
Widzew Łódź,33,34.0,39,438,132,30.1,12.88,3.88,0.08,0.26,5,5
Wisła Płock,32,34.0,31,406,120,29.6,11.94,3.53,0.07,0.23,3,5
Zagłębie Lubin,33,34.0,43,408,125,30.6,12.0,3.68,0.09,0.3,5,6
