Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arka Gdynia,31,27.7,44.9,34,374,3060,34.0,34,22,56,34,0,0,72,2,1.0,0.65,1.65,1.0,1.65
Cracovia,33,25.9,50.6,34,374,3060,34.0,38,24,62,35,3,4,81,4,1.12,0.71,1.82,1.03,1.74
Górnik Zabrze,36,27.2,51.6,34,374,3060,34.0,46,31,77,44,2,3,46,1,1.35,0.91,2.26,1.29,2.21
Jagiellonia,32,25.4,58.1,34,374,3060,34.0,56,34,90,50,6,6,76,0,1.65,1.0,2.65,1.47,2.47
Katowice,31,29.2,46.5,34,374,3060,34.0,49,34,83,48,1,1,60,0,1.44,1.0,2.44,1.41,2.41
Korona Kielce,28,25.3,46.5,34,374,3060,34.0,39,23,62,35,4,6,59,3,1.15,0.68,1.82,1.03,1.71
Lech Poznań,30,25.3,57.6,34,374,3060,34.0,61,40,101,56,5,6,60,3,1.79,1.18,2.97,1.65,2.82
Lechia Gdańsk,26,24.3,50.8,34,374,3060,34.0,60,42,102,54,6,8,74,2,1.76,1.24,3.0,1.59,2.82
Legia Warsaw,35,27.2,52.6,34,374,3060,34.0,39,23,62,34,5,6,67,2,1.15,0.68,1.82,1.0,1.68
Motor Lublin,27,26.9,51.6,34,374,3060,34.0,44,30,74,41,3,4,76,3,1.29,0.88,2.18,1.21,2.09
Nieciecza,25,28.3,45.8,34,374,3060,34.0,41,22,63,37,4,4,73,3,1.21,0.65,1.85,1.09,1.74
Piast Gliwice,28,27.2,55.9,34,374,3060,34.0,41,28,69,36,5,8,72,5,1.21,0.82,2.03,1.06,1.88
Pogoń Szczecin,33,27.3,52.0,34,374,3060,34.0,47,23,70,43,4,7,75,3,1.38,0.68,2.06,1.26,1.94
Radomiak Radom,28,27.4,51.0,34,374,3060,34.0,51,40,91,49,2,2,85,3,1.5,1.18,2.68,1.44,2.62
Raków,32,25.4,54.0,34,374,3060,34.0,51,30,81,44,7,7,60,4,1.5,0.88,2.38,1.29,2.18
Widzew Łódź,33,25.4,49.0,34,374,3060,34.0,39,26,65,34,5,5,87,3,1.15,0.76,1.91,1.0,1.76
Wisła Płock,32,29.3,43.0,34,374,3060,34.0,31,20,51,28,3,5,63,0,0.91,0.59,1.5,0.82,1.41
Zagłębie Lubin,33,26.8,39.7,34,374,3060,34.0,43,31,74,38,5,6,68,4,1.26,0.91,2.18,1.12,2.03
