Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Bartosz Mrozek,pl POL,GK,25.0,33.0,2,0,0,1,7,0,0,1,0,,,0,Matches
Antoni Kozubal,pl POL,MF,20.0,28.1,6,0,0,44,32,0,6,26,39,,,0,Matches
Mikael Ishak,se SWE,FW,32.0,26.9,4,0,0,34,43,15,15,1,6,,,0,Matches
Michał Gurgul,pl POL,DF,19.0,27.2,1,0,0,18,17,0,71,23,19,,,0,Matches
Joel Pereira,pt POR,DF,28.0,26.1,2,0,0,19,38,0,238,19,33,,,1,Matches
Leo Bengtsson,se SWE,MF,27.0,22.9,3,0,0,24,15,5,35,13,15,,,0,Matches
Antonio Milić,hr CRO,DF,31.0,22.1,5,0,0,30,6,1,8,9,9,,,1,Matches
Pablo Rodríguez,es ESP,"MF,FW",23.0,18.2,5,1,1,34,55,4,15,9,12,,,0,Matches
Wojciech Mońka,pl POL,DF,18.0,19.0,1,0,0,6,8,0,1,15,13,,,0,Matches
Luis Enrique Palma,hn HON,"MF,FW",25.0,18.4,3,1,0,12,19,7,109,4,10,,,0,Matches
Mateusz Skrzypczak,pl POL,DF,24.0,18.9,2,0,0,12,15,0,0,13,7,,,0,Matches
Filip Jagiełło,pl POL,"MF,FW",27.0,18.4,2,0,0,11,20,2,16,8,8,,,0,Matches
Ali Gholizadeh,ir IRN,MF,29.0,12.6,3,0,0,8,14,2,56,4,7,,,0,Matches
Timothy Ouma,ke KEN,MF,21.0,12.3,5,1,1,28,18,1,6,15,16,,,0,Matches
Robert Gumny,pl POL,DF,27.0,11.8,5,0,0,36,14,2,18,8,17,,,0,Matches
Patrik Wålemark,se SWE,"FW,MF",23.0,10.1,1,0,0,12,16,2,40,0,9,,,0,Matches
Taofeek Ismaheel,ng NGA,MF,25.0,8.6,2,0,0,11,25,0,18,4,7,,,0,Matches
João Moutinho,pt POR,DF,27.0,6.7,4,0,0,15,5,0,15,6,8,,,0,Matches
Alex Douglas,se SWE,DF,23.0,5.6,0,0,0,3,2,0,0,2,5,,,0,Matches
Gísli Þórðarson,is ISL,MF,20.0,5.7,1,0,0,3,6,0,3,6,10,,,0,Matches
Yannick Agnero,ci CIV,FW,22.0,6.7,1,0,0,15,11,1,0,0,2,,,0,Matches
Kornel Lisman,pl POL,MF,19.0,4.2,0,0,0,4,3,1,9,4,4,,,0,Matches
Bryan Fiabema,no NOR,"MF,FW",22.0,3.0,1,0,0,4,3,1,2,0,1,,,0,Matches
Filip Szymczak,pl POL,MF,23.0,1.7,1,0,0,4,2,0,0,0,5,,,0,Matches
Plamen Andreev,bg BUL,GK,20.0,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Daniel Håkans,fi FIN,MF,24.0,2.7,0,0,0,4,4,1,5,2,0,,,0,Matches
Radosław Murawski,pl POL,MF,31.0,0.7,0,0,0,3,2,0,0,1,1,,,0,Matches
Kamil Jakóbczyk,pl POL,FW,17.0,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Sammy Dudek,pl POL,MF,17.0,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Hubert Janyszka,pl POL,MF,16.0,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,25.3,34.0,60,3,2,396,401,45,686,193,263,,,2,
Opponent Total,,,26.9,34.0,61,2,1,421,379,61,614,302,318,,,1,
