Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bartosz Mrozek,pl POL,GK,25,33,2970,90,97.1,33.0,33,90,33,0,,0,1.73,60,44,+16,+0.48,-0.52,Matches
Antoni Kozubal,pl POL,MF,20,32,2532,79,82.7,28.1,30,83,19,2,16,1,1.78,51,36,+15,+0.53,+0.19,Matches
Mikael Ishak,se SWE,FW,32,31,2419,78,79.1,26.9,29,81,11,2,32,0,1.74,49,30,+19,+0.71,+0.99,Matches
Michał Gurgul,pl POL,DF,19,31,2448,79,80.0,27.2,27,86,21,4,28,3,1.81,46,35,+11,+0.40,-0.48,Matches
Joel Pereira,pt POR,DF,28,31,2347,76,76.7,26.1,26,86,18,5,21,3,1.65,49,37,+12,+0.46,-0.17,Matches
Leo Bengtsson,se SWE,MF,27,33,2064,63,67.5,22.9,26,72,2,7,26,1,1.73,38,31,+7,+0.31,-0.60,Matches
Antonio Milić,hr CRO,DF,31,24,1989,83,65.0,22.1,24,83,21,0,,1,1.63,34,30,+4,+0.18,-0.91,Matches
Pablo Rodríguez,es ESP,"MF,FW",23,27,1637,61,53.5,18.2,21,70,4,6,28,4,1.63,34,20,+14,+0.77,+0.58,Matches
Wojciech Mońka,pl POL,DF,18,19,1710,90,55.9,19.0,19,90,19,0,,13,2.16,40,20,+20,+1.05,+1.25,Matches
Luis Enrique Palma,hn HON,"MF,FW",25,31,1653,53,54.0,18.4,18,73,5,13,27,0,1.81,35,22,+13,+0.71,+0.45,Matches
Mateusz Skrzypczak,pl POL,DF,24,21,1704,81,55.7,18.9,17,89,16,4,50,10,1.52,34,31,+3,+0.16,-0.77,Matches
Filip Jagiełło,pl POL,"MF,FW",27,27,1658,61,54.2,18.4,17,79,9,10,31,1,1.78,33,31,+2,+0.11,-0.85,Matches
Ali Gholizadeh,ir IRN,MF,29,19,1131,60,37.0,12.6,13,73,2,6,30,0,2.11,29,14,+15,+1.19,+1.10,Matches
Timothy Ouma,ke KEN,MF,21,21,1104,53,36.1,12.3,12,75,7,9,23,8,1.95,20,14,+6,+0.49,-0.02,Matches
Robert Gumny,pl POL,DF,27,21,1059,50,34.6,11.8,11,80,6,10,18,9,1.81,21,15,+6,+0.51,+0.02,Matches
Patrik Wålemark,se SWE,"FW,MF",23,17,907,53,29.6,10.1,11,68,2,6,27,0,2.00,21,8,+13,+1.29,+1.12,Matches
Taofeek Ismaheel,ng NGA,MF,25,21,774,37,25.3,8.6,9,63,0,12,17,6,1.76,14,13,+1,+0.12,-0.51,Matches
João Moutinho,pt POR,DF,27,12,600,50,19.6,6.7,7,74,3,5,17,17,1.83,16,10,+6,+0.90,+0.50,Matches
Alex Douglas,se SWE,DF,23,7,500,71,16.3,5.6,6,83,5,1,5,10,1.43,9,8,+1,+0.18,-0.38,Matches
Gísli Þórðarson,is ISL,MF,20,13,513,39,16.8,5.7,5,59,0,8,27,12,1.85,11,12,-1,-0.18,-0.81,Matches
Yannick Agnero,ci CIV,FW,22,27,603,22,19.7,6.7,4,72,1,23,14,1,1.63,12,13,-1,-0.15,-0.81,Matches
Kornel Lisman,pl POL,MF,19,13,374,29,12.2,4.2,4,63,0,9,14,2,1.23,8,2,+6,+1.44,+1.08,Matches
Bryan Fiabema,no NOR,"MF,FW",22,10,272,27,8.9,3.0,2,78,1,8,15,7,1.80,4,4,0,0.00,-0.55,Matches
Filip Szymczak,pl POL,MF,23,4,157,39,5.1,1.7,2,56,0,2,23,1,1.75,4,2,+2,+1.15,+0.68,Matches
Plamen Andreev,bg BUL,GK,20,1,90,90,2.9,1.0,1,90,1,0,,16,3.00,2,1,+1,+1.00,+0.52,Matches
Daniel Håkans,fi FIN,MF,24,9,240,27,7.8,2.7,0,,0,9,27,0,2.11,5,4,+1,+0.37,-0.14,Matches
Radosław Murawski,pl POL,MF,31,3,60,20,2.0,0.7,0,,0,3,20,3,2.33,1,1,0,0.00,-0.51,Matches
Kamil Jakóbczyk,pl POL,FW,17,1,9,9,0.3,0.1,0,,0,1,9,1,0.00,0,0,0,0.00,-0.50,Matches
Sammy Dudek,pl POL,MF,17,1,7,7,0.2,0.1,0,,0,1,7,8,3.00,1,0,+1,+12.86,+12.39,Matches
Hubert Janyszka,pl POL,MF,16,1,5,5,0.2,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,-0.50,Matches
,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Elias Andersson,se SWE,"DF,MF",29,0,,,,,0,,0,0,,1,,,,,,,Matches
Krzysztof Bąkowski,pl POL,GK,22,0,,,,,0,,0,0,,12,,,,,,,Matches
Bartłomiej Barański,pl POL,FW,18,0,,,,,0,,0,0,,6,,,,,,,Matches
Tymoteusz Gmur,pl POL,MF,17,0,,,,,0,,0,0,,5,,,,,,,Matches
Mateusz Pruchniewski,pl POL,GK,18,0,,,,,0,,0,0,,11,,,,,,,Matches
Bartosz Salamon,pl POL,"DF,MF",34,0,,,,,0,,0,0,,2,,,,,,,Matches
Wojciech Szymczak,pl POL,FW,17,0,,,,,0,,0,0,,1,,,,,,,Matches
Squad Total,,,25.3,34,3060,90,100,34.0,374,80,206,167,22,181,1.76,62,45,+17,+0.50,,
Opponent Total,,,26.9,34,3060,90,100,34.0,374,80,222,151,22,208,0.88,45,62,-17,-0.50,,
