Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Bartosz Mrozek,pl POL,GK,25.0,33.0,0,0,0,,0.0,0.0,,,0,0,Matches
Antoni Kozubal,pl POL,MF,20.0,28.1,1,36,8,22.2,1.28,0.28,0.03,0.13,0,0,Matches
Mikael Ishak,se SWE,FW,32.0,26.9,16,110,43,39.1,4.09,1.6,0.1,0.26,5,6,Matches
Michał Gurgul,pl POL,DF,19.0,27.2,1,10,3,30.0,0.37,0.11,0.1,0.33,0,0,Matches
Joel Pereira,pt POR,DF,28.0,26.1,2,19,4,21.1,0.73,0.15,0.11,0.5,0,0,Matches
Leo Bengtsson,se SWE,MF,27.0,22.9,6,54,20,37.0,2.35,0.87,0.11,0.3,0,0,Matches
Antonio Milić,hr CRO,DF,31.0,22.1,2,16,4,25.0,0.72,0.18,0.13,0.5,0,0,Matches
Pablo Rodríguez,es ESP,"MF,FW",23.0,18.2,3,41,12,29.3,2.25,0.66,0.07,0.25,0,0,Matches
Wojciech Mońka,pl POL,DF,18.0,19.0,0,6,1,16.7,0.32,0.05,0.0,0.0,0,0,Matches
Luis Enrique Palma,hn HON,"MF,FW",25.0,18.4,10,80,36,45.0,4.36,1.96,0.13,0.28,0,0,Matches
Mateusz Skrzypczak,pl POL,DF,24.0,18.9,1,7,2,28.6,0.37,0.11,0.14,0.5,0,0,Matches
Filip Jagiełło,pl POL,"MF,FW",27.0,18.4,1,39,10,25.6,2.12,0.54,0.03,0.1,0,0,Matches
Ali Gholizadeh,ir IRN,MF,29.0,12.6,6,35,9,25.7,2.79,0.72,0.17,0.67,0,0,Matches
Timothy Ouma,ke KEN,MF,21.0,12.3,0,7,2,28.6,0.57,0.16,0.0,0.0,0,0,Matches
Robert Gumny,pl POL,DF,27.0,11.8,0,15,4,26.7,1.27,0.34,0.0,0.0,0,0,Matches
Patrik Wålemark,se SWE,"FW,MF",23.0,10.1,2,42,13,31.0,4.17,1.29,0.05,0.15,0,0,Matches
Taofeek Ismaheel,ng NGA,MF,25.0,8.6,1,23,6,26.1,2.67,0.7,0.04,0.17,0,0,Matches
João Moutinho,pt POR,DF,27.0,6.7,0,1,0,0.0,0.15,0.0,0.0,,0,0,Matches
Alex Douglas,se SWE,DF,23.0,5.6,0,0,0,,0.0,0.0,,,0,0,Matches
Gísli Þórðarson,is ISL,MF,20.0,5.7,2,9,4,44.4,1.58,0.7,0.22,0.5,0,0,Matches
Yannick Agnero,ci CIV,FW,22.0,6.7,3,21,11,52.4,3.13,1.64,0.14,0.27,0,0,Matches
Kornel Lisman,pl POL,MF,19.0,4.2,0,6,3,50.0,1.44,0.72,0.0,0.0,0,0,Matches
Bryan Fiabema,no NOR,"MF,FW",22.0,3.0,2,6,3,50.0,1.99,0.99,0.33,0.67,0,0,Matches
Filip Szymczak,pl POL,MF,23.0,1.7,1,5,1,20.0,2.87,0.57,0.2,1.0,0,0,Matches
Plamen Andreev,bg BUL,GK,20.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Daniel Håkans,fi FIN,MF,24.0,2.7,1,4,2,50.0,1.5,0.75,0.25,0.5,0,0,Matches
Radosław Murawski,pl POL,MF,31.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Kamil Jakóbczyk,pl POL,FW,17.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Sammy Dudek,pl POL,MF,17.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Hubert Janyszka,pl POL,MF,16.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,25.3,34.0,61,592,201,34.0,17.41,5.91,0.09,0.28,5,6,
Opponent Total,,,26.9,34.0,43,429,137,31.9,12.62,4.03,0.09,0.29,3,5,
