Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Rifet Kapić,ba BIH,MF,30.0,30.7,8,0,0,16,13,1,103,31,27,,,0,Matches
Matúš Vojtko,sk SVK,DF,24.0,30.7,6,0,0,34,13,1,126,17,32,,,0,Matches
Camilo Mena,co COL,MF,22.0,30.0,6,0,0,28,72,0,119,26,25,,,0,Matches
Ivan Zhelizko,ua UKR,MF,24.0,30.0,10,1,1,32,21,0,91,37,37,,,0,Matches
Tomáš Bobček,sk SVK,FW,23.0,27.3,5,0,0,59,40,21,7,8,15,,,0,Matches
Matej Rodin,hr CRO,DF,29.0,25.5,3,0,0,33,18,6,0,20,20,,,1,Matches
Alex Paulsen,nz NZL,GK,23.0,24.0,2,0,0,0,6,0,0,1,1,,,0,Matches
Kacper Sezonienko,pl POL,"MF,FW",22.0,19.9,4,0,0,41,18,0,14,16,28,,,0,Matches
Maksym Diachuk,ua UKR,DF,22.0,23.3,4,0,0,16,3,0,1,11,24,,,0,Matches
Tomasz Neugebauer,pl POL,"MF,FW",22.0,20.4,6,0,0,37,19,5,28,23,21,,,0,Matches
Tomasz Wójtowicz,pl POL,"DF,MF",21.0,17.4,2,0,0,13,19,0,54,19,29,,,0,Matches
Aleksandar Ćirković,rs SRB,MF,23.0,18.7,3,0,0,15,16,8,97,8,11,,,0,Matches
Bujar Pllana,al ALB,DF,23.0,13.3,4,0,0,10,0,0,0,12,16,,,0,Matches
Bohdan Viunnyk,ua UKR,"MF,FW",23.0,10.7,2,0,0,18,21,1,10,4,8,,,0,Matches
Bartłomiej Kłudka,pl POL,DF,23.0,10.8,1,0,0,14,10,0,35,16,22,,,0,Matches
Szymon Weirauch,pl POL,GK,21.0,9.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Dawid Kurminowski,pl POL,"FW,MF",26.0,9.1,2,0,0,15,10,2,2,2,4,,,0,Matches
Alvis Jaunzems,lv LVA,DF,26.0,6.9,0,0,0,1,4,0,13,7,9,,,0,Matches
Elias Olsson,se SWE,DF,22.0,5.5,2,0,0,8,3,0,0,6,2,,,0,Matches
Miłosz Kałahur,pl POL,DF,26.0,3.2,2,1,0,5,12,0,14,3,4,,,0,Matches
Anton Tsarenko,ua UKR,MF,21.0,2.5,0,0,0,1,5,0,6,2,7,,,0,Matches
Bohdan Sarnavskyi,ua UKR,GK,30.0,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Mohamed Awad Alla,ae UAE,FW,23.0,2.2,2,0,0,5,2,0,2,1,3,,,0,Matches
Michał Głogowski,pl POL,FW,19.0,1.5,0,0,0,1,2,1,1,2,1,,,0,Matches
Dorian Sinkiewicz,pl POL,FW,16.0,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
Bartosz Szczepankiewicz,pl POL,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,24.3,34.0,74,2,1,402,328,46,723,273,346,,,1,
Opponent Total,,,26.9,34.0,78,6,3,345,390,33,615,278,264,,,2,
