Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Rifet Kapić,ba BIH,MF,30.0,32,2767.0,86.0,90.4,30.7,32,86.0,22,0,,0,1.22,53.0,61.0,-8.0,-0.26,-1.8,Matches
Matúš Vojtko,sk SVK,DF,24.0,31,2765.0,89.0,90.4,30.7,31,89.0,28,0,,0,1.29,57.0,57.0,0.0,0.0,0.92,Matches
Camilo Mena,co COL,MF,22.0,31,2698.0,87.0,88.2,30.0,31,87.0,26,0,,0,1.26,55.0,59.0,-4.0,-0.13,-0.38,Matches
Ivan Zhelizko,ua UKR,MF,24.0,30,2696.0,90.0,88.1,30.0,30,90.0,29,0,,0,1.3,54.0,55.0,-1.0,-0.03,0.46,Matches
Tomáš Bobček,sk SVK,FW,23.0,30,2456.0,82.0,80.3,27.3,28,85.0,19,2,45.0,0,1.13,48.0,51.0,-3.0,-0.11,-0.11,Matches
Matej Rodin,hr CRO,DF,29.0,26,2295.0,88.0,75.0,25.5,26,88.0,25,0,,0,1.35,48.0,44.0,4.0,0.16,0.98,Matches
Alex Paulsen,nz NZL,GK,23.0,24,2160.0,90.0,70.6,24.0,24,90.0,24,0,,1,1.29,39.0,41.0,-2.0,-0.08,0.02,Matches
Kacper Sezonienko,pl POL,"MF,FW",22.0,31,1789.0,58.0,58.5,19.9,24,71.0,5,7,13.0,2,1.39,39.0,33.0,6.0,0.3,0.94,Matches
Maksym Diachuk,ua UKR,DF,22.0,26,2097.0,81.0,68.5,23.3,23,90.0,22,3,9.0,5,1.42,47.0,46.0,1.0,0.04,0.42,Matches
Tomasz Neugebauer,pl POL,"MF,FW",22.0,32,1832.0,57.0,59.9,20.4,20,73.0,5,12,30.0,1,1.31,40.0,37.0,3.0,0.15,0.59,Matches
Tomasz Wójtowicz,pl POL,"DF,MF",21.0,22,1565.0,71.0,51.1,17.4,20,77.0,9,2,17.0,12,1.32,32.0,31.0,1.0,0.06,0.3,Matches
Aleksandar Ćirković,rs SRB,MF,23.0,24,1685.0,70.0,55.1,18.7,19,81.0,10,5,31.0,2,1.33,33.0,33.0,0.0,0.0,0.2,Matches
Bujar Pllana,al ALB,DF,23.0,17,1199.0,71.0,39.2,13.3,13,88.0,11,4,12.0,8,1.12,20.0,27.0,-7.0,-0.53,-0.72,Matches
Bohdan Viunnyk,ua UKR,"MF,FW",23.0,25,966.0,39.0,31.6,10.7,11,64.0,1,14,19.0,6,1.44,17.0,24.0,-7.0,-0.65,-0.82,Matches
Bartłomiej Kłudka,pl POL,DF,23.0,18,974.0,54.0,31.8,10.8,9,83.0,5,9,25.0,7,1.17,16.0,19.0,-3.0,-0.28,-0.28,Matches
Szymon Weirauch,pl POL,GK,21.0,9,810.0,90.0,26.5,9.0,9,90.0,9,0,,24,1.33,22.0,22.0,0.0,0.0,0.12,Matches
Dawid Kurminowski,pl POL,"FW,MF",26.0,23,823.0,36.0,26.9,9.1,7,75.0,1,16,19.0,4,1.48,17.0,15.0,2.0,0.22,0.42,Matches
Alvis Jaunzems,lv LVA,DF,26.0,9,621.0,69.0,20.3,6.9,7,87.0,6,2,5.0,6,1.22,14.0,18.0,-4.0,-0.58,-0.62,Matches
Elias Olsson,se SWE,DF,22.0,8,493.0,62.0,16.1,5.5,5,86.0,4,3,21.0,9,1.38,8.0,12.0,-4.0,-0.73,-0.77,Matches
Miłosz Kałahur,pl POL,DF,26.0,6,285.0,48.0,9.3,3.2,3,86.0,2,3,9.0,27,0.67,4.0,9.0,-5.0,-1.58,-1.64,Matches
Anton Tsarenko,ua UKR,MF,21.0,7,222.0,32.0,7.3,2.5,1,45.0,0,6,30.0,18,0.57,4.0,5.0,-1.0,-0.41,-0.34,Matches
Bohdan Sarnavskyi,ua UKR,GK,30.0,1,90.0,90.0,2.9,1.0,1,90.0,1,0,,12,0.0,1.0,2.0,-1.0,-1.0,-0.94,Matches
Mohamed Awad Alla,ae UAE,FW,23.0,8,202.0,25.0,6.6,2.2,0,,0,8,25.0,10,0.88,5.0,6.0,-1.0,-0.45,-0.38,Matches
Michał Głogowski,pl POL,FW,19.0,10,137.0,14.0,4.5,1.5,0,,0,10,14.0,20,1.0,5.0,5.0,0.0,0.0,0.09,Matches
Dorian Sinkiewicz,pl POL,FW,16.0,1,16.0,16.0,0.5,0.2,0,,0,1,16.0,3,0.0,1.0,0.0,1.0,5.63,5.74,Matches
Bartosz Szczepankiewicz,pl POL,MF,18.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,9,0.0,0.0,0.0,0.0,0.0,0.09,Matches
Igor Bambecki,pl POL,FW,20.0,0,,,,,0,,0,0,,8,,,,,,,Matches
Bartosz Brzęk,pl POL,MF,19.0,0,,,,,0,,0,0,,8,,,,,,,Matches
Kacper Gutowski,pl POL,GK,19.0,0,,,,,0,,0,0,,5,,,,,,,Matches
Michał Kaczorowski,pl POL,GK,18.0,0,,,,,0,,0,0,,2,,,,,,,Matches
Indrit Mavraj,xk KVX,DF,19.0,0,,,,,0,,0,0,,14,,,,,,,Matches
Kalle Wendt,se SWE,MF,20.0,0,,,,,0,,0,0,,9,,,,,,,Matches
Squad Total,,,24.3,34,3060.0,90.0,100.0,34.0,374,84.0,264,108,21.0,232,1.26,62.0,65.0,-3.0,-0.09,,
Opponent Total,,,26.9,34,3060.0,90.0,100.0,34.0,374,84.0,208,160,20.0,195,1.53,65.0,62.0,3.0,0.09,,
