Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Rifet Kapić,ba BIH,MF,30.0,30.7,5,25,10,40.0,0.81,0.33,0.16,0.4,1,2,Matches
Matúš Vojtko,sk SVK,DF,24.0,30.7,1,14,3,21.4,0.46,0.1,0.07,0.33,0,0,Matches
Camilo Mena,co COL,MF,22.0,30.0,5,49,19,38.8,1.63,0.63,0.08,0.21,1,1,Matches
Ivan Zhelizko,ua UKR,MF,24.0,30.0,7,57,18,31.6,1.9,0.6,0.12,0.39,0,0,Matches
Tomáš Bobček,sk SVK,FW,23.0,27.3,20,117,49,41.9,4.29,1.8,0.14,0.33,4,5,Matches
Matej Rodin,hr CRO,DF,29.0,25.5,1,25,10,40.0,0.98,0.39,0.04,0.1,0,0,Matches
Alex Paulsen,nz NZL,GK,23.0,24.0,0,0,0,,0.0,0.0,,,0,0,Matches
Kacper Sezonienko,pl POL,"MF,FW",22.0,19.9,5,24,9,37.5,1.21,0.45,0.21,0.56,0,0,Matches
Maksym Diachuk,ua UKR,DF,22.0,23.3,1,15,3,20.0,0.64,0.13,0.07,0.33,0,0,Matches
Tomasz Neugebauer,pl POL,"MF,FW",22.0,20.4,3,33,11,33.3,1.62,0.54,0.09,0.27,0,0,Matches
Tomasz Wójtowicz,pl POL,"DF,MF",21.0,17.4,0,7,3,42.9,0.4,0.17,0.0,0.0,0,0,Matches
Aleksandar Ćirković,rs SRB,MF,23.0,18.7,4,35,17,48.6,1.87,0.91,0.11,0.24,0,0,Matches
Bujar Pllana,al ALB,DF,23.0,13.3,1,17,7,41.2,1.28,0.53,0.06,0.14,0,0,Matches
Bohdan Viunnyk,ua UKR,"MF,FW",23.0,10.7,3,26,11,42.3,2.42,1.02,0.12,0.27,0,0,Matches
Bartłomiej Kłudka,pl POL,DF,23.0,10.8,0,10,0,0.0,0.92,0.0,0.0,,0,0,Matches
Szymon Weirauch,pl POL,GK,21.0,9.0,0,0,0,,0.0,0.0,,,0,0,Matches
Dawid Kurminowski,pl POL,"FW,MF",26.0,9.1,3,17,6,35.3,1.86,0.66,0.18,0.5,0,0,Matches
Alvis Jaunzems,lv LVA,DF,26.0,6.9,0,2,0,0.0,0.29,0.0,0.0,,0,0,Matches
Elias Olsson,se SWE,DF,22.0,5.5,0,1,0,0.0,0.18,0.0,0.0,,0,0,Matches
Miłosz Kałahur,pl POL,DF,26.0,3.2,0,0,0,,0.0,0.0,,,0,0,Matches
Anton Tsarenko,ua UKR,MF,21.0,2.5,0,4,3,75.0,1.62,1.22,0.0,0.0,0,0,Matches
Bohdan Sarnavskyi,ua UKR,GK,30.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Mohamed Awad Alla,ae UAE,FW,23.0,2.2,1,4,3,75.0,1.78,1.34,0.25,0.33,0,0,Matches
Michał Głogowski,pl POL,FW,19.0,1.5,0,4,0,0.0,2.63,0.0,0.0,,0,0,Matches
Dorian Sinkiewicz,pl POL,FW,16.0,0.2,0,1,0,0.0,5.63,0.0,0.0,,0,0,Matches
Bartosz Szczepankiewicz,pl POL,MF,18.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,24.3,34.0,60,487,182,37.4,14.32,5.35,0.11,0.3,6,8,
Opponent Total,,,26.9,34.0,64,460,156,33.9,13.53,4.59,0.13,0.37,6,7,
