Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Rifet Kapić,ba BIH,MF,30.0,32,32,2767.0,30.7,5.0,3.0,8.0,4.0,1.0,2.0,8.0,0.0,0.16,0.1,0.26,0.13,0.23,Matches
Matúš Vojtko,sk SVK,DF,24.0,31,31,2765.0,30.7,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.03,0.1,0.13,0.03,0.13,Matches
Camilo Mena,co COL,MF,22.0,31,31,2698.0,30.0,5.0,8.0,13.0,4.0,1.0,1.0,6.0,0.0,0.17,0.27,0.43,0.13,0.4,Matches
Ivan Zhelizko,ua UKR,MF,24.0,30,30,2696.0,30.0,7.0,5.0,12.0,7.0,0.0,0.0,10.0,1.0,0.23,0.17,0.4,0.23,0.4,Matches
Tomáš Bobček,sk SVK,FW,23.0,30,28,2456.0,27.3,20.0,6.0,26.0,16.0,4.0,5.0,5.0,0.0,0.73,0.22,0.95,0.59,0.81,Matches
Matej Rodin,hr CRO,DF,29.0,26,26,2295.0,25.5,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.04,0.12,0.16,0.04,0.16,Matches
Alex Paulsen,nz NZL,GK,23.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kacper Sezonienko,pl POL,"MF,FW",22.0,31,24,1789.0,19.9,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,0.25,0.15,0.4,0.25,0.4,Matches
Maksym Diachuk,ua UKR,DF,22.0,26,23,2097.0,23.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.09,0.04,0.09,Matches
Tomasz Neugebauer,pl POL,"MF,FW",22.0,32,20,1832.0,20.4,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,0.15,0.1,0.25,0.15,0.25,Matches
Tomasz Wójtowicz,pl POL,"DF,MF",21.0,22,20,1565.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksandar Ćirković,rs SRB,MF,23.0,24,19,1685.0,18.7,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.21,0.27,0.48,0.21,0.48,Matches
Bujar Pllana,al ALB,DF,23.0,17,13,1199.0,13.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
