Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Kamil Piątkowski,pl POL,DF,25.0,25.0,3,1,0,23,29,0,31,30,30,,,1,Matches
Mileta Rajovic,dk DEN,FW,26.0,25.4,1,0,0,29,12,2,6,3,4,,,0,Matches
Paweł Wszołek,pl POL,"DF,MF",33.0,21.6,4,0,0,30,17,4,92,20,20,,,0,Matches
Juergen Elitim,co COL,MF,26.0,21.2,3,0,0,25,36,0,93,28,18,,,0,Matches
Kacper Tobiasz,pl POL,GK,22.0,21.1,0,0,0,1,5,0,0,0,0,,,0,Matches
Bartosz Kapustka,pl POL,MF,28.0,20.7,6,0,0,33,30,1,45,23,27,,,0,Matches
Radovan Pankov,rs SRB,DF,29.0,20.2,4,0,0,21,20,2,4,23,17,,,0,Matches
Damian Szymański,pl POL,MF,30.0,18.8,7,0,0,35,13,2,58,28,24,,,0,Matches
Rafał Augustyniak,pl POL,"DF,MF",31.0,18.7,7,1,0,38,17,1,8,22,16,,,0,Matches
Wahan Biczachczian,am ARM,"FW,MF",26.0,13.0,1,0,0,15,24,4,70,17,8,,,0,Matches
Steve Kapuadi,cd COD,DF,27.0,15.5,3,0,0,25,1,0,0,5,11,,,0,Matches
Patryk Kun,pl POL,"MF,DF",30.0,13.8,2,0,0,19,25,1,45,18,13,,,0,Matches
Otto Hindrich,ro ROU,GK,22.0,12.9,0,0,0,0,6,0,0,0,0,,,0,Matches
Ermal Krasniqi,xk KVX,"MF,FW",26.0,12.8,3,0,0,28,9,0,46,8,28,,,0,Matches
Kacper Urbanski,pl POL,"MF,FW",20.0,11.5,2,0,0,10,15,1,12,8,3,,,0,Matches
Rúben Vinagre,pt POR,"DF,MF",26.0,10.1,0,0,0,9,23,0,87,10,7,,,0,Matches
Rafał Adamski,pl POL,"FW,MF",23.0,9.9,0,0,0,23,19,4,1,2,9,,,0,Matches
Kacper Chodyna,pl POL,"MF,FW",26.0,10.3,3,0,0,13,3,0,55,6,6,,,0,Matches
Arkadiusz Reca,pl POL,"DF,MF",30.0,10.1,2,0,0,21,9,2,47,25,21,,,0,Matches
Wojciech Urbanski,pl POL,"MF,FW",20.0,8.6,4,0,0,19,15,1,14,7,9,,,0,Matches
Petar Stojanović,si SVN,"MF,DF",29.0,7.4,5,0,0,11,10,0,17,4,8,,,0,Matches
Jean-Pierre Nsame,cm CMR,FW,32.0,6.2,0,0,0,8,3,1,2,0,3,,,0,Matches
Artur Jędrzejczyk,pl POL,DF,37.0,5.6,1,0,0,10,4,0,0,4,1,,,0,Matches
Marco Burch,ch SUI,"MF,DF",24.0,5.0,0,0,0,13,4,0,1,10,10,,,0,Matches
Claude Gonçalves,pt POR,MF,31.0,4.5,1,0,0,10,5,0,3,10,2,,,0,Matches
Migouel Alfarela,fr FRA,FW,27.0,3.0,0,0,0,3,3,2,7,2,1,,,0,Matches
Antonio Čolak,hr CRO,FW,31.0,3.0,1,0,0,5,6,2,1,1,0,,,0,Matches
Noah Weißhaupt,de GER,"FW,MF",23.0,2.9,0,0,0,2,12,1,14,0,0,,,0,Matches
Henrique Arreiol,pt POR,MF,20.0,2.9,0,0,0,8,8,0,8,6,8,,,0,Matches
Ryoya Morishita,jp JPN,MF,28.0,2.4,1,0,0,4,2,1,8,1,0,,,0,Matches
Jan Leszczyński,pl POL,DF,18.0,2.0,1,0,0,0,3,0,1,5,5,,,0,Matches
Jakub Żewłakow,pl POL,FW,18.0,3.0,1,0,0,5,5,0,5,1,4,,,0,Matches
Jan Ziółkowski,pl POL,DF,20.0,1.5,1,0,0,2,1,0,4,2,3,,,0,Matches
Ilya Shkurin,by BLR,FW,25.0,0.9,0,0,0,1,0,1,0,0,1,,,0,Matches
Samuel Kováčik,sk SVK,FW,18.0,1.2,0,0,0,2,5,0,1,1,0,,,0,Matches
Squad Total,,,27.2,34.0,67,2,0,501,399,33,786,330,317,,,1,
Opponent Total,,,26.6,34.0,63,1,1,422,478,66,495,287,340,,,3,
