Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Kamil Piątkowski,pl POL,DF,25,26,2254,87,73.7,25.0,26,87,24,0,,1,1.54,33,27,+6,+0.24,+0.35,Matches
Mileta Rajovic,dk DEN,FW,26,32,2282,71,74.6,25.4,24,85,15,8,30,0,1.34,27,29,-2,-0.08,-0.89,Matches
Paweł Wszołek,pl POL,"DF,MF",33,25,1943,78,63.5,21.6,22,86,19,3,16,1,1.28,22,25,-3,-0.14,-0.78,Matches
Juergen Elitim,co COL,MF,26,25,1910,76,62.4,21.2,21,86,15,4,26,0,1.52,28,20,+8,+0.38,+0.61,Matches
Kacper Tobiasz,pl POL,GK,22,22,1896,86,62.0,21.1,21,90,21,1,6,12,1.09,23,26,-3,-0.14,-0.76,Matches
Bartosz Kapustka,pl POL,MF,28,28,1866,67,61.0,20.7,21,82,11,7,21,1,1.43,26,23,+3,+0.14,-0.01,Matches
Radovan Pankov,rs SRB,DF,29,22,1816,83,59.3,20.2,19,89,17,3,43,3,1.64,25,20,+5,+0.25,+0.25,Matches
Damian Szymański,pl POL,MF,30,25,1690,68,55.2,18.8,19,84,10,6,15,3,1.48,22,20,+2,+0.11,-0.09,Matches
Rafał Augustyniak,pl POL,"DF,MF",31,24,1686,70,55.1,18.7,19,84,15,5,18,9,1.63,25,18,+7,+0.37,+0.50,Matches
Wahan Biczachczian,am ARM,"FW,MF",26,21,1174,56,38.4,13.0,16,68,0,5,18,3,1.33,16,10,+6,+0.46,+0.51,Matches
Steve Kapuadi,cd COD,DF,27,16,1393,87,45.5,15.5,15,90,14,1,45,3,1.00,16,21,-5,-0.32,-0.86,Matches
Patryk Kun,pl POL,"MF,DF",30,16,1241,78,40.6,13.8,15,82,5,1,8,5,1.56,13,14,-1,-0.07,-0.37,Matches
Otto Hindrich,ro ROU,GK,22,13,1164,90,38.0,12.9,13,90,12,0,,2,2.15,19,11,+8,+0.62,+0.76,Matches
Ermal Krasniqi,xk KVX,"MF,FW",26,25,1151,46,37.6,12.8,13,73,4,12,17,5,1.36,14,17,-3,-0.23,-0.61,Matches
Kacper Urbanski,pl POL,"MF,FW",20,21,1037,49,33.9,11.5,11,70,0,10,26,7,1.14,7,17,-10,-0.87,-1.54,Matches
Rúben Vinagre,pt POR,"DF,MF",26,15,909,61,29.7,10.1,10,83,6,5,16,5,1.60,18,9,+9,+0.89,+1.06,Matches
Rafał Adamski,pl POL,"FW,MF",23,13,887,68,29.0,9.9,10,81,7,3,26,1,2.15,17,8,+9,+0.91,+1.08,Matches
Kacper Chodyna,pl POL,"MF,FW",26,16,923,58,30.2,10.3,9,84,5,7,24,6,1.75,14,9,+5,+0.49,+0.49,Matches
Arkadiusz Reca,pl POL,"DF,MF",30,20,906,45,29.6,10.1,9,81,6,11,16,6,1.30,8,15,-7,-0.70,-1.20,Matches
Wojciech Urbanski,pl POL,"MF,FW",20,21,773,37,25.3,8.6,8,69,1,13,17,12,1.29,12,10,+2,+0.23,+0.11,Matches
Petar Stojanović,si SVN,"MF,DF",29,14,666,48,21.8,7.4,8,68,2,6,21,6,1.00,9,9,0,0.00,-0.19,Matches
Jean-Pierre Nsame,cm CMR,FW,32,10,562,56,18.4,6.2,7,71,0,3,23,6,2.00,10,3,+7,+1.12,+1.19,Matches
Artur Jędrzejczyk,pl POL,DF,37,12,504,42,16.5,5.6,5,77,2,7,17,17,1.67,6,9,-3,-0.54,-0.82,Matches
Marco Burch,ch SUI,"MF,DF",24,5,450,90,14.7,5.0,5,90,5,0,,10,1.20,6,5,+1,+0.20,+0.06,Matches
Claude Gonçalves,pt POR,MF,31,7,405,58,13.2,4.5,5,76,1,2,12,4,1.43,4,1,+3,+0.67,+0.60,Matches
Migouel Alfarela,fr FRA,FW,27,4,273,68,8.9,3.0,4,68,1,0,,1,1.75,4,1,+3,+0.99,+0.92,Matches
Antonio Čolak,hr CRO,FW,31,13,274,21,9.0,3.0,3,49,0,10,13,6,1.08,6,6,0,0.00,-0.16,Matches
Noah Weißhaupt,de GER,"FW,MF",23,7,264,38,8.6,2.9,3,58,0,4,23,3,1.29,5,5,0,0.00,-0.16,Matches
Henrique Arreiol,pt POR,MF,20,4,258,65,8.4,2.9,3,79,0,1,20,12,1.00,2,3,-1,-0.35,-0.54,Matches
Ryoya Morishita,jp JPN,MF,28,4,212,53,6.9,2.4,3,60,0,1,33,0,1.75,4,2,+2,+0.85,+0.75,Matches
