Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Kamil Piątkowski,pl POL,DF,25.0,25.0,0,14,6,42.9,0.56,0.24,0.0,0.0,0,0,Matches
Mileta Rajovic,dk DEN,FW,26.0,25.4,6,73,29,39.7,2.88,1.14,0.07,0.17,1,2,Matches
Paweł Wszołek,pl POL,"DF,MF",33.0,21.6,2,11,4,36.4,0.51,0.19,0.09,0.25,1,1,Matches
Juergen Elitim,co COL,MF,26.0,21.2,2,18,3,16.7,0.85,0.14,0.11,0.67,0,0,Matches
Kacper Tobiasz,pl POL,GK,22.0,21.1,0,0,0,,0.0,0.0,,,0,0,Matches
Bartosz Kapustka,pl POL,MF,28.0,20.7,2,46,13,28.3,2.22,0.63,0.02,0.08,1,1,Matches
Radovan Pankov,rs SRB,DF,29.0,20.2,1,16,4,25.0,0.79,0.2,0.06,0.25,0,0,Matches
Damian Szymański,pl POL,MF,30.0,18.8,1,13,3,23.1,0.69,0.16,0.08,0.33,0,0,Matches
Rafał Augustyniak,pl POL,"DF,MF",31.0,18.7,2,24,2,8.3,1.28,0.11,0.04,0.5,1,1,Matches
Wahan Biczachczian,am ARM,"FW,MF",26.0,13.0,2,54,16,29.6,4.14,1.23,0.04,0.13,0,0,Matches
Steve Kapuadi,cd COD,DF,27.0,15.5,0,7,1,14.3,0.45,0.06,0.0,0.0,0,0,Matches
Patryk Kun,pl POL,"MF,DF",30.0,13.8,0,6,1,16.7,0.44,0.07,0.0,0.0,0,0,Matches
Otto Hindrich,ro ROU,GK,22.0,12.9,0,0,0,,0.0,0.0,,,0,0,Matches
Ermal Krasniqi,xk KVX,"MF,FW",26.0,12.8,2,30,7,23.3,2.35,0.55,0.07,0.29,0,0,Matches
Kacper Urbanski,pl POL,"MF,FW",20.0,11.5,0,22,2,9.1,1.91,0.17,0.0,0.0,0,0,Matches
Rúben Vinagre,pt POR,"DF,MF",26.0,10.1,0,12,1,8.3,1.19,0.1,0.0,0.0,0,0,Matches
Rafał Adamski,pl POL,"FW,MF",23.0,9.9,4,18,10,55.6,1.83,1.01,0.22,0.4,0,0,Matches
Kacper Chodyna,pl POL,"MF,FW",26.0,10.3,2,10,4,40.0,0.98,0.39,0.2,0.5,0,0,Matches
Arkadiusz Reca,pl POL,"DF,MF",30.0,10.1,0,7,2,28.6,0.7,0.2,0.0,0.0,0,0,Matches
Wojciech Urbanski,pl POL,"MF,FW",20.0,8.6,1,10,4,40.0,1.16,0.47,0.1,0.25,0,0,Matches
Petar Stojanović,si SVN,"MF,DF",29.0,7.4,1,9,3,33.3,1.22,0.41,0.11,0.33,0,0,Matches
Jean-Pierre Nsame,cm CMR,FW,32.0,6.2,5,22,7,31.8,3.52,1.12,0.18,0.57,1,1,Matches
Artur Jędrzejczyk,pl POL,DF,37.0,5.6,1,8,3,37.5,1.43,0.54,0.13,0.33,0,0,Matches
Marco Burch,ch SUI,"MF,DF",24.0,5.0,0,5,0,0.0,1.0,0.0,0.0,,0,0,Matches
Claude Gonçalves,pt POR,MF,31.0,4.5,0,6,1,16.7,1.33,0.22,0.0,0.0,0,0,Matches
Migouel Alfarela,fr FRA,FW,27.0,3.0,1,7,4,57.1,2.31,1.32,0.14,0.25,0,0,Matches
Antonio Čolak,hr CRO,FW,31.0,3.0,3,8,4,50.0,2.63,1.31,0.38,0.75,0,0,Matches
Noah Weißhaupt,de GER,"FW,MF",23.0,2.9,0,5,1,20.0,1.7,0.34,0.0,0.0,0,0,Matches
Henrique Arreiol,pt POR,MF,20.0,2.9,0,6,1,16.7,2.09,0.35,0.0,0.0,0,0,Matches
Ryoya Morishita,jp JPN,MF,28.0,2.4,1,6,2,33.3,2.55,0.85,0.17,0.5,0,0,Matches
Jan Leszczyński,pl POL,DF,18.0,2.0,0,3,1,33.3,1.48,0.49,0.0,0.0,0,0,Matches
Jakub Żewłakow,pl POL,FW,18.0,3.0,0,6,4,66.7,2.0,1.33,0.0,0.0,0,0,Matches
Jan Ziółkowski,pl POL,DF,20.0,1.5,0,3,0,0.0,2.0,0.0,0.0,,0,0,Matches
Ilya Shkurin,by BLR,FW,25.0,0.9,0,2,1,50.0,2.2,1.1,0.0,0.0,0,0,Matches
Samuel Kováčik,sk SVK,FW,18.0,1.2,0,1,0,0.0,0.85,0.0,0.0,,0,0,Matches
Squad Total,,,27.2,34.0,39,488,144,29.5,14.35,4.24,0.07,0.24,5,6,
Opponent Total,,,26.6,34.0,36,353,113,32.0,10.38,3.32,0.09,0.27,5,5,
