Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kamil Piątkowski,pl POL,DF,25,26,26,2254,25.0,0,3,3,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches
Mileta Rajovic,dk DEN,FW,26,32,24,2282,25.4,6,0,6,5,1,2,1,0,0.24,0.00,0.24,0.20,0.20,Matches
Paweł Wszołek,pl POL,"DF,MF",33,25,22,1943,21.6,2,1,3,1,1,1,4,0,0.09,0.05,0.14,0.05,0.09,Matches
Juergen Elitim,co COL,MF,26,25,21,1910,21.2,2,3,5,2,0,0,3,0,0.09,0.14,0.24,0.09,0.24,Matches
Kacper Tobiasz,pl POL,GK,22,22,21,1896,21.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartosz Kapustka,pl POL,MF,28,28,21,1866,20.7,2,2,4,1,1,1,6,0,0.10,0.10,0.19,0.05,0.14,Matches
Radovan Pankov,rs SRB,DF,29,22,19,1816,20.2,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches
Damian Szymański,pl POL,MF,30,25,19,1690,18.8,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches
Rafał Augustyniak,pl POL,"DF,MF",31,24,19,1686,18.7,2,0,2,1,1,1,7,1,0.11,0.00,0.11,0.05,0.05,Matches
Wahan Biczachczian,am ARM,"FW,MF",26,21,16,1174,13.0,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches
Steve Kapuadi,cd COD,DF,27,16,15,1393,15.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Patryk Kun,pl POL,"MF,DF",30,16,15,1241,13.8,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
Otto Hindrich,ro ROU,GK,22,13,13,1164,12.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ermal Krasniqi,xk KVX,"MF,FW",26,25,13,1151,12.8,2,2,4,2,0,0,3,0,0.16,0.16,0.31,0.16,0.31,Matches
Kacper Urbanski,pl POL,"MF,FW",20,21,11,1037,11.5,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
Rúben Vinagre,pt POR,"DF,MF",26,15,10,909,10.1,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches
Rafał Adamski,pl POL,"FW,MF",23,13,10,887,9.9,4,2,6,4,0,0,0,0,0.41,0.20,0.61,0.41,0.61,Matches
Kacper Chodyna,pl POL,"MF,FW",26,16,9,923,10.3,2,1,3,2,0,0,3,0,0.20,0.10,0.29,0.20,0.29,Matches
Arkadiusz Reca,pl POL,"DF,MF",30,20,9,906,10.1,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
