Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bartosz Wolski,pl POL,MF,28.0,34,2855.0,84.0,93.3,31.7,34,84.0,21,0,,0,1.26,44.0,48.0,-4.0,-0.13,1.19,Matches
Karol Czubak,pl POL,FW,25.0,32,2542.0,79.0,83.1,28.2,31,81.0,12,1,33.0,0,1.25,41.0,42.0,-1.0,-0.04,1.01,Matches
Filip Luberecki,pl POL,DF,20.0,31,2615.0,84.0,85.5,29.1,29,88.0,24,2,36.0,2,1.19,37.0,43.0,-6.0,-0.21,0.0,Matches
Ivo Rodrigues,pt POR,MF,30.0,31,2442.0,79.0,79.8,27.1,29,83.0,17,2,25.0,0,1.39,40.0,36.0,4.0,0.15,1.75,Matches
Ivan Brkić,hr CRO,GK,30.0,27,2362.0,87.0,77.2,26.2,27,87.0,26,0,,2,1.33,35.0,37.0,-2.0,-0.08,0.57,Matches
Paweł Stolarski,pl POL,DF,29.0,29,1901.0,66.0,62.1,21.1,25,73.0,8,4,18.0,2,1.21,31.0,29.0,2.0,0.09,0.79,Matches
Hervé Matthys,be BEL,DF,29.0,26,2154.0,83.0,70.4,23.9,24,88.0,22,2,17.0,4,1.42,31.0,34.0,-3.0,-0.13,0.27,Matches
Marek Bartoš,sk SVK,DF,28.0,25,2070.0,83.0,67.6,23.0,23,89.0,21,2,16.0,5,1.36,34.0,36.0,-2.0,-0.09,0.37,Matches
Sergi Samper,es ESP,MF,30.0,30,1791.0,60.0,58.5,19.9,20,75.0,5,10,29.0,3,1.23,27.0,29.0,-2.0,-0.1,0.25,Matches
