Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Bartosz Wolski,pl POL,MF,28.0,31.7,6,39,16,41.0,1.23,0.5,0.15,0.38,0,1,Matches
Karol Czubak,pl POL,FW,25.0,28.2,18,93,40,43.0,3.29,1.42,0.16,0.38,3,3,Matches
Filip Luberecki,pl POL,DF,20.0,29.1,0,11,2,18.2,0.38,0.07,0.0,0.0,0,0,Matches
Ivo Rodrigues,pt POR,MF,30.0,27.1,2,44,10,22.7,1.62,0.37,0.05,0.2,0,0,Matches
Ivan Brkić,hr CRO,GK,30.0,26.2,0,0,0,,0.0,0.0,,,0,0,Matches
Paweł Stolarski,pl POL,DF,29.0,21.1,0,9,2,22.2,0.43,0.09,0.0,0.0,0,0,Matches
Hervé Matthys,be BEL,DF,29.0,23.9,0,6,0,0.0,0.25,0.0,0.0,,0,0,Matches
Marek Bartoš,sk SVK,DF,28.0,23.0,1,16,3,18.8,0.7,0.13,0.06,0.33,0,0,Matches
Sergi Samper,es ESP,MF,30.0,19.9,0,8,2,25.0,0.4,0.1,0.0,0.0,0,0,Matches
Mbaye Jacques Ndiaye,sn SEN,"MF,FW",21.0,18.1,8,38,18,47.4,2.1,1.0,0.21,0.44,0,0,Matches
Fábio Conceição,pt POR,"MF,FW",24.0,17.1,4,30,10,33.3,1.76,0.59,0.13,0.4,0,0,Matches
Michał Król,pl POL,"MF,FW",25.0,16.6,1,24,7,29.2,1.45,0.42,0.04,0.14,0,0,Matches
Jakub Łabojko,pl POL,MF,27.0,14.1,1,16,1,6.3,1.13,0.07,0.06,1.0,0,0,Matches
Arkadiusz Najemski,pl POL,DF,29.0,13.4,0,8,1,12.5,0.6,0.07,0.0,0.0,0,0,Matches
Bradly van Hoeven,nl NED,"MF,FW",25.0,12.9,0,10,5,50.0,0.77,0.39,0.0,0.0,0,0,Matches
Filip Wójcik,pl POL,DF,28.0,11.7,0,3,0,0.0,0.26,0.0,0.0,,0,0,Matches
Gašper Tratnik,si SVN,GK,25.0,7.8,0,0,0,,0.0,0.0,,,0,0,Matches
Bright Ede,pl POL,DF,18.0,6.7,0,2,0,0.0,0.3,0.0,0.0,,0,0,Matches
Mathieu Scalet,fr FRA,MF,28.0,6.8,2,17,8,47.1,2.5,1.18,0.12,0.25,0,0,Matches
Krystian Palacz,pl POL,DF,22.0,3.5,0,2,1,50.0,0.58,0.29,0.0,0.0,0,0,Matches
Renat Dadaşov,az AZE,FW,26.0,5.2,0,8,3,37.5,1.54,0.58,0.0,0.0,0,0,Matches
Paskal Meyer,de GER,DF,20.0,2.4,0,2,0,0.0,0.82,0.0,0.0,,0,0,Matches
Kacper Karasek,pl POL,MF,23.0,2.5,1,8,2,25.0,3.21,0.8,0.13,0.5,0,0,Matches
Thomas Santos,dk DEN,DF,26.0,2.5,0,2,0,0.0,0.81,0.0,0.0,,0,0,Matches
Christopher Simon,sn SEN,FW,25.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
Florian Haxha,xk KVX,MF,23.0,1.1,0,0,0,,0.0,0.0,,,0,0,Matches
Franciszek Lewandowsk,pl POL,MF,17.0,0.1,0,1,0,0.0,6.92,0.0,0.0,,0,0,Matches
Squad Total,,,26.9,34.0,44,397,131,33.0,11.68,3.85,0.1,0.31,3,4,
Opponent Total,,,26.7,34.0,52,558,175,31.4,16.41,5.15,0.08,0.27,5,6,
