Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Patryk Dziczek,pl POL,MF,27.0,32.0,8,0,0,44,33,0,55,20,31,,,0,Matches
Grzegorz Tomasiewicz,pl POL,"MF,DF",29.0,24.5,4,0,0,18,44,0,27,27,21,,,0,Matches
Igor Drapinski,pl POL,DF,21.0,26.9,7,0,0,32,12,2,4,43,13,,,0,Matches
Juande,es ESP,DF,26.0,26.5,5,0,0,38,15,2,2,32,19,,,0,Matches
Ema Twumasi,gh GHA,DF,28.0,24.1,9,1,0,28,13,1,46,13,13,,,0,Matches
František Plach,sk SVK,GK,33.0,24.0,1,0,0,1,4,0,0,0,1,,,1,Matches
Jakub Lewicki,pl POL,DF,19.0,23.6,8,0,0,35,24,1,85,28,26,,,0,Matches
Hierman Barkoŭski,by BLR,FW,23.0,21.5,1,0,0,41,43,15,20,4,7,,,0,Matches
Jorge Félix,es ESP,"FW,MF",33.0,20.9,0,0,0,20,45,3,13,11,8,,,0,Matches
Leandro Sanca,gw GNB,"MF,FW",25.0,19.1,0,0,0,11,15,5,104,20,34,,,0,Matches
Hugo Vallejo,es ESP,"MF,FW",25.0,16.9,1,0,0,8,15,3,17,8,13,,,0,Matches
Jakub Czerwiński,pl POL,DF,33.0,16.9,4,0,0,23,9,1,2,14,8,,,0,Matches
Quentin Boisgard,fr FRA,"MF,FW",28.0,13.9,6,1,1,18,18,2,70,10,9,,,0,Matches
Erik Jirka,sk SVK,"MF,FW",27.0,14.9,3,0,0,15,9,10,65,9,11,,,0,Matches
Jason Lokilo,be BEL,MF,26.0,11.2,4,0,0,8,24,0,89,3,2,,,0,Matches
Michał Chrapek,pl POL,"MF,FW",33.0,12.1,2,1,0,18,25,2,69,4,1,,,0,Matches
Oskar Lesniak,pl POL,"MF,FW",20.0,10.8,2,0,0,13,11,2,52,3,10,,,0,Matches
Filip Borowski,pl POL,DF,21.0,8.6,2,0,0,12,10,0,14,6,3,,,0,Matches
Dominik Holec,sk SVK,GK,31.0,6.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Adrián Dalmau,es ESP,FW,31.0,6.1,1,1,0,9,8,2,2,0,1,,,0,Matches
Karol Szymański,pl POL,GK,32.0,4.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Andreas Katsantonis,cy CYP,FW,25.0,2.6,1,0,0,5,2,0,2,0,0,,,0,Matches
Tomasz Mokwa,pl POL,DF,32.0,1.8,0,0,0,1,5,0,2,1,0,,,0,Matches
Elton Fikaj,al ALB,DF,19.0,1.3,0,0,0,4,0,0,0,1,4,,,0,Matches
Szczepan Mucha,pl POL,MF,21.0,0.7,0,0,0,1,1,0,3,0,1,,,0,Matches
Levis Pitan,pl POL,DF,20.0,0.7,0,0,0,1,0,0,1,0,0,,,0,Matches
Ivan Lima,pt POR,FW,20.0,0.6,2,1,1,3,1,0,5,0,0,,,0,Matches
Oliwier Maziarz,pl POL,MF,19.0,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Squad Total,,,27.2,34.0,72,5,2,407,387,51,750,257,236,,,1,
Opponent Total,,,26.7,34.0,62,1,0,411,390,59,543,275,289,,,1,
