Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Patryk Dziczek,pl POL,MF,27.0,32,2880.0,90.0,94.1,32.0,32,90.0,32,0,,0,1.19,41.0,45.0,-4.0,-0.12,-0.12,Matches
Grzegorz Tomasiewicz,pl POL,"MF,DF",29.0,31,2208.0,71.0,72.2,24.5,29,74.0,7,2,26.0,2,1.29,27.0,33.0,-6.0,-0.24,-0.46,Matches
Igor Drapinski,pl POL,DF,21.0,27,2421.0,90.0,79.1,26.9,27,90.0,26,0,,1,1.3,34.0,33.0,1.0,0.04,0.74,Matches
Juande,es ESP,DF,26.0,29,2389.0,82.0,78.1,26.5,26,90.0,26,3,16.0,4,1.24,36.0,37.0,-1.0,-0.04,0.36,Matches
Ema Twumasi,gh GHA,DF,28.0,27,2166.0,80.0,70.8,24.1,25,83.0,19,2,45.0,1,1.0,25.0,32.0,-7.0,-0.29,-0.59,Matches
František Plach,sk SVK,GK,33.0,24,2160.0,90.0,70.6,24.0,24,90.0,24,0,,0,1.21,27.0,31.0,-4.0,-0.17,-0.17,Matches
Jakub Lewicki,pl POL,DF,19.0,26,2125.0,82.0,69.4,23.6,24,86.0,21,2,29.0,7,1.23,27.0,33.0,-6.0,-0.25,-0.45,Matches
Hierman Barkoŭski,by BLR,FW,23.0,31,1937.0,62.0,63.3,21.5,22,77.0,6,9,28.0,1,1.26,24.0,26.0,-2.0,-0.09,0.07,Matches
Jorge Félix,es ESP,"FW,MF",33.0,33,1884.0,57.0,61.6,20.9,21,73.0,3,12,28.0,0,1.21,26.0,29.0,-3.0,-0.14,-0.07,Matches
Leandro Sanca,gw GNB,"MF,FW",25.0,34,1716.0,50.0,56.1,19.1,19,71.0,1,15,24.0,0,1.21,22.0,22.0,0.0,0.0,0.27,Matches
