Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Patryk Dziczek,pl POL,MF,27.0,32.0,4,59,15,25.4,1.84,0.47,0.03,0.13,2,4,Matches
Grzegorz Tomasiewicz,pl POL,"MF,DF",29.0,24.5,1,29,6,20.7,1.18,0.24,0.03,0.17,0,0,Matches
Igor Drapinski,pl POL,DF,21.0,26.9,2,16,6,37.5,0.59,0.22,0.13,0.33,0,0,Matches
Juande,es ESP,DF,26.0,26.5,4,24,6,25.0,0.9,0.23,0.17,0.67,0,0,Matches
Ema Twumasi,gh GHA,DF,28.0,24.1,1,10,1,10.0,0.42,0.04,0.1,1.0,0,0,Matches
František Plach,sk SVK,GK,33.0,24.0,0,0,0,,0.0,0.0,,,0,0,Matches
Jakub Lewicki,pl POL,DF,19.0,23.6,0,23,5,21.7,0.97,0.21,0.0,0.0,0,0,Matches
Hierman Barkoŭski,by BLR,FW,23.0,21.5,4,55,19,34.5,2.56,0.88,0.05,0.16,1,2,Matches
Jorge Félix,es ESP,"FW,MF",33.0,20.9,4,39,12,30.8,1.86,0.57,0.08,0.25,1,1,Matches
Leandro Sanca,gw GNB,"MF,FW",25.0,19.1,3,66,19,28.8,3.46,1.0,0.05,0.16,0,0,Matches
Hugo Vallejo,es ESP,"MF,FW",25.0,16.9,4,33,13,39.4,1.95,0.77,0.12,0.31,0,0,Matches
Jakub Czerwiński,pl POL,DF,33.0,16.9,0,9,1,11.1,0.53,0.06,0.0,0.0,0,0,Matches
Quentin Boisgard,fr FRA,"MF,FW",28.0,13.9,2,19,4,21.1,1.37,0.29,0.11,0.5,0,0,Matches
Erik Jirka,sk SVK,"MF,FW",27.0,14.9,5,32,7,21.9,2.15,0.47,0.13,0.57,1,1,Matches
Jason Lokilo,be BEL,MF,26.0,11.2,0,21,6,28.6,1.87,0.53,0.0,0.0,0,0,Matches
Michał Chrapek,pl POL,"MF,FW",33.0,12.1,3,21,7,33.3,1.74,0.58,0.14,0.43,0,0,Matches
Oskar Lesniak,pl POL,"MF,FW",20.0,10.8,0,15,4,26.7,1.39,0.37,0.0,0.0,0,0,Matches
Filip Borowski,pl POL,DF,21.0,8.6,1,7,3,42.9,0.81,0.35,0.14,0.33,0,0,Matches
Dominik Holec,sk SVK,GK,31.0,6.0,0,0,0,,0.0,0.0,,,0,0,Matches
Adrián Dalmau,es ESP,FW,31.0,6.1,2,20,6,30.0,3.27,0.98,0.1,0.33,0,0,Matches
Karol Szymański,pl POL,GK,32.0,4.0,0,0,0,,0.0,0.0,,,0,0,Matches
Andreas Katsantonis,cy CYP,FW,25.0,2.6,1,11,2,18.2,4.21,0.77,0.09,0.5,0,0,Matches
Tomasz Mokwa,pl POL,DF,32.0,1.8,0,0,0,,0.0,0.0,,,0,0,Matches
Elton Fikaj,al ALB,DF,19.0,1.3,0,2,1,50.0,1.49,0.74,0.0,0.0,0,0,Matches
Szczepan Mucha,pl POL,MF,21.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,0,0,Matches
Levis Pitan,pl POL,DF,20.0,0.7,0,0,0,,0.0,0.0,,,0,0,Matches
Ivan Lima,pt POR,FW,20.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
Oliwier Maziarz,pl POL,MF,19.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,27.2,34.0,41,512,143,27.9,15.06,4.21,0.07,0.25,5,8,
Opponent Total,,,26.7,34.0,45,399,153,38.3,11.74,4.5,0.1,0.26,5,5,
