Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patryk Dziczek,pl POL,MF,27.0,32,32,2880.0,32.0,4.0,3.0,7.0,2.0,2.0,4.0,8.0,0.0,0.12,0.09,0.22,0.06,0.16,Matches
Grzegorz Tomasiewicz,pl POL,"MF,DF",29.0,31,29,2208.0,24.5,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Igor Drapinski,pl POL,DF,21.0,27,27,2421.0,26.9,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,0.07,0.11,0.19,0.07,0.19,Matches
Juande,es ESP,DF,26.0,29,26,2389.0,26.5,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,0.15,0.04,0.19,0.15,0.19,Matches
Ema Twumasi,gh GHA,DF,28.0,27,25,2166.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,9.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches
František Plach,sk SVK,GK,33.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jakub Lewicki,pl POL,DF,19.0,26,24,2125.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hierman Barkoŭski,by BLR,FW,23.0,31,22,1937.0,21.5,4.0,1.0,5.0,3.0,1.0,2.0,1.0,0.0,0.19,0.05,0.23,0.14,0.19,Matches
Jorge Félix,es ESP,"FW,MF",33.0,33,21,1884.0,20.9,4.0,3.0,7.0,3.0,1.0,1.0,0.0,0.0,0.19,0.14,0.33,0.14,0.29,Matches
Leandro Sanca,gw GNB,"MF,FW",25.0,34,19,1716.0,19.1,3.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.16,0.26,0.42,0.16,0.42,Matches
Hugo Vallejo,es ESP,"MF,FW",25.0,27,18,1523.0,16.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.24,0.12,0.35,0.24,0.35,Matches
Jakub Czerwiński,pl POL,DF,33.0,21,17,1523.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Quentin Boisgard,fr FRA,"MF,FW",28.0,22,17,1252.0,13.9,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.14,0.0,0.14,0.14,0.14,Matches
Erik Jirka,sk SVK,"MF,FW",27.0,17,15,1341.0,14.9,5.0,0.0,5.0,4.0,1.0,1.0,3.0,0.0,0.34,0.0,0.34,0.27,0.27,Matches
Jason Lokilo,be BEL,MF,26.0,21,12,1012.0,11.2,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches
Michał Chrapek,pl POL,"MF,FW",33.0,26,10,1089.0,12.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,0.25,0.17,0.41,0.25,0.41,Matches
Oskar Lesniak,pl POL,"MF,FW",20.0,28,10,970.0,10.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches
Filip Borowski,pl POL,DF,21.0,14,8,778.0,8.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Dominik Holec,sk SVK,GK,31.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián Dalmau,es ESP,FW,31.0,16,5,550.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.33,0.0,0.33,0.33,0.33,Matches
Karol Szymański,pl POL,GK,32.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andreas Katsantonis,cy CYP,FW,25.0,13,1,235.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches
Tomasz Mokwa,pl POL,DF,32.0,4,1,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Elton Fikaj,al ALB,DF,19.0,3,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Szczepan Mucha,pl POL,MF,21.0,8,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Levis Pitan,pl POL,DF,20.0,2,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Lima,pt POR,FW,20.0,3,0,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Oliwier Maziarz,pl POL,MF,19.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Justin Daniel,,,,0,0,,,,,,,,,,,,,,,,Matches
Jakub Grelich,,,,0,0,,,,,,,,,,,,,,,,Matches
Kamil Lubowiecki,pl POL,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Dawid Rychta,pl POL,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.2,34,374,3060.0,34.0,41.0,28.0,69.0,36.0,5.0,8.0,72.0,5.0,1.21,0.82,2.03,1.06,1.88,
Opponent Total,,,26.7,34,374,3060.0,34.0,45.0,29.0,74.0,40.0,5.0,5.0,62.0,1.0,1.32,0.85,2.18,1.18,2.03,
