Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Valentin Cojocaru,ro ROU,GK,29.0,30.8,4,0,0,0,18,0,0,0,1,,,1,Matches
Fredrik Ulvestad,no NOR,MF,33.0,30.2,3,0,0,33,46,0,13,27,24,,,0,Matches
Kamil Grosicki,pl POL,"FW,MF",37.0,24.2,3,0,0,10,3,15,198,5,8,,,0,Matches
Linus Wahlqvist,se SWE,DF,28.0,22.5,5,0,0,32,20,4,32,22,11,,,0,Matches
Dimitrios Keramitsis,gr GRE,DF,21.0,22.7,5,0,0,18,12,7,6,23,24,,,0,Matches
Paul Mukairu,ng NGA,"MF,FW",25.0,22.9,1,0,0,29,26,10,7,5,28,,,0,Matches
Danijel Loncar,hr CRO,DF,28.0,20.7,6,0,0,31,11,1,8,25,10,,,1,Matches
Leonardo Koutris,gr GRE,"DF,MF",30.0,20.1,5,0,0,12,29,2,76,29,16,,,1,Matches
Sam Greenwood,eng ENG,"MF,FW",23.0,14.1,4,0,0,26,23,1,67,6,11,,,0,Matches
Attila Szalai,hu HUN,DF,27.0,14.0,2,0,0,4,7,0,2,14,4,,,0,Matches
Marian Huja,pt POR,DF,25.0,13.2,4,0,0,17,3,0,4,12,10,,,0,Matches
Leonardo Borges,br BRA,DF,24.0,13.3,2,0,0,26,6,1,57,31,27,,,0,Matches
José Pozo,es ESP,MF,29.0,10.9,4,0,0,13,21,0,9,6,8,,,0,Matches
Musa Juwara,gm GAM,MF,23.0,11.7,5,0,0,21,25,1,60,9,14,,,0,Matches
Adrian Przyborek,pl POL,MF,18.0,10.6,0,0,0,7,10,2,12,3,7,,,0,Matches
Jan Biegański,pl POL,MF,22.0,9.8,3,0,0,23,9,0,7,16,9,,,0,Matches
Kellyn Acosta,us USA,"MF,DF",30.0,8.7,2,1,0,13,7,0,23,10,6,,,0,Matches
Mor Ndiaye,sn SEN,MF,24.0,9.6,3,0,0,14,15,0,1,8,13,,,0,Matches
Mads Agger,dk DEN,MF,25.0,9.0,0,0,0,10,9,3,26,3,3,,,0,Matches
Rajmund Molnár,hu HUN,FW,22.0,8.2,0,0,0,12,12,5,4,2,6,,,0,Matches
Karol Angielski,pl POL,FW,29.0,6.1,0,0,0,11,14,0,1,2,0,,,0,Matches
Filip Čuić,ba BIH,FW,22.0,7.2,1,0,0,17,5,5,1,2,1,,,0,Matches
Natan Lawa,pl POL,"MF,FW",16.0,6.1,1,0,0,7,3,0,7,5,4,,,0,Matches
Hussein Ali,iq IRQ,DF,23.0,5.8,7,1,1,12,5,0,7,3,5,,,0,Matches
Benjamin Mendy,fr FRA,DF,31.0,4.2,4,0,0,5,2,0,8,4,2,,,0,Matches
Kacper Smoliński,pl POL,MF,24.0,4.1,0,0,0,3,3,1,5,3,5,,,0,Matches
Efthimis Koulouris,gr GRE,FW,29.0,3.7,0,0,0,1,3,2,1,0,1,,,0,Matches
Krzysztof Kamiński,pl POL,GK,34.0,3.2,0,1,0,1,0,0,0,0,0,,,0,Matches
Kacper Kostorz,pl POL,FW,25.0,2.3,1,0,0,4,3,1,0,1,2,,,0,Matches
Jacek Czapliński,pl POL,MF,18.0,1.2,0,0,0,0,2,0,1,1,3,,,0,Matches
Patryk Paryzek,pl POL,FW,19.0,1.1,0,0,0,2,6,0,0,1,0,,,0,Matches
Jakub Lis,pl POL,DF,23.0,0.8,0,0,0,0,0,0,2,0,2,,,0,Matches
Maciej Wojciechowski,pl POL,MF,18.0,0.3,0,0,0,1,1,0,0,1,0,,,0,Matches
Squad Total,,,27.3,34.0,75,3,1,415,359,61,645,279,265,,,3,
Opponent Total,,,26.8,34.0,55,2,1,380,399,78,696,298,243,,,0,
