Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Valentin Cojocaru,ro ROU,GK,29.0,30.8,0,0,0,,0.0,0.0,,,0,0,Matches
Fredrik Ulvestad,no NOR,MF,33.0,30.2,5,33,13,39.4,1.09,0.43,0.06,0.15,3,3,Matches
Kamil Grosicki,pl POL,"FW,MF",37.0,24.2,6,71,24,33.8,2.94,0.99,0.07,0.21,1,2,Matches
Linus Wahlqvist,se SWE,DF,28.0,22.5,0,25,3,12.0,1.11,0.13,0.0,0.0,0,0,Matches
Dimitrios Keramitsis,gr GRE,DF,21.0,22.7,1,17,4,23.5,0.75,0.18,0.06,0.25,0,0,Matches
Paul Mukairu,ng NGA,"MF,FW",25.0,22.9,8,44,17,38.6,1.92,0.74,0.18,0.47,0,0,Matches
Danijel Loncar,hr CRO,DF,28.0,20.7,1,13,3,23.1,0.63,0.14,0.08,0.33,0,0,Matches
Leonardo Koutris,gr GRE,"DF,MF",30.0,20.1,0,15,2,13.3,0.75,0.1,0.0,0.0,0,0,Matches
Sam Greenwood,eng ENG,"MF,FW",23.0,14.1,3,28,12,42.9,1.99,0.85,0.11,0.25,0,1,Matches
Attila Szalai,hu HUN,DF,27.0,14.0,0,7,3,42.9,0.5,0.21,0.0,0.0,0,0,Matches
Marian Huja,pt POR,DF,25.0,13.2,2,10,3,30.0,0.76,0.23,0.2,0.67,0,0,Matches
Leonardo Borges,br BRA,DF,24.0,13.3,0,11,5,45.5,0.83,0.38,0.0,0.0,0,0,Matches
José Pozo,es ESP,MF,29.0,10.9,2,25,4,16.0,2.29,0.37,0.08,0.5,0,0,Matches
Musa Juwara,gm GAM,MF,23.0,11.7,1,35,9,25.7,2.99,0.77,0.03,0.11,0,0,Matches
Adrian Przyborek,pl POL,MF,18.0,10.6,2,23,6,26.1,2.17,0.57,0.09,0.33,0,0,Matches
Jan Biegański,pl POL,MF,22.0,9.8,0,7,0,0.0,0.72,0.0,0.0,,0,0,Matches
Kellyn Acosta,us USA,"MF,DF",30.0,8.7,1,8,1,12.5,0.92,0.11,0.13,1.0,0,0,Matches
Mor Ndiaye,sn SEN,MF,24.0,9.6,1,13,3,23.1,1.35,0.31,0.08,0.33,0,0,Matches
Mads Agger,dk DEN,MF,25.0,9.0,1,12,4,33.3,1.33,0.44,0.08,0.25,0,0,Matches
Rajmund Molnár,hu HUN,FW,22.0,8.2,3,28,13,46.4,3.41,1.59,0.11,0.23,0,0,Matches
Karol Angielski,pl POL,FW,29.0,6.1,1,7,2,28.6,1.15,0.33,0.14,0.5,0,0,Matches
Filip Čuić,ba BIH,FW,22.0,7.2,4,17,6,35.3,2.35,0.83,0.24,0.67,0,0,Matches
Natan Lawa,pl POL,"MF,FW",16.0,6.1,0,11,3,27.3,1.79,0.49,0.0,0.0,0,0,Matches
Hussein Ali,iq IRQ,DF,23.0,5.8,2,3,3,100.0,0.52,0.52,0.67,0.67,0,0,Matches
Benjamin Mendy,fr FRA,DF,31.0,4.2,0,4,0,0.0,0.96,0.0,0.0,,0,0,Matches
Kacper Smoliński,pl POL,MF,24.0,4.1,0,10,6,60.0,2.43,1.46,0.0,0.0,0,0,Matches
Efthimis Koulouris,gr GRE,FW,29.0,3.7,3,13,4,30.8,3.51,1.08,0.23,0.75,0,1,Matches
Krzysztof Kamiński,pl POL,GK,34.0,3.2,0,0,0,,0.0,0.0,,,0,0,Matches
Kacper Kostorz,pl POL,FW,25.0,2.3,0,2,0,0.0,0.88,0.0,0.0,,0,0,Matches
Jacek Czapliński,pl POL,MF,18.0,1.2,0,1,0,0.0,0.86,0.0,0.0,,0,0,Matches
Patryk Paryzek,pl POL,FW,19.0,1.1,0,1,0,0.0,0.91,0.0,0.0,,0,0,Matches
Jakub Lis,pl POL,DF,23.0,0.8,0,1,0,0.0,1.22,0.0,0.0,,0,0,Matches
Maciej Wojciechowski,pl POL,MF,18.0,0.3,0,1,0,0.0,3.6,0.0,0.0,,0,0,Matches
Squad Total,,,27.3,34.0,47,496,153,30.8,14.59,4.5,0.09,0.28,4,7,
Opponent Total,,,26.8,34.0,46,483,191,39.5,14.21,5.62,0.09,0.24,1,2,
