Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Valentin Cojocaru,ro ROU,GK,29,31,31,2774,30.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Fredrik Ulvestad,no NOR,MF,33,32,30,2717,30.2,5,3,8,2,3,3,3,0,0.17,0.10,0.26,0.07,0.17,Matches
Kamil Grosicki,pl POL,"FW,MF",37,31,25,2175,24.2,6,5,11,5,1,2,3,0,0.25,0.21,0.46,0.21,0.41,Matches
Linus Wahlqvist,se SWE,DF,28,24,24,2026,22.5,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
Dimitrios Keramitsis,gr GRE,DF,21,27,22,2039,22.7,1,1,2,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches
Paul Mukairu,ng NGA,"MF,FW",25,34,21,2060,22.9,8,0,8,8,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches
Danijel Loncar,hr CRO,DF,28,28,21,1864,20.7,1,1,2,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,Matches
Leonardo Koutris,gr GRE,"DF,MF",30,33,20,1810,20.1,0,2,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches
Sam Greenwood,eng ENG,"MF,FW",23,20,16,1266,14.1,3,2,5,3,0,1,4,0,0.21,0.14,0.36,0.21,0.36,Matches
Attila Szalai,hu HUN,DF,27,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Marian Huja,pt POR,DF,25,15,13,1191,13.2,2,1,3,2,0,0,4,0,0.15,0.08,0.23,0.15,0.23,Matches
Leonardo Borges,br BRA,DF,24,20,12,1195,13.3,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
José Pozo,es ESP,MF,29,19,12,981,10.9,2,1,3,2,0,0,4,0,0.18,0.09,0.28,0.18,0.28,Matches
Musa Juwara,gm GAM,MF,23,18,11,1054,11.7,1,1,2,1,0,0,5,0,0.09,0.09,0.17,0.09,0.17,Matches
Adrian Przyborek,pl POL,MF,18,17,11,952,10.6,2,2,4,2,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
Jan Biegański,pl POL,MF,22,18,10,880,9.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Kellyn Acosta,us USA,"MF,DF",30,11,10,785,8.7,1,1,2,1,0,0,2,1,0.11,0.11,0.23,0.11,0.23,Matches
Mor Ndiaye,sn SEN,MF,24,17,9,868,9.6,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
Mads Agger,dk DEN,MF,25,12,9,812,9.0,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches
Rajmund Molnár,hu HUN,FW,22,10,9,738,8.2,3,0,3,3,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
Karol Angielski,pl POL,FW,29,11,7,549,6.1,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
Filip Čuić,ba BIH,FW,22,10,6,651,7.2,4,0,4,4,0,0,1,0,0.55,0.00,0.55,0.55,0.55,Matches
Natan Lawa,pl POL,"MF,FW",16,10,6,552,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Hussein Ali,iq IRQ,DF,23,16,6,520,5.8,2,0,2,2,0,0,7,1,0.35,0.00,0.35,0.35,0.35,Matches
Benjamin Mendy,fr FRA,DF,31,11,4,375,4.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Kacper Smoliński,pl POL,MF,24,12,4,371,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Efthimis Koulouris,gr GRE,FW,29,4,4,333,3.7,3,0,3,3,0,1,0,0,0.81,0.00,0.81,0.81,0.81,Matches
Krzysztof Kamiński,pl POL,GK,34,4,3,285,3.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Kacper Kostorz,pl POL,FW,25,10,2,205,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Jacek Czapliński,pl POL,MF,18,5,1,105,1.2,0,1,1,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Patryk Paryzek,pl POL,FW,19,4,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Lis,pl POL,DF,23,3,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Maciej Wojciechowski,pl POL,MF,18,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Bak,pl POL,FW,22,0,0,,,,,,,,,,,,,,,,Matches
Kuba Bochniarz,pl POL,GK,16,0,0,,,,,,,,,,,,,,,,Matches
Igor Brzyski,pl POL,MF,18,0,0,,,,,,,,,,,,,,,,Matches
Rafał Jakubowski,pl POL,DF,18,0,0,,,,,,,,,,,,,,,,Matches
Alex Peskovic,sk SVK,GK,15,0,0,,,,,,,,,,,,,,,,Matches
Sebastian Rojek,pl POL,FW,16,0,0,,,,,,,,,,,,,,,,Matches
Kacper Stanowski,pl POL,FW,17,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.3,34,374,3060,34.0,47,23,70,43,4,7,75,3,1.38,0.68,2.06,1.26,1.94,
Opponent Total,,,26.8,34,374,3060,34.0,46,32,78,45,1,2,55,2,1.35,0.94,2.29,1.32,2.26,
