Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Filip Majchrowicz,pl POL,GK,25.0,34.0,2,0,0,1,9,0,0,0,0,,,0,Matches
Jan Grzesik,pl POL,"DF,MF",30.0,32.5,2,0,0,28,53,10,77,26,30,,,0,Matches
Adrián Diéguez,es ESP,DF,29.0,27.9,10,0,0,29,29,2,5,34,22,,,0,Matches
Rafał Wolski,pl POL,MF,32.0,24.2,7,0,0,45,57,1,113,13,17,,,0,Matches
Steve Kingue,cm CMR,DF,24.0,26.1,5,0,0,38,16,2,0,21,13,,,0,Matches
Maurides,br BRA,FW,31.0,24.5,1,0,0,18,12,15,2,1,4,,,0,Matches
Zié Mohamed Ouattara,ci CIV,DF,25.0,25.2,7,0,0,33,29,0,63,32,34,,,0,Matches
Vasco Lopes,cv CPV,MF,25.0,17.4,4,0,0,27,35,1,71,6,13,,,0,Matches
Capita,ao ANG,MF,23.0,14.6,3,0,0,26,23,2,12,8,11,,,0,Matches
Christos Donis,gr GRE,MF,30.0,15.4,6,0,0,23,24,0,9,17,12,,,1,Matches
Luquinhas,br BRA,MF,28.0,14.4,4,0,0,20,42,0,8,13,13,,,0,Matches
Romário Baró,pt POR,MF,25.0,14.3,3,0,0,18,34,2,28,10,18,,,0,Matches
Ibrahima Camará,gn GUI,MF,26.0,13.9,6,0,0,27,10,0,15,11,10,,,0,Matches
Jérémy Blasco,fr FRA,DF,26.0,12.8,1,1,0,9,5,1,2,5,8,,,0,Matches
Abdoul-Fessal Tapsoba,bf BFA,"FW,MF",23.0,13.4,5,1,0,41,28,5,19,2,14,,,0,Matches
Elves Baldé,gw GNB,MF,25.0,11.8,2,0,0,14,13,1,47,5,5,,,0,Matches
Roberto Alves,ch SUI,MF,28.0,12.8,4,0,0,18,17,1,76,9,14,,,0,Matches
João Pedro,br BRA,"DF,MF",22.0,10.7,4,0,0,18,6,0,15,12,6,,,0,Matches
Michał Kaput,pl POL,"MF,DF",27.0,9.9,4,1,1,18,12,0,3,16,17,,,0,Matches
Josh Wilson-Esbrand,eng ENG,DF,22.0,5.0,0,0,0,4,10,0,16,5,7,,,0,Matches
Bruno Jordão,pt POR,MF,26.0,3.4,2,0,0,4,2,0,11,4,6,,,0,Matches
Mateusz Cichocki,pl POL,DF,33.0,3.0,1,0,0,2,2,0,0,2,0,,,0,Matches
Depú,ao ANG,FW,25.0,2.0,0,0,0,2,6,1,1,0,0,,,0,Matches
Leândro Rossi,br BRA,FW,36.0,0.1,2,0,0,1,0,0,0,0,0,,,0,Matches
Salifou Soumah,gn GUI,FW,21.0,3.2,0,0,0,4,1,1,13,1,4,,,0,Matches
Paulius Golubickas,lt LTU,MF,25.0,0.3,0,0,0,2,0,0,0,0,0,,,0,Matches
Oscar Markiewicz,,DF,,0.2,0,0,0,0,0,0,1,0,2,,,0,Matches
Adam Żabicki,pl POL,MF,19.0,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,27.4,34.0,85,3,1,470,475,45,607,253,280,,,1,
Opponent Total,,,26.7,34.0,78,0,0,485,449,76,700,267,299,,,1,
