Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Filip Majchrowicz,pl POL,GK,25.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.29,52.0,53.0,-1.0,-0.03,,Matches
Jan Grzesik,pl POL,"DF,MF",30.0,34,2921.0,86.0,95.5,32.5,33,87.0,30,1,45.0,0,1.29,50.0,48.0,2.0,0.06,2.0,Matches
Adrián Diéguez,es ESP,DF,29.0,28,2509.0,90.0,82.0,27.9,28,90.0,26,0,,0,1.11,37.0,45.0,-8.0,-0.29,-1.43,Matches
Rafał Wolski,pl POL,MF,32.0,30,2177.0,73.0,71.1,24.2,27,77.0,6,3,32.0,0,1.4,37.0,36.0,1.0,0.04,0.25,Matches
Steve Kingue,cm CMR,DF,24.0,27,2347.0,87.0,76.7,26.1,26,88.0,25,1,52.0,6,1.44,44.0,40.0,4.0,0.15,0.78,Matches
Maurides,br BRA,FW,31.0,34,2205.0,65.0,72.1,24.5,25,78.0,10,9,30.0,0,1.29,38.0,43.0,-5.0,-0.2,-0.63,Matches
Zié Mohamed Ouattara,ci CIV,DF,25.0,32,2267.0,71.0,74.1,25.2,24,86.0,19,8,27.0,1,1.34,39.0,39.0,0.0,0.0,0.11,Matches
Vasco Lopes,cv CPV,MF,25.0,31,1565.0,50.0,51.1,17.4,20,65.0,0,11,24.0,1,1.23,21.0,30.0,-9.0,-0.52,-1.0,Matches
Capita,ao ANG,MF,23.0,20,1311.0,66.0,42.8,14.6,17,72.0,3,3,30.0,0,1.5,22.0,18.0,4.0,0.27,0.53,Matches
Christos Donis,gr GRE,MF,30.0,27,1387.0,51.0,45.3,15.4,15,77.0,7,12,20.0,2,1.3,22.0,28.0,-6.0,-0.39,-0.66,Matches
Luquinhas,br BRA,MF,28.0,16,1299.0,81.0,42.5,14.4,15,85.0,12,1,20.0,0,1.13,16.0,22.0,-6.0,-0.42,-0.67,Matches
Romário Baró,pt POR,MF,25.0,25,1286.0,51.0,42.0,14.3,15,71.0,2,10,22.0,3,1.08,18.0,26.0,-8.0,-0.56,-0.92,Matches
Ibrahima Camará,gn GUI,MF,26.0,23,1248.0,54.0,40.8,13.9,13,77.0,3,10,25.0,8,1.5,22.0,20.0,2.0,0.14,0.29,Matches
Jérémy Blasco,fr FRA,DF,26.0,15,1149.0,77.0,37.5,12.8,13,86.0,12,2,17.0,18,1.4,22.0,19.0,3.0,0.23,0.42,Matches
Abdoul-Fessal Tapsoba,bf BFA,"FW,MF",23.0,31,1208.0,39.0,39.5,13.4,12,68.0,0,19,21.0,0,1.42,18.0,16.0,2.0,0.15,0.29,Matches
Elves Baldé,gw GNB,MF,25.0,27,1066.0,39.0,34.8,11.8,12,59.0,0,15,24.0,1,1.19,22.0,19.0,3.0,0.25,0.43,Matches
Roberto Alves,ch SUI,MF,28.0,23,1154.0,50.0,37.7,12.8,11,82.0,5,12,21.0,1,1.48,26.0,17.0,9.0,0.7,1.17,Matches
João Pedro,br BRA,"DF,MF",22.0,16,966.0,60.0,31.6,10.7,10,80.0,5,6,27.0,16,1.13,16.0,23.0,-7.0,-0.65,-0.91,Matches
Michał Kaput,pl POL,"MF,DF",27.0,21,889.0,42.0,29.1,9.9,10,71.0,3,11,16.0,10,1.38,16.0,18.0,-2.0,-0.2,-0.24,Matches
Josh Wilson-Esbrand,eng ENG,DF,22.0,8,447.0,56.0,14.6,5.0,6,66.0,1,2,25.0,3,0.5,4.0,8.0,-4.0,-0.81,-0.91,Matches
