Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Filip Majchrowicz,pl POL,GK,25.0,34.0,0,0,0,,0.0,0.0,,,0,0,Matches
Jan Grzesik,pl POL,"DF,MF",30.0,32.5,7,35,12,34.3,1.08,0.37,0.2,0.58,0,0,Matches
Adrián Diéguez,es ESP,DF,29.0,27.9,1,10,3,30.0,0.36,0.11,0.1,0.33,0,0,Matches
Rafał Wolski,pl POL,MF,32.0,24.2,5,50,11,22.0,2.07,0.45,0.1,0.45,0,0,Matches
Steve Kingue,cm CMR,DF,24.0,26.1,1,14,4,28.6,0.54,0.15,0.07,0.25,0,0,Matches
Maurides,br BRA,FW,31.0,24.5,8,53,20,37.7,2.16,0.82,0.15,0.4,0,0,Matches
Zié Mohamed Ouattara,ci CIV,DF,25.0,25.2,2,14,7,50.0,0.56,0.28,0.14,0.29,0,0,Matches
Vasco Lopes,cv CPV,MF,25.0,17.4,0,35,5,14.3,2.01,0.29,0.0,0.0,0,0,Matches
Capita,ao ANG,MF,23.0,14.6,6,50,21,42.0,3.43,1.44,0.12,0.29,0,0,Matches
Christos Donis,gr GRE,MF,30.0,15.4,0,8,2,25.0,0.52,0.13,0.0,0.0,0,0,Matches
Luquinhas,br BRA,MF,28.0,14.4,1,16,2,12.5,1.11,0.14,0.06,0.5,0,0,Matches
Romário Baró,pt POR,MF,25.0,14.3,2,24,3,12.5,1.68,0.21,0.08,0.67,0,0,Matches
Ibrahima Camará,gn GUI,MF,26.0,13.9,0,12,1,8.3,0.87,0.07,0.0,0.0,0,0,Matches
Jérémy Blasco,fr FRA,DF,26.0,12.8,1,7,3,42.9,0.55,0.23,0.14,0.33,0,0,Matches
Abdoul-Fessal Tapsoba,bf BFA,"FW,MF",23.0,13.4,6,35,13,37.1,2.61,0.97,0.17,0.46,0,0,Matches
Elves Baldé,gw GNB,MF,25.0,11.8,5,39,17,43.6,3.29,1.44,0.13,0.29,0,0,Matches
Roberto Alves,ch SUI,MF,28.0,12.8,4,19,7,36.8,1.48,0.55,0.11,0.29,2,2,Matches
João Pedro,br BRA,"DF,MF",22.0,10.7,0,8,0,0.0,0.75,0.0,0.0,,0,0,Matches
Michał Kaput,pl POL,"MF,DF",27.0,9.9,0,5,0,0.0,0.51,0.0,0.0,,0,0,Matches
Josh Wilson-Esbrand,eng ENG,DF,22.0,5.0,0,2,0,0.0,0.4,0.0,0.0,,0,0,Matches
Bruno Jordão,pt POR,MF,26.0,3.4,0,4,1,25.0,1.19,0.3,0.0,0.0,0,0,Matches
Mateusz Cichocki,pl POL,DF,33.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,0,0,Matches
Depú,ao ANG,FW,25.0,2.0,1,9,3,33.3,4.5,1.5,0.11,0.33,0,0,Matches
Leândro Rossi,br BRA,FW,36.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Salifou Soumah,gn GUI,FW,21.0,3.2,1,12,3,25.0,3.71,0.93,0.08,0.33,0,0,Matches
Paulius Golubickas,lt LTU,MF,25.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Oscar Markiewicz,,DF,,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Adam Żabicki,pl POL,MF,19.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,27.4,34.0,51,462,138,29.9,13.59,4.06,0.11,0.36,2,2,
Opponent Total,,,26.7,34.0,52,463,148,32.0,13.62,4.35,0.1,0.32,5,6,
