Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Filip Majchrowicz,pl POL,GK,25.0,34,34,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Jan Grzesik,pl POL,"DF,MF",30.0,34,33,2921.0,32.5,7.0,5.0,12.0,7.0,0.0,0.0,2.0,0.0,0.22,0.15,0.37,0.22,0.37,Matches
Adrián Diéguez,es ESP,DF,29.0,28,28,2509.0,27.9,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches
Rafał Wolski,pl POL,MF,32.0,30,27,2177.0,24.2,5.0,7.0,12.0,5.0,0.0,0.0,7.0,0.0,0.21,0.29,0.5,0.21,0.5,Matches
Steve Kingue,cm CMR,DF,24.0,27,26,2347.0,26.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Maurides,br BRA,FW,31.0,34,25,2205.0,24.5,8.0,3.0,11.0,8.0,0.0,0.0,1.0,0.0,0.33,0.12,0.45,0.33,0.45,Matches
Zié Mohamed Ouattara,ci CIV,DF,25.0,32,24,2267.0,25.2,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches
Vasco Lopes,cv CPV,MF,25.0,31,20,1565.0,17.4,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Capita,ao ANG,MF,23.0,20,17,1311.0,14.6,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,0.41,0.07,0.48,0.41,0.48,Matches
Christos Donis,gr GRE,MF,30.0,27,15,1387.0,15.4,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Luquinhas,br BRA,MF,28.0,16,15,1299.0,14.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Romário Baró,pt POR,MF,25.0,25,15,1286.0,14.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Ibrahima Camará,gn GUI,MF,26.0,23,13,1248.0,13.9,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Jérémy Blasco,fr FRA,DF,26.0,15,13,1149.0,12.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
Abdoul-Fessal Tapsoba,bf BFA,"FW,MF",23.0,31,12,1208.0,13.4,6.0,0.0,6.0,6.0,0.0,0.0,5.0,1.0,0.45,0.0,0.45,0.45,0.45,Matches
Elves Baldé,gw GNB,MF,25.0,27,12,1066.0,11.8,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,0.42,0.25,0.68,0.42,0.68,Matches
Roberto Alves,ch SUI,MF,28.0,23,11,1154.0,12.8,4.0,3.0,7.0,2.0,2.0,2.0,4.0,0.0,0.31,0.23,0.55,0.16,0.39,Matches
João Pedro,br BRA,"DF,MF",22.0,16,10,966.0,10.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Michał Kaput,pl POL,"MF,DF",27.0,21,10,889.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.1,0.1,0.0,0.1,Matches
Josh Wilson-Esbrand,eng ENG,DF,22.0,8,6,447.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Bruno Jordão,pt POR,MF,26.0,4,4,302.0,3.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.6,0.0,0.6,Matches
Mateusz Cichocki,pl POL,DF,33.0,5,2,273.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Depú,ao ANG,FW,25.0,9,1,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches
Leândro Rossi,br BRA,FW,36.0,3,1,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Salifou Soumah,gn GUI,FW,21.0,12,0,291.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches
Paulius Golubickas,lt LTU,MF,25.0,3,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Oscar Markiewicz,,DF,,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Żabicki,pl POL,MF,19.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michal Jerke,pl POL,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Wiktor Koptas,pl POL,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Mikolaj Molendowski,pl POL,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Alex Niziolek,de GER,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Guilherme Zimovski,br BRA,FW,20.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.4,34,374,3060.0,34.0,51.0,40.0,91.0,49.0,2.0,2.0,85.0,3.0,1.5,1.18,2.68,1.44,2.62,
Opponent Total,,,26.7,34,374,3060.0,34.0,52.0,31.0,83.0,47.0,5.0,6.0,78.0,0.0,1.53,0.91,2.44,1.38,2.29,
