Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Bogdan Racovitan,ro ROU,DF,25.0,28.3,1,0,0,16,25,2,5,18,11,,,0,Matches
Jonatan Braut Brunes,no NOR,FW,24.0,27.2,2,0,0,18,37,7,3,5,14,,,0,Matches
Stratos Svarnas,gr GRE,DF,27.0,26.2,5,0,0,20,16,2,21,27,29,,,0,Matches
Oskar Repka,pl POL,MF,26.0,25.2,6,0,0,28,22,0,4,21,23,,,0,Matches
Michael Ameyaw,pl POL,MF,24.0,21.3,0,0,0,18,22,6,131,15,17,,,0,Matches
Fran Tudor,hr CRO,"DF,MF",29.0,21.0,5,1,0,20,37,1,59,21,26,,,0,Matches
Marko Bulat,hr CRO,MF,23.0,20.7,3,0,0,19,13,0,79,25,15,,,0,Matches
Oliwier Zych,pl POL,GK,21.0,18.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Jean Carlos Silva Rocha,br BRA,MF,29.0,16.5,1,0,0,11,36,5,57,17,22,,,0,Matches
Kacper Trelowski,pl POL,GK,21.0,15.7,0,0,0,0,0,0,0,0,0,,,0,Matches
Adriano,br BRA,MF,23.0,16.0,7,1,0,36,68,5,69,12,13,,,0,Matches
Patryk Makuch,pl POL,FW,26.0,15.7,1,0,0,21,38,4,19,4,10,,,0,Matches
Mohamed Lamine Diaby,fr FRA,"FW,MF",24.0,15.4,3,0,0,27,27,2,6,8,17,,,0,Matches
Tomasz Pieńko,pl POL,"MF,FW",21.0,15.4,0,0,0,12,32,4,11,8,9,,,0,Matches
Karol Struski,pl POL,MF,24.0,12.8,3,1,1,20,18,0,15,7,7,,,0,Matches
Péter Baráth,hu HUN,MF,23.0,11.0,3,0,0,11,5,0,4,18,5,,,0,Matches
Ariel Mosór,pl POL,DF,22.0,9.5,3,0,0,9,11,0,4,4,8,,,0,Matches
Tolis Konstantopoulos,gr GRE,DF,22.0,9.2,4,0,0,14,12,0,8,8,13,,,0,Matches
Zoran Arsenić,hr CRO,DF,31.0,8.8,4,1,1,11,15,0,3,12,11,,,0,Matches
Ivi,es ESP,"MF,FW",31.0,9.6,2,0,0,12,11,5,69,1,3,,,0,Matches
Leonardo Rocha,pt POR,FW,28.0,5.7,1,0,0,10,14,0,0,0,1,,,0,Matches
Paweł Dawidowicz,pl POL,DF,30.0,5.0,0,0,0,9,4,0,5,2,5,,,0,Matches
Imad Rondić,ba BIH,FW,26.0,4.2,4,0,0,14,15,1,0,0,2,,,0,Matches
Isak Brusberg,se SWE,FW,18.0,2.4,1,0,0,5,4,0,1,1,5,,,0,Matches
Ibrahima Seck,sn SEN,MF,21.0,2.8,1,0,0,7,4,0,2,5,2,,,0,Matches
Jesús Díaz,co COL,MF,26.0,1.8,0,0,0,1,2,1,15,3,2,,,0,Matches
Srđan Plavšić,rs SRB,MF,29.0,1.7,0,0,0,1,3,0,20,0,2,,,0,Matches
Eric Ouma,ke KEN,MF,28.0,1.6,0,0,0,3,2,1,25,0,1,,,0,Matches
Mitja Ilenič,si SVN,MF,20.0,1.1,0,0,0,4,1,0,9,1,0,,,0,Matches
Bogdan Mirčetić,rs SRB,FW,19.0,1.1,0,0,0,2,1,0,2,1,0,,,0,Matches
Vladyslav Kocherhin,ua UKR,MF,29.0,0.9,0,0,0,0,1,0,4,2,0,,,0,Matches
Abraham Ojo,ng NGA,MF,18.0,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,25.4,34.0,60,4,2,379,496,46,650,246,273,,,0,
Opponent Total,,,26.7,34.0,94,5,1,510,362,39,573,262,328,,,0,
