Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Bogdan Racovitan,ro ROU,DF,25,30,2546,85,83.2,28.3,30,85,26,0,,2,1.63,40,32,+8,+0.28,-0.24,Matches
Jonatan Braut Brunes,no NOR,FW,24,32,2451,77,80.1,27.2,28,83,13,4,32,0,1.59,41,30,+11,+0.40,+0.40,Matches
Stratos Svarnas,gr GRE,DF,27,30,2361,79,77.2,26.2,26,87,25,4,24,1,1.63,39,28,+11,+0.42,+0.42,Matches
Oskar Repka,pl POL,MF,26,32,2267,71,74.1,25.2,24,84,17,8,32,1,1.53,44,33,+11,+0.44,+0.44,Matches
Michael Ameyaw,pl POL,MF,24,28,1918,69,62.7,21.3,22,77,9,6,36,1,1.61,30,19,+11,+0.52,+0.52,Matches
Fran Tudor,hr CRO,"DF,MF",29,22,1886,86,61.6,21.0,22,86,18,0,,3,1.68,29,23,+6,+0.29,-0.10,Matches
Marko Bulat,hr CRO,MF,23,31,1860,60,60.8,20.7,21,76,8,10,26,1,1.68,27,22,+5,+0.24,-0.21,Matches
Oliwier Zych,pl POL,GK,21,19,1644,87,53.7,18.3,18,90,18,1,24,13,1.68,31,22,+9,+0.49,+0.37,Matches
Jean Carlos Silva Rocha,br BRA,MF,29,22,1484,67,48.5,16.5,17,76,8,5,39,2,1.64,26,19,+7,+0.42,+0.20,Matches
Kacper Trelowski,pl POL,GK,21,16,1416,89,46.3,15.7,16,89,15,0,,17,1.50,20,18,+2,+0.13,-0.37,Matches
Adriano,br BRA,MF,23,27,1438,53,47.0,16.0,15,72,5,12,30,2,1.78,21,24,-3,-0.19,-0.96,Matches
Patryk Makuch,pl POL,FW,26,29,1411,49,46.1,15.7,15,72,2,14,24,3,1.62,26,13,+13,+0.83,+0.94,Matches
Mohamed Lamine Diaby,fr FRA,"FW,MF",24,28,1385,49,45.3,15.4,15,68,3,13,28,1,1.43,26,21,+5,+0.32,0.00,Matches
Tomasz Pieńko,pl POL,"MF,FW",21,26,1384,53,45.2,15.4,15,68,0,11,32,3,1.85,23,11,+12,+0.78,+0.83,Matches
Karol Struski,pl POL,MF,24,21,1149,55,37.5,12.8,15,67,5,6,25,7,1.38,17,13,+4,+0.31,-0.02,Matches
Péter Baráth,hu HUN,MF,23,15,993,66,32.5,11.0,10,84,7,5,30,1,1.73,19,12,+7,+0.63,+0.46,Matches
Ariel Mosór,pl POL,DF,22,11,854,78,27.9,9.5,10,81,6,1,45,10,1.55,15,11,+4,+0.42,+0.14,Matches
Tolis Konstantopoulos,gr GRE,DF,22,12,832,69,27.2,9.2,10,83,8,2,2,5,2.00,16,15,+1,+0.11,-0.30,Matches
Zoran Arsenić,hr CRO,DF,31,10,788,79,25.8,8.8,10,79,6,0,,7,1.00,8,14,-6,-0.69,-1.36,Matches
Ivi,es ESP,"MF,FW",31,19,861,45,28.1,9.6,9,72,2,10,21,2,1.58,14,16,-2,-0.21,-0.74,Matches
Leonardo Rocha,pt POR,FW,28,18,509,28,16.6,5.7,5,61,1,13,16,2,1.72,9,10,-1,-0.18,-0.60,Matches
Paweł Dawidowicz,pl POL,DF,30,10,449,45,14.7,5.0,4,79,3,6,22,2,1.70,12,6,+6,+1.20,+1.03,Matches
Imad Rondić,ba BIH,FW,26,12,377,31,12.3,4.2,4,56,0,8,19,1,1.92,5,7,-2,-0.48,-0.91,Matches
Isak Brusberg,se SWE,FW,18,7,216,31,7.1,2.4,4,43,0,3,15,6,1.71,6,4,+2,+0.83,+0.55,Matches
Ibrahima Seck,sn SEN,MF,21,6,252,42,8.2,2.8,2,71,0,4,28,10,1.50,6,3,+3,+1.07,+0.82,Matches
Jesús Díaz,co COL,MF,26,3,164,55,5.4,1.8,2,68,1,1,29,2,0.00,1,4,-3,-1.65,-2.08,Matches
Srđan Plavšić,rs SRB,MF,29,2,155,78,5.1,1.7,2,78,1,0,,2,1.50,2,2,0,0.00,-0.34,Matches
Eric Ouma,ke KEN,MF,28,4,141,35,4.6,1.6,1,90,1,3,17,1,1.50,1,3,-2,-1.28,-1.68,Matches
Mitja Ilenič,si SVN,MF,20,5,102,20,3.3,1.1,1,58,0,4,11,10,1.60,1,0,+1,+0.88,+0.58,Matches
Bogdan Mirčetić,rs SRB,FW,19,4,99,25,3.2,1.1,1,45,0,3,18,22,1.75,1,1,0,0.00,-0.33,Matches
,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Vladyslav Kocherhin,ua UKR,MF,29,3,85,28,2.8,0.9,0,,0,3,28,2,2.00,0,2,-2,-2.12,-2.51,Matches
Abraham Ojo,ng NGA,MF,18,2,17,9,0.6,0.2,0,,0,2,9,5,3.00,2,0,+2,+10.59,+10.32,Matches
Antoni Burkiewicz,pl POL,MF,17,0,,,,,0,,0,0,,1,,,,,,,Matches
Dominik Czeremski,pl POL,GK,16,0,,,,,0,,0,0,,2,,,,,,,Matches
Jakub Mądrzyk,pl POL,GK,21,0,,,,,0,,0,0,,9,,,,,,,Matches
Jerzy Napieraj,pl POL,DF,20,0,,,,,0,,0,0,,7,,,,,,,Matches
Wiktor Żołneczko,pl POL,GK,16,0,,,,,0,,0,0,,12,,,,,,,Matches
Squad Total,,,25.4,34,3060,90,100,34.0,374,79,208,162,25,178,1.62,51,40,+11,+0.32,,
Opponent Total,,,26.7,34,3060,90,100,34.0,374,79,220,150,21,207,1.18,40,51,-11,-0.32,,
