Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Bogdan Racovitan,ro ROU,DF,25.0,28.3,0,12,2,16.7,0.42,0.07,0.0,0.0,0,0,Matches
Jonatan Braut Brunes,no NOR,FW,24.0,27.2,16,78,38,48.7,2.86,1.4,0.15,0.32,4,4,Matches
Stratos Svarnas,gr GRE,DF,27.0,26.2,1,6,4,66.7,0.23,0.15,0.17,0.25,0,0,Matches
Oskar Repka,pl POL,MF,26.0,25.2,3,34,9,26.5,1.35,0.36,0.09,0.33,0,0,Matches
Michael Ameyaw,pl POL,MF,24.0,21.3,3,23,8,34.8,1.08,0.38,0.13,0.38,0,0,Matches
Fran Tudor,hr CRO,"DF,MF",29.0,21.0,0,7,1,14.3,0.33,0.05,0.0,0.0,0,0,Matches
Marko Bulat,hr CRO,MF,23.0,20.7,4,40,15,37.5,1.94,0.73,0.1,0.27,0,0,Matches
Oliwier Zych,pl POL,GK,21.0,18.3,0,0,0,,0.0,0.0,,,0,0,Matches
Jean Carlos Silva Rocha,br BRA,MF,29.0,16.5,3,16,8,50.0,0.97,0.49,0.19,0.38,0,0,Matches
Kacper Trelowski,pl POL,GK,21.0,15.7,0,0,0,,0.0,0.0,,,0,0,Matches
Adriano,br BRA,MF,23.0,16.0,1,18,3,16.7,1.13,0.19,0.06,0.33,0,0,Matches
Patryk Makuch,pl POL,FW,26.0,15.7,4,31,14,45.2,1.98,0.89,0.13,0.29,0,0,Matches
Mohamed Lamine Diaby,fr FRA,"FW,MF",24.0,15.4,7,61,21,34.4,3.96,1.36,0.1,0.29,1,1,Matches
Tomasz Pieńko,pl POL,"MF,FW",21.0,15.4,2,21,5,23.8,1.37,0.33,0.1,0.4,0,0,Matches
Karol Struski,pl POL,MF,24.0,12.8,0,10,2,20.0,0.78,0.16,0.0,0.0,0,0,Matches
Péter Baráth,hu HUN,MF,23.0,11.0,1,15,4,26.7,1.36,0.36,0.07,0.25,0,0,Matches
Ariel Mosór,pl POL,DF,22.0,9.5,0,0,0,,0.0,0.0,,,0,0,Matches
Tolis Konstantopoulos,gr GRE,DF,22.0,9.2,0,6,2,33.3,0.65,0.22,0.0,0.0,0,0,Matches
Zoran Arsenić,hr CRO,DF,31.0,8.8,0,1,0,0.0,0.11,0.0,0.0,,0,0,Matches
Ivi,es ESP,"MF,FW",31.0,9.6,4,37,14,37.8,3.87,1.46,0.05,0.14,2,2,Matches
Leonardo Rocha,pt POR,FW,28.0,5.7,2,27,9,33.3,4.77,1.59,0.07,0.22,0,0,Matches
Paweł Dawidowicz,pl POL,DF,30.0,5.0,0,7,2,28.6,1.4,0.4,0.0,0.0,0,0,Matches
Imad Rondić,ba BIH,FW,26.0,4.2,0,4,0,0.0,0.95,0.0,0.0,,0,0,Matches
Isak Brusberg,se SWE,FW,18.0,2.4,0,3,1,33.3,1.25,0.42,0.0,0.0,0,0,Matches
Ibrahima Seck,sn SEN,MF,21.0,2.8,0,5,1,20.0,1.79,0.36,0.0,0.0,0,0,Matches
Jesús Díaz,co COL,MF,26.0,1.8,0,5,1,20.0,2.74,0.55,0.0,0.0,0,0,Matches
Srđan Plavšić,rs SRB,MF,29.0,1.7,0,1,0,0.0,0.58,0.0,0.0,,0,0,Matches
Eric Ouma,ke KEN,MF,28.0,1.6,0,0,0,,0.0,0.0,,,0,0,Matches
Mitja Ilenič,si SVN,MF,20.0,1.1,0,1,0,0.0,0.88,0.0,0.0,,0,0,Matches
Bogdan Mirčetić,rs SRB,FW,19.0,1.1,0,2,1,50.0,1.82,0.91,0.0,0.0,0,0,Matches
Vladyslav Kocherhin,ua UKR,MF,29.0,0.9,0,0,0,,0.0,0.0,,,0,0,Matches
Abraham Ojo,ng NGA,MF,18.0,0.2,0,1,0,0.0,5.29,0.0,0.0,,0,0,Matches
Squad Total,,,25.4,34.0,51,472,165,35.0,13.88,4.85,0.09,0.27,7,7,
Opponent Total,,,26.7,34.0,40,433,133,30.7,12.74,3.91,0.08,0.26,5,6,
