Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bogdan Racovitan,ro ROU,DF,25,30,30,2546,28.3,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches
Jonatan Braut Brunes,no NOR,FW,24,32,28,2451,27.2,16,0,16,12,4,4,2,0,0.59,0.00,0.59,0.44,0.44,Matches
Stratos Svarnas,gr GRE,DF,27,30,26,2361,26.2,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
Oskar Repka,pl POL,MF,26,32,24,2267,25.2,3,3,6,3,0,0,6,0,0.12,0.12,0.24,0.12,0.24,Matches
Michael Ameyaw,pl POL,MF,24,28,22,1918,21.3,3,5,8,3,0,0,0,0,0.14,0.23,0.38,0.14,0.38,Matches
Fran Tudor,hr CRO,"DF,MF",29,22,22,1886,21.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
Marko Bulat,hr CRO,MF,23,31,21,1860,20.7,4,3,7,4,0,0,3,0,0.19,0.15,0.34,0.19,0.34,Matches
Oliwier Zych,pl POL,GK,21,19,18,1644,18.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jean Carlos Silva Rocha,br BRA,MF,29,22,17,1484,16.5,3,3,6,3,0,0,1,0,0.18,0.18,0.36,0.18,0.36,Matches
Kacper Trelowski,pl POL,GK,21,16,16,1416,15.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adriano,br BRA,MF,23,27,15,1438,16.0,1,3,4,1,0,0,7,1,0.06,0.19,0.25,0.06,0.25,Matches
