Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Maciej Ambrosiewicz,pl POL,MF,27.0,30.6,8,1,1,50,34,2,93,22,20,,,0,Matches
Damian Hilbrycht,pl POL,MF,27.0,26.1,6,0,0,33,31,1,183,15,34,,,0,Matches
Gabriel Isik,de GER,DF,26.0,27.3,4,0,0,29,20,1,31,29,24,,,0,Matches
Arkadiusz Kasparkiewicz,pl POL,DF,30.0,25.3,7,1,1,23,31,0,16,44,28,,,2,Matches
Adrián Chovan,sk SVK,GK,29.0,22.0,0,0,0,0,5,0,1,0,0,,,0,Matches
Krzysztof Kubica,pl POL,"MF,FW",25.0,20.6,8,1,1,44,31,1,1,24,28,,,0,Matches
Morgan Faßbender,de GER,"FW,MF",26.0,19.0,0,0,0,26,14,6,35,7,9,,,0,Matches
Kamil Zapolnik,pl POL,FW,32.0,19.7,6,0,0,42,41,9,4,4,12,,,0,Matches
Bartosz Kopacz,pl POL,DF,33.0,19.0,4,0,0,17,11,1,2,23,20,,,0,Matches
Jesús Jiménez,es ESP,"FW,MF",31.0,18.7,1,0,0,30,17,5,17,4,6,,,0,Matches
Mini,es ESP,MF,26.0,17.7,4,0,0,30,21,0,15,17,6,,,0,Matches
Maciej Wolski,pl POL,"MF,DF",28.0,17.4,3,0,0,20,24,2,38,10,23,,,0,Matches
Radu Boboc,ro ROU,MF,26.0,18.0,1,0,0,18,7,7,62,17,21,,,0,Matches
Igor Strzałek,pl POL,"FW,MF",21.0,14.3,1,0,0,12,31,1,32,5,13,,,0,Matches
Lucas Masoero,ar ARG,DF,30.0,14.2,1,0,0,11,4,0,3,17,14,,,0,Matches
Artem Putivtsev,ua UKR,DF,36.0,12.1,6,0,0,19,12,0,7,11,9,,,0,Matches
Miłosz Mleczko,pl POL,GK,26.0,12.0,0,0,0,0,4,0,0,0,1,,,0,Matches
Miłosz Matysik,pl POL,DF,21.0,7.1,2,0,0,9,7,0,2,8,5,,,0,Matches
Rafał Kurzawa,pl POL,"FW,MF",32.0,11.9,5,0,0,14,16,2,44,7,16,,,0,Matches
Andrzej Trubeha,pl POL,FW,27.0,8.7,2,0,0,10,20,1,11,10,5,,,0,Matches
Ivan Durdov,hr CRO,FW,25.0,5.8,0,0,0,6,3,1,0,0,0,,,0,Matches
Wojciech Jakubik,pl POL,"MF,FW",20.0,3.8,2,0,0,7,9,0,15,4,7,,,0,Matches
Dominik Biniek,pl POL,MF,20.0,2.0,2,0,0,2,5,0,13,2,0,,,0,Matches
Diego Deisadze,ge GEO,MF,20.0,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches
Thiago Dombroski,br BRA,DF,23.0,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Squad Total,,,28.3,34.0,73,3,3,452,398,40,626,280,302,,,2,
Opponent Total,,,26.8,34.0,61,5,3,423,438,64,745,279,276,,,2,
