Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Maciej Ambrosiewicz,pl POL,MF,27.0,30.6,1,26,8,30.8,0.85,0.26,0.0,0.0,1,1,Matches
Damian Hilbrycht,pl POL,MF,27.0,26.1,5,31,11,35.5,1.19,0.42,0.16,0.45,0,0,Matches
Gabriel Isik,de GER,DF,26.0,27.3,1,32,11,34.4,1.17,0.4,0.03,0.09,0,0,Matches
Arkadiusz Kasparkiewicz,pl POL,DF,30.0,25.3,2,15,7,46.7,0.59,0.28,0.13,0.29,0,0,Matches
Adrián Chovan,sk SVK,GK,29.0,22.0,0,0,0,,0.0,0.0,,,0,0,Matches
Krzysztof Kubica,pl POL,"MF,FW",25.0,20.6,5,47,15,31.9,2.28,0.73,0.11,0.33,0,0,Matches
Morgan Faßbender,de GER,"FW,MF",26.0,19.0,3,41,11,26.8,2.16,0.58,0.07,0.27,0,0,Matches
Kamil Zapolnik,pl POL,FW,32.0,19.7,6,39,19,48.7,1.98,0.97,0.13,0.26,1,1,Matches
Bartosz Kopacz,pl POL,DF,33.0,19.0,0,17,6,35.3,0.89,0.32,0.0,0.0,0,0,Matches
Jesús Jiménez,es ESP,"FW,MF",31.0,18.7,5,35,18,51.4,1.87,0.96,0.09,0.17,2,2,Matches
Mini,es ESP,MF,26.0,17.7,2,17,3,17.6,0.96,0.17,0.12,0.67,0,0,Matches
Maciej Wolski,pl POL,"MF,DF",28.0,17.4,0,8,2,25.0,0.46,0.11,0.0,0.0,0,0,Matches
Radu Boboc,ro ROU,MF,26.0,18.0,0,11,2,18.2,0.61,0.11,0.0,0.0,0,0,Matches
Igor Strzałek,pl POL,"FW,MF",21.0,14.3,1,23,7,30.4,1.6,0.49,0.04,0.14,0,0,Matches
Lucas Masoero,ar ARG,DF,30.0,14.2,0,5,0,0.0,0.35,0.0,0.0,,0,0,Matches
Artem Putivtsev,ua UKR,DF,36.0,12.1,1,7,2,28.6,0.58,0.17,0.14,0.5,0,0,Matches
Miłosz Mleczko,pl POL,GK,26.0,12.0,0,0,0,,0.0,0.0,,,0,0,Matches
Miłosz Matysik,pl POL,DF,21.0,7.1,0,3,0,0.0,0.42,0.0,0.0,,0,0,Matches
Rafał Kurzawa,pl POL,"FW,MF",32.0,11.9,4,25,10,40.0,2.09,0.84,0.16,0.4,0,0,Matches
Andrzej Trubeha,pl POL,FW,27.0,8.7,2,19,4,21.1,2.18,0.46,0.11,0.5,0,0,Matches
Ivan Durdov,hr CRO,FW,25.0,5.8,3,20,6,30.0,3.44,1.03,0.15,0.5,0,0,Matches
Wojciech Jakubik,pl POL,"MF,FW",20.0,3.8,0,4,1,25.0,1.06,0.26,0.0,0.0,0,0,Matches
Dominik Biniek,pl POL,MF,20.0,2.0,0,1,0,0.0,0.49,0.0,0.0,,0,0,Matches
Diego Deisadze,ge GEO,MF,20.0,0.3,0,1,1,100.0,3.91,3.91,0.0,0.0,0,0,Matches
Thiago Dombroski,br BRA,DF,23.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,28.3,34.0,41,427,144,33.7,12.56,4.24,0.09,0.26,4,4,
Opponent Total,,,26.8,34.0,63,547,188,34.4,16.09,5.53,0.11,0.32,3,4,
