Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Maciej Ambrosiewicz,pl POL,MF,27.0,33,32,2755.0,30.6,1.0,2.0,3.0,0.0,1.0,1.0,8.0,1.0,0.03,0.07,0.1,0.0,0.07,Matches
Damian Hilbrycht,pl POL,MF,27.0,33,28,2345.0,26.1,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,0.19,0.19,0.38,0.19,0.38,Matches
Gabriel Isik,de GER,DF,26.0,29,26,2456.0,27.3,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
Arkadiusz Kasparkiewicz,pl POL,DF,30.0,29,26,2278.0,25.3,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,0.08,0.04,0.12,0.08,0.12,Matches
Adrián Chovan,sk SVK,GK,29.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Krzysztof Kubica,pl POL,"MF,FW",25.0,25,22,1852.0,20.6,5.0,1.0,6.0,5.0,0.0,0.0,8.0,1.0,0.24,0.05,0.29,0.24,0.29,Matches
Morgan Faßbender,de GER,"FW,MF",26.0,29,22,1710.0,19.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.16,0.05,0.21,0.16,0.21,Matches
Kamil Zapolnik,pl POL,FW,32.0,26,20,1769.0,19.7,6.0,0.0,6.0,5.0,1.0,1.0,6.0,0.0,0.31,0.0,0.31,0.25,0.25,Matches
Bartosz Kopacz,pl POL,DF,33.0,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesús Jiménez,es ESP,"FW,MF",31.0,31,19,1686.0,18.7,5.0,2.0,7.0,3.0,2.0,2.0,1.0,0.0,0.27,0.11,0.37,0.16,0.27,Matches
Mini,es ESP,MF,26.0,28,18,1595.0,17.7,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches
Maciej Wolski,pl POL,"MF,DF",28.0,19,18,1567.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Radu Boboc,ro ROU,MF,26.0,27,17,1621.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches
Igor Strzałek,pl POL,"FW,MF",21.0,28,15,1290.0,14.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches
Lucas Masoero,ar ARG,DF,30.0,19,13,1275.0,14.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Artem Putivtsev,ua UKR,DF,36.0,18,12,1088.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Miłosz Mleczko,pl POL,GK,26.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miłosz Matysik,pl POL,DF,21.0,11,9,637.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafał Kurzawa,pl POL,"FW,MF",32.0,24,8,1074.0,11.9,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Andrzej Trubeha,pl POL,FW,27.0,21,7,783.0,8.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,Matches
Ivan Durdov,hr CRO,FW,25.0,16,6,523.0,5.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.52,0.17,0.69,0.52,0.69,Matches
Wojciech Jakubik,pl POL,"MF,FW",20.0,23,2,341.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Dominik Biniek,pl POL,MF,20.0,10,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Deisadze,ge GEO,MF,20.0,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Thiago Dombroski,br BRA,DF,23.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maciej Janicki,pl POL,GK,17.0,0,0,,,,,,,,,,,,,,,,Matches
Milosz Kozik,pl POL,DF,20.0,0,0,,,,,,,,,,,,,,,,Matches
