Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Juljan Shehu,al ALB,MF,26.0,29.6,11,1,1,45,83,6,29,29,45,,,0,Matches
Fran Álvarez,es ESP,"MF,FW",27.0,26.5,3,0,0,26,37,5,161,14,22,,,0,Matches
Sebastian Bergier,pl POL,FW,25.0,25.3,5,1,0,40,27,9,18,9,9,,,0,Matches
Mariusz Fornalczyk,pl POL,"MF,FW",22.0,23.4,8,0,0,30,60,5,61,9,5,,,0,Matches
Mateusz Żyro,pl POL,DF,26.0,20.6,4,0,0,17,13,4,7,20,18,,,0,Matches
Ricardo Visus,es ESP,DF,24.0,19.0,6,0,0,18,9,1,5,14,10,,,0,Matches
Marcel Krajewski,pl POL,"DF,MF",20.0,19.1,7,0,0,27,26,0,45,11,26,,,0,Matches
Samuel Kozlovský,sk SVK,DF,25.0,15.5,3,0,0,8,7,0,38,18,17,,,0,Matches
Przemysław Wiśniewski,pl POL,DF,27.0,15.0,3,0,0,24,9,1,3,22,8,,,0,Matches
Bartłomiej Drągowski,pl POL,GK,27.0,15.0,2,0,0,0,8,0,0,0,0,,,0,Matches
Stelios Andreou,cy CYP,DF,23.0,14.6,2,0,0,9,8,1,4,7,11,,,0,Matches
Lindon Selahi,al ALB,MF,26.0,14.2,2,0,0,18,9,0,2,28,24,,,0,Matches
Emil Kornvig,dk DEN,"FW,MF",25.0,13.8,4,0,0,27,24,1,19,7,12,,,0,Matches
Baena,es ESP,"MF,FW",24.0,15.0,5,0,0,16,39,3,50,8,11,,,0,Matches
Samuel Akere,ng NGA,"MF,FW",21.0,8.6,3,0,0,10,10,0,15,7,9,,,0,Matches
Szymon Czyż,pl POL,MF,24.0,11.1,1,0,0,9,17,1,1,18,11,,,0,Matches
Steve Kapuadi,cd COD,DF,27.0,10.2,0,0,0,12,1,0,1,8,6,,,0,Matches
Maciej Kikolski,pl POL,GK,21.0,9.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Lukas Lerager,dk DEN,MF,32.0,8.7,2,0,0,14,9,0,9,18,16,,,0,Matches
Veljko Ilic,rs SRB,GK,22.0,8.0,1,0,0,0,2,0,0,0,0,,,0,Matches
Christopher Cheng,no NOR,"DF,MF",23.0,7.1,0,0,0,8,8,0,21,13,8,,,0,Matches
Dion Gallapeni,xk KVX,DF,20.0,7.2,4,1,1,11,11,0,16,9,19,,,0,Matches
Carlos Isaac,es ESP,DF,27.0,6.8,2,0,0,16,8,0,29,3,15,,,0,Matches
Andi Zeqiri,ch SUI,FW,26.0,8.5,5,0,0,29,18,3,3,1,6,,,0,Matches
Osman Bukari,gh GHA,MF,26.0,5.4,0,0,0,5,2,4,11,4,4,,,0,Matches
Bartłomiej Pawłowski,pl POL,"MF,FW",32.0,5.3,1,0,0,7,7,0,20,3,7,,,0,Matches
Peter Therkildsen,dk DEN,DF,27.0,4.8,0,0,0,5,4,0,5,5,10,,,0,Matches
Rafał Gikiewicz,pl POL,GK,37.0,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Marek Hanousek,cz CZE,MF,33.0,1.1,2,0,0,7,0,0,0,0,3,,,0,Matches
Pape Ba,sn SEN,FW,28.0,0.8,0,0,0,1,2,0,1,0,0,,,0,Matches
Tonio Teklić,hr CRO,MF,25.0,1.4,0,0,0,3,2,0,8,0,1,,,0,Matches
Antoni Klukowski,ca CAN,FW,18.0,0.6,0,0,0,0,0,0,0,1,0,,,0,Matches
Kamil Cybulski,pl POL,MF,19.0,0.2,0,0,0,1,0,0,1,0,1,,,0,Matches
Squad Total,,,25.4,34.0,87,3,2,443,461,44,583,286,334,,,0,
Opponent Total,,,26.8,34.0,88,3,2,470,422,69,616,298,341,,,2,
