Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Juljan Shehu,al ALB,MF,26.0,29.6,4,54,17,31.5,1.83,0.58,0.07,0.24,0,0,Matches
Fran Álvarez,es ESP,"MF,FW",27.0,26.5,7,55,17,30.9,2.08,0.64,0.13,0.41,0,0,Matches
Sebastian Bergier,pl POL,FW,25.0,25.3,14,54,25,46.3,2.13,0.99,0.19,0.4,4,4,Matches
Mariusz Fornalczyk,pl POL,"MF,FW",22.0,23.4,1,52,11,21.2,2.22,0.47,0.02,0.09,0,0,Matches
Mateusz Żyro,pl POL,DF,26.0,20.6,0,11,6,54.5,0.53,0.29,0.0,0.0,0,0,Matches
Ricardo Visus,es ESP,DF,24.0,19.0,0,17,4,23.5,0.9,0.21,0.0,0.0,0,0,Matches
Marcel Krajewski,pl POL,"DF,MF",20.0,19.1,0,16,1,6.3,0.84,0.05,0.0,0.0,0,0,Matches
Samuel Kozlovský,sk SVK,DF,25.0,15.5,0,8,2,25.0,0.52,0.13,0.0,0.0,0,0,Matches
Przemysław Wiśniewski,pl POL,DF,27.0,15.0,0,7,0,0.0,0.47,0.0,0.0,,0,0,Matches
Bartłomiej Drągowski,pl POL,GK,27.0,15.0,0,0,0,,0.0,0.0,,,0,0,Matches
Stelios Andreou,cy CYP,DF,23.0,14.6,0,2,1,50.0,0.14,0.07,0.0,0.0,0,0,Matches
Lindon Selahi,al ALB,MF,26.0,14.2,1,11,3,27.3,0.78,0.21,0.09,0.33,0,0,Matches
Emil Kornvig,dk DEN,"FW,MF",25.0,13.8,2,28,8,28.6,2.03,0.58,0.07,0.25,0,0,Matches
Baena,es ESP,"MF,FW",24.0,15.0,2,15,10,66.7,1.0,0.67,0.13,0.2,0,0,Matches
Samuel Akere,ng NGA,"MF,FW",21.0,8.6,1,14,2,14.3,1.62,0.23,0.07,0.5,0,0,Matches
Szymon Czyż,pl POL,MF,24.0,11.1,0,7,2,28.6,0.63,0.18,0.0,0.0,0,0,Matches
Steve Kapuadi,cd COD,DF,27.0,10.2,1,5,3,60.0,0.49,0.29,0.2,0.33,0,0,Matches
Maciej Kikolski,pl POL,GK,21.0,9.0,0,0,0,,0.0,0.0,,,0,0,Matches
Lukas Lerager,dk DEN,MF,32.0,8.7,1,3,1,33.3,0.35,0.12,0.33,1.0,0,0,Matches
Veljko Ilic,rs SRB,GK,22.0,8.0,0,0,0,,0.0,0.0,,,0,0,Matches
Christopher Cheng,no NOR,"DF,MF",23.0,7.1,0,4,0,0.0,0.56,0.0,0.0,,0,0,Matches
Dion Gallapeni,xk KVX,DF,20.0,7.2,1,5,3,60.0,0.69,0.41,0.2,0.33,0,0,Matches
Carlos Isaac,es ESP,DF,27.0,6.8,1,8,2,25.0,1.18,0.3,0.13,0.5,0,0,Matches
Andi Zeqiri,ch SUI,FW,26.0,8.5,1,25,7,28.0,2.95,0.83,0.04,0.14,0,0,Matches
Osman Bukari,gh GHA,MF,26.0,5.4,0,5,1,20.0,0.93,0.19,0.0,0.0,0,0,Matches
Bartłomiej Pawłowski,pl POL,"MF,FW",32.0,5.3,1,19,5,26.3,3.56,0.94,0.0,0.0,1,1,Matches
Peter Therkildsen,dk DEN,DF,27.0,4.8,1,3,1,33.3,0.63,0.21,0.33,1.0,0,0,Matches
Rafał Gikiewicz,pl POL,GK,37.0,2.0,0,0,0,,0.0,0.0,,,0,0,Matches
Marek Hanousek,cz CZE,MF,33.0,1.1,0,3,0,0.0,2.7,0.0,0.0,,0,0,Matches
Pape Ba,sn SEN,FW,28.0,0.8,0,2,0,0.0,2.5,0.0,0.0,,0,0,Matches
Tonio Teklić,hr CRO,MF,25.0,1.4,0,4,0,0.0,2.83,0.0,0.0,,0,0,Matches
Antoni Klukowski,ca CAN,FW,18.0,0.6,0,0,0,,0.0,0.0,,,0,0,Matches
Kamil Cybulski,pl POL,MF,19.0,0.2,0,1,0,0.0,4.09,0.0,0.0,,0,0,Matches
Squad Total,,,25.4,34.0,39,438,132,30.1,12.88,3.88,0.08,0.26,5,5,
Opponent Total,,,26.8,34.0,41,407,117,28.7,11.97,3.44,0.1,0.34,1,1,
