Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Juljan Shehu,al ALB,MF,26,32,31,2660,29.6,4,3,7,4,0,0,11,1,0.14,0.10,0.24,0.14,0.24,Matches
Fran Álvarez,es ESP,"MF,FW",27,31,28,2381,26.5,7,3,10,7,0,0,3,0,0.26,0.11,0.38,0.26,0.38,Matches
Sebastian Bergier,pl POL,FW,25,30,28,2278,25.3,14,4,18,10,4,4,5,1,0.55,0.16,0.71,0.40,0.55,Matches
Mariusz Fornalczyk,pl POL,"MF,FW",22,31,24,2105,23.4,1,3,4,1,0,0,8,0,0.04,0.13,0.17,0.04,0.17,Matches
Mateusz Żyro,pl POL,DF,26,25,21,1858,20.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Ricardo Visus,es ESP,DF,24,19,19,1709,19.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcel Krajewski,pl POL,"DF,MF",20,26,18,1716,19.1,0,3,3,0,0,0,7,0,0.00,0.16,0.16,0.00,0.16,Matches
Samuel Kozlovský,sk SVK,DF,25,21,15,1398,15.5,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
Przemysław Wiśniewski,pl POL,DF,27,16,15,1351,15.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Bartłomiej Drągowski,pl POL,GK,27,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Stelios Andreou,cy CYP,DF,23,18,15,1313,14.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Lindon Selahi,al ALB,MF,26,24,14,1275,14.2,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Emil Kornvig,dk DEN,"FW,MF",25,15,14,1244,13.8,2,1,3,2,0,0,4,0,0.14,0.07,0.22,0.14,0.22,Matches
Baena,es ESP,"MF,FW",24,29,13,1351,15.0,2,1,3,2,0,0,5,0,0.13,0.07,0.20,0.13,0.20,Matches
Samuel Akere,ng NGA,"MF,FW",21,15,11,778,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches
Szymon Czyż,pl POL,MF,24,18,10,1001,11.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Steve Kapuadi,cd COD,DF,27,11,10,917,10.2,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches
Maciej Kikolski,pl POL,GK,21,9,9,810,9.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lukas Lerager,dk DEN,MF,32,10,9,782,8.7,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Veljko Ilic,rs SRB,GK,22,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Cheng,no NOR,"DF,MF",23,9,8,643,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dion Gallapeni,xk KVX,DF,20,10,7,652,7.2,1,0,1,1,0,0,4,1,0.14,0.00,0.14,0.14,0.14,Matches
Carlos Isaac,es ESP,DF,27,11,7,610,6.8,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Andi Zeqiri,ch SUI,FW,26,24,6,762,8.5,1,2,3,1,0,0,5,0,0.12,0.24,0.35,0.12,0.35,Matches
Osman Bukari,gh GHA,MF,26,8,5,484,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartłomiej Pawłowski,pl POL,"MF,FW",32,19,5,480,5.3,1,1,2,0,1,1,1,0,0.19,0.19,0.37,0.00,0.19,Matches
Peter Therkildsen,dk DEN,DF,27,8,5,430,4.8,1,2,3,1,0,0,0,0,0.21,0.42,0.63,0.21,0.63,Matches
Rafał Gikiewicz,pl POL,GK,37,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marek Hanousek,cz CZE,MF,33,9,1,100,1.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Pape Ba,sn SEN,FW,28,4,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
