Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Marcin Kamiński,pl POL,DF,33.0,33.4,1,0,0,7,3,0,4,20,12,,,0,Matches
Marcus Haglind-Sangré,se SWE,DF,30.0,33.0,4,0,0,30,17,1,33,13,34,,,0,Matches
Rafał Leszczyński,pl POL,GK,33.0,33.0,4,0,0,0,9,0,0,0,0,,,0,Matches
Wiktor Nowak,pl POL,"MF,FW",20.0,28.9,7,0,0,41,49,8,39,19,25,,,0,Matches
Dominik Kun,pl POL,MF,32.0,27.4,1,0,0,24,26,0,13,19,19,,,0,Matches
Žan Rogelj,si SVN,"MF,DF",25.0,25.0,4,0,0,22,6,1,103,18,32,,,0,Matches
Daniel Pacheco,es ESP,MF,34.0,24.3,4,0,0,15,20,1,99,30,25,,,0,Matches
Łukasz Sekulski,pl POL,FW,34.0,21.8,5,0,0,27,35,9,13,7,10,,,0,Matches
Quentin Lecoeuche,fr FRA,"MF,DF",31.0,20.5,2,0,0,13,24,1,126,14,17,,,0,Matches
Andrias Edmundsson,fo FRO,DF,24.0,18.0,3,0,0,20,8,1,12,21,19,,,1,Matches
Deni Jurić,au AUS,FW,27.0,12.8,1,0,0,13,12,2,7,9,7,,,0,Matches
Nemanja Mijušković,me MNE,DF,33.0,15.7,7,0,0,15,10,0,2,12,14,,,0,Matches
Kevin Custovic,se SWE,"DF,MF",25.0,10.9,0,0,0,8,6,3,31,8,10,,,0,Matches
Dion Gallapeni,xk KVX,"MF,DF",20.0,7.4,1,0,0,6,15,1,39,9,15,,,0,Matches
Kyriakos Savvidis,gr GRE,MF,30.0,6.4,1,0,0,10,6,0,4,9,13,,,0,Matches
Iván Salvador,gq EQG,FW,29.0,7.9,9,0,0,27,37,7,23,3,3,,,0,Matches
Tomás Tavares,pt POR,MF,24.0,7.1,1,0,0,7,10,0,6,4,4,,,0,Matches
Giannis Niarchos,gr GRE,FW,23.0,8.9,2,0,0,24,13,6,0,1,7,,,0,Matches
Matchoi Djaló,pt POR,"MF,FW",22.0,7.1,0,0,0,6,12,0,22,2,5,,,0,Matches
Jime,es ESP,"MF,FW",26.0,5.8,1,0,0,7,9,0,11,5,8,,,0,Matches
Saïd Hamulic,ba BIH,FW,24.0,3.9,0,0,0,5,2,3,1,0,1,,,0,Matches
Bojan Nastić,ba BIH,"MF,DF",31.0,3.7,1,0,0,9,3,0,26,2,4,,,0,Matches
Krystian Pomorski,pl POL,MF,29.0,2.8,0,0,0,6,2,0,7,5,1,,,0,Matches
Dominik Sarapata,pl POL,MF,17.0,2.5,1,0,0,5,1,0,2,0,2,,,0,Matches
Aleksandre Kalandadze,ge GEO,DF,24.0,1.6,1,0,0,6,1,0,4,3,2,,,0,Matches
Marin Karamarko,hr CRO,DF,27.0,1.3,0,0,0,4,1,0,3,3,0,,,0,Matches
Fabian Hiszpański,pl POL,MF,31.0,1.2,2,0,0,1,5,1,13,1,1,,,0,Matches
Jakub Burek,pl POL,GK,22.0,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Piotr Krawczyk,pl POL,FW,30.0,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Bartosz Borowski,pl POL,,18.0,0.2,0,0,0,0,1,0,0,0,2,,,0,Matches
Nikodem Rogowski,pl POL,DF,16.0,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Matvey Bokhno,by BLR,DF,17.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.3,34.0,63,0,0,358,344,45,643,237,292,,,1,
Opponent Total,,,26.4,34.0,56,2,1,358,344,46,911,236,240,,,3,
