Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Marcin Kamiński,pl POL,DF,33,34,3003,88,98.1,33.4,34,88,32,0,,0,1.35,34,36,-2,-0.06,+3.10,Matches
Marcus Haglind-Sangré,se SWE,DF,30,33,2970,90,97.1,33.0,33,90,33,0,,0,1.39,34,37,-3,-0.09,+0.91,Matches
Rafał Leszczyński,pl POL,GK,33,33,2970,90,97.1,33.0,33,90,33,0,,0,1.39,34,34,0,0.00,+4.00,Matches
Wiktor Nowak,pl POL,"MF,FW",20,32,2598,81,84.9,28.9,29,87,21,3,29,0,1.30,28,34,-6,-0.21,-0.60,Matches
Dominik Kun,pl POL,MF,32,33,2463,75,80.5,27.4,27,83,16,6,38,1,1.39,28,24,+4,+0.15,+1.35,Matches
Žan Rogelj,si SVN,"MF,DF",25,26,2247,86,73.4,25.0,26,86,16,0,,0,1.15,23,30,-7,-0.28,-0.61,Matches
Daniel Pacheco,es ESP,MF,34,31,2186,71,71.4,24.3,26,78,10,5,30,0,1.42,26,25,+1,+0.04,+0.56,Matches
Łukasz Sekulski,pl POL,FW,34,27,1966,73,64.2,21.8,24,79,5,3,21,2,1.44,24,22,+2,+0.09,+0.59,Matches
Quentin Lecoeuche,fr FRA,"MF,DF",31,28,1841,66,60.2,20.5,20,80,8,8,30,0,1.25,18,21,-3,-0.15,-0.07,Matches
Andrias Edmundsson,fo FRO,DF,24,18,1620,90,52.9,18.0,18,90,18,0,,0,1.67,21,12,+9,+0.50,+1.31,Matches
Deni Jurić,au AUS,FW,27,19,1154,61,37.7,12.8,15,69,2,4,31,2,1.16,15,13,+2,+0.16,+0.44,Matches
Nemanja Mijušković,me MNE,DF,33,28,1417,51,46.3,15.7,14,88,12,14,13,5,1.39,12,22,-10,-0.64,-0.96,Matches
Kevin Custovic,se SWE,"DF,MF",25,25,984,39,32.2,10.9,9,84,4,16,15,7,1.28,13,12,+1,+0.09,+0.31,Matches
Dion Gallapeni,xk KVX,"MF,DF",20,10,664,66,21.7,7.4,9,73,2,1,11,2,1.00,7,13,-6,-0.81,-0.89,Matches
Kyriakos Savvidis,gr GRE,MF,30,8,575,72,18.8,6.4,8,72,2,0,,0,1.50,7,5,+2,+0.31,+0.53,Matches
Iván Salvador,gq EQG,FW,29,17,708,42,23.1,7.9,7,70,1,10,22,3,1.41,11,6,+5,+0.64,+0.98,Matches
Tomás Tavares,pt POR,MF,24,13,638,49,20.8,7.1,7,69,0,6,26,9,1.00,6,12,-6,-0.85,-0.92,Matches
Giannis Niarchos,gr GRE,FW,23,20,800,40,26.1,8.9,6,72,1,14,26,1,1.10,7,13,-6,-0.68,-0.75,Matches
Matchoi Djaló,pt POR,"MF,FW",22,18,639,36,20.9,7.1,6,65,0,12,21,12,0.83,5,16,-11,-1.55,-1.81,Matches
Jime,es ESP,"MF,FW",26,9,524,58,17.1,5.8,6,76,1,3,23,0,1.78,7,3,+4,+0.69,+0.97,Matches
Saïd Hamulic,ba BIH,FW,24,7,354,51,11.6,3.9,5,62,1,2,21,1,0.57,2,9,-7,-1.78,-1.88,Matches
Bojan Nastić,ba BIH,"MF,DF",31,9,337,37,11.0,3.7,4,67,0,5,14,6,2.00,5,3,+2,+0.53,+0.73,Matches
Krystian Pomorski,pl POL,MF,29,18,256,14,8.4,2.8,2,61,0,16,8,16,1.67,1,3,-2,-0.70,-0.64,Matches
Dominik Sarapata,pl POL,MF,17,7,229,33,7.5,2.5,2,55,0,5,24,9,1.00,4,4,0,0.00,+0.13,Matches
