Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Marcin Kamiński,pl POL,DF,33.0,33.4,3,22,8,36.4,0.66,0.24,0.14,0.38,0,0,Matches
Marcus Haglind-Sangré,se SWE,DF,30.0,33.0,0,17,4,23.5,0.52,0.12,0.0,0.0,0,0,Matches
Rafał Leszczyński,pl POL,GK,33.0,33.0,0,0,0,,0.0,0.0,,,0,0,Matches
Wiktor Nowak,pl POL,"MF,FW",20.0,28.9,4,53,14,26.4,1.84,0.48,0.08,0.29,0,0,Matches
Dominik Kun,pl POL,MF,32.0,27.4,0,30,4,13.3,1.1,0.15,0.0,0.0,0,0,Matches
Žan Rogelj,si SVN,"MF,DF",25.0,25.0,3,28,12,42.9,1.12,0.48,0.11,0.25,0,0,Matches
Daniel Pacheco,es ESP,MF,34.0,24.3,2,32,8,25.0,1.32,0.33,0.06,0.25,0,0,Matches
Łukasz Sekulski,pl POL,FW,34.0,21.8,8,45,22,48.9,2.06,1.01,0.11,0.23,3,4,Matches
Quentin Lecoeuche,fr FRA,"MF,DF",31.0,20.5,0,5,3,60.0,0.24,0.15,0.0,0.0,0,0,Matches
Andrias Edmundsson,fo FRO,DF,24.0,18.0,1,15,4,26.7,0.83,0.22,0.07,0.25,0,0,Matches
Deni Jurić,au AUS,FW,27.0,12.8,5,34,9,26.5,2.65,0.7,0.15,0.56,0,0,Matches
Nemanja Mijušković,me MNE,DF,33.0,15.7,0,15,2,13.3,0.95,0.13,0.0,0.0,0,1,Matches
Kevin Custovic,se SWE,"DF,MF",25.0,10.9,0,11,4,36.4,1.01,0.37,0.0,0.0,0,0,Matches
Dion Gallapeni,xk KVX,"MF,DF",20.0,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,0,0,Matches
Kyriakos Savvidis,gr GRE,MF,30.0,6.4,1,4,1,25.0,0.63,0.16,0.25,1.0,0,0,Matches
Iván Salvador,gq EQG,FW,29.0,7.9,2,12,3,25.0,1.53,0.38,0.17,0.67,0,0,Matches
Tomás Tavares,pt POR,MF,24.0,7.1,0,5,1,20.0,0.71,0.14,0.0,0.0,0,0,Matches
Giannis Niarchos,gr GRE,FW,23.0,8.9,1,18,6,33.3,2.03,0.68,0.06,0.17,0,0,Matches
Matchoi Djaló,pt POR,"MF,FW",22.0,7.1,0,14,2,14.3,1.97,0.28,0.0,0.0,0,0,Matches
Jime,es ESP,"MF,FW",26.0,5.8,1,13,6,46.2,2.23,1.03,0.08,0.17,0,0,Matches
Saïd Hamulic,ba BIH,FW,24.0,3.9,0,14,5,35.7,3.56,1.27,0.0,0.0,0,0,Matches
Bojan Nastić,ba BIH,"MF,DF",31.0,3.7,0,4,0,0.0,1.07,0.0,0.0,,0,0,Matches
Krystian Pomorski,pl POL,MF,29.0,2.8,0,3,0,0.0,1.05,0.0,0.0,,0,0,Matches
Dominik Sarapata,pl POL,MF,17.0,2.5,0,3,0,0.0,1.18,0.0,0.0,,0,0,Matches
Aleksandre Kalandadze,ge GEO,DF,24.0,1.6,0,2,0,0.0,1.26,0.0,0.0,,0,0,Matches
Marin Karamarko,hr CRO,DF,27.0,1.3,0,1,0,0.0,0.8,0.0,0.0,,0,0,Matches
Fabian Hiszpański,pl POL,MF,31.0,1.2,0,2,0,0.0,1.68,0.0,0.0,,0,0,Matches
Jakub Burek,pl POL,GK,22.0,1.0,0,0,0,,0.0,0.0,,,0,0,Matches
Piotr Krawczyk,pl POL,FW,30.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
Bartosz Borowski,pl POL,,18.0,0.2,0,0,0,,0.0,0.0,,,0,0,Matches
Nikodem Rogowski,pl POL,DF,16.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
Matvey Bokhno,by BLR,DF,17.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,29.3,34.0,31,406,120,29.6,11.94,3.53,0.07,0.23,3,5,
Opponent Total,,,26.4,34.0,37,500,151,30.2,14.71,4.44,0.07,0.23,2,3,
