Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Marcin Kamiński,pl POL,DF,33,34,34,3003,33.4,3,0,3,3,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
Marcus Haglind-Sangré,se SWE,DF,30,33,33,2970,33.0,0,2,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches
Rafał Leszczyński,pl POL,GK,33,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Wiktor Nowak,pl POL,"MF,FW",20,32,29,2598,28.9,4,1,5,4,0,0,7,0,0.14,0.03,0.17,0.14,0.17,Matches
Dominik Kun,pl POL,MF,32,33,27,2463,27.4,0,4,4,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
Žan Rogelj,si SVN,"MF,DF",25,26,26,2247,25.0,3,1,4,3,0,0,4,0,0.12,0.04,0.16,0.12,0.16,Matches
Daniel Pacheco,es ESP,MF,34,31,26,2186,24.3,2,3,5,2,0,0,4,0,0.08,0.12,0.21,0.08,0.21,Matches
Łukasz Sekulski,pl POL,FW,34,27,24,1966,21.8,8,1,9,5,3,4,5,0,0.37,0.05,0.41,0.23,0.27,Matches
Quentin Lecoeuche,fr FRA,"MF,DF",31,28,20,1841,20.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrias Edmundsson,fo FRO,DF,24,18,18,1620,18.0,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Deni Jurić,au AUS,FW,27,19,15,1154,12.8,5,0,5,5,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matches
Nemanja Mijušković,me MNE,DF,33,28,14,1417,15.7,0,0,0,0,0,1,7,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Custovic,se SWE,"DF,MF",25,25,9,984,10.9,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
Dion Gallapeni,xk KVX,"MF,DF",20,10,9,664,7.4,0,3,3,0,0,0,1,0,0.00,0.41,0.41,0.00,0.41,Matches
Kyriakos Savvidis,gr GRE,MF,30,8,8,575,6.4,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches
Iván Salvador,gq EQG,FW,29,17,7,708,7.9,2,0,2,2,0,0,9,0,0.25,0.00,0.25,0.25,0.25,Matches
Tomás Tavares,pt POR,MF,24,13,7,638,7.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Giannis Niarchos,gr GRE,FW,23,20,6,800,8.9,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches
Matchoi Djaló,pt POR,"MF,FW",22,18,6,639,7.1,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
Jime,es ESP,"MF,FW",26,9,6,524,5.8,1,2,3,1,0,0,1,0,0.17,0.34,0.52,0.17,0.52,Matches
Saïd Hamulic,ba BIH,FW,24,7,5,354,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bojan Nastić,ba BIH,"MF,DF",31,9,4,337,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Krystian Pomorski,pl POL,MF,29,18,2,256,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dominik Sarapata,pl POL,MF,17,7,2,229,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandre Kalandadze,ge GEO,DF,24,8,1,143,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marin Karamarko,hr CRO,DF,27,3,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fabian Hiszpański,pl POL,MF,31,7,1,107,1.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Burek,pl POL,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Piotr Krawczyk,pl POL,FW,30,3,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Bartosz Borowski,pl POL,,18,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Nikodem Rogowski,pl POL,DF,16,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matvey Bokhno,by BLR,DF,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawid Barnowski,pl POL,FW,23,0,0,,,,,,,,,,,,,,,,Matches
Hleb Kučko,by BLR,MF,20,0,0,,,,,,,,,,,,,,,,Matches
Mateusz Lesniewski,pl POL,MF,17,0,0,,,,,,,,,,,,,,,,Matches
Stanisław Pruszkowski,pl POL,GK,21,0,0,,,,,,,,,,,,,,,,Matches
Oskar Tomczyk,pl POL,FW,19,0,0,,,,,,,,,,,,,,,,Matches
Filip Zając,pl POL,DF,19,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.3,34,374,3060,34.0,31,20,51,28,3,5,63,0,0.91,0.59,1.50,0.82,1.41,
Opponent Total,,,26.4,34,374,3060,34.0,37,23,60,35,2,3,56,2,1.09,0.68,1.76,1.03,1.71,
